Date:  13:19, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 24   time : 125.931 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.153e-01   ,2.5  ,2.1331  ,4.9
2  ,1.152e-01   ,2.4577  ,2.1908  ,4.9577
3  ,1.155e-01   ,2.4894  ,2.1331  ,4.9447
4  ,1.225e-01   ,2.1331  ,2.5  ,4.9
5  ,1.233e-01   ,2.1331  ,2.4894  ,4.9447
6  ,1.218e-01   ,2.1908  ,2.4577  ,4.9577
7  ,2.384e-01   ,-2.4  ,2.4  ,5
8  ,2.506e-01   ,-2.4  ,-2.4  ,5
9  ,2.184e-01   ,2.4  ,-2.4  ,5
10  ,1.153e-01   ,2.4  ,2.1331  ,5
11  ,1.229e-01   ,2.1331  ,2.4  ,5
12  ,2.191e-01   ,2.5  ,-2.4  ,4.9
13  ,2.510e-01   ,2.5  ,-2.4  ,0.1
14  ,2.376e-01   ,2.5  ,2.4  ,0.1
15  ,1.232e-01   ,2.5  ,2.4  ,4.6331
16  ,2.388e-01   ,2.4  ,2.5  ,0.1
17  ,1.952e-01   ,-2.4  ,2.5  ,0.1
18  ,2.396e-01   ,-2.4  ,2.5  ,4.9
19  ,1.225e-01   ,2.4  ,2.5  ,4.6331
20  ,1.967e-01   ,-2.5  ,2.4  ,0.1
21  ,2.935e-01   ,-2.5  ,-2.4  ,0.1
22  ,2.358e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.408e-01   ,-2.5  ,2.4  ,4.9
24  ,2.951e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.478e-01   ,-2.3  ,-2.5  ,4.8
26  ,2.255e-01   ,2.3  ,-2.5  ,4.8
27  ,2.479e-01   ,2.3  ,-2.5  ,0.2
28  ,2.454e-01   ,-2.4  ,-2.5  ,4.9
29  ,2.278e-01   ,2.4  ,-2.5  ,4.9
30  ,2.947e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.460e-01   ,2.4  ,-2.5  ,0.1
32  ,2.366e-01   ,2.4  ,-2.4  ,0
33  ,2.400e-01   ,2.4  ,2.4  ,0
34  ,2.933e-01   ,-2.4  ,-2.4  ,0
35  ,1.967e-01   ,-2.4  ,2.4  ,0
36  ,1.223e-01   ,2.4577  ,2.4577  ,4.6908
37  ,2.346e-01   ,-2.3  ,2.3  ,4.8
38  ,1.090e-01   ,2.1599  ,2.3  ,4.8
39  ,1.093e-01   ,2.3  ,2.1599  ,4.8
40  ,1.089e-01   ,2.3  ,2.3  ,4.6599
41  ,2.339e-01   ,2.3  ,2.3  ,0.2
42  ,2.036e-01   ,-2.3  ,2.3  ,0.2
43  ,2.352e-01   ,-2.4  ,2.2  ,5
44  ,2.320e-01   ,-2.4  ,2  ,5
45  ,2.288e-01   ,-2.4  ,1.8  ,5
46  ,2.262e-01   ,-2.4  ,1.6  ,5
47  ,2.244e-01   ,-2.4  ,1.4  ,5
48  ,2.233e-01   ,-2.4  ,1.2  ,5
49  ,2.227e-01   ,-2.4  ,1  ,5
50  ,2.220e-01   ,-2.4  ,0.8  ,5
51  ,2.213e-01   ,-2.4  ,0.6  ,5
52  ,2.209e-01   ,-2.4  ,0.4  ,5
53  ,2.207e-01   ,-2.4  ,0.2  ,5
54  ,2.209e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.213e-01   ,-2.4  ,-0.2  ,5
56  ,2.220e-01   ,-2.4  ,-0.4  ,5
57  ,2.233e-01   ,-2.4  ,-0.6  ,5
58  ,2.250e-01   ,-2.4  ,-0.8  ,5
59  ,2.272e-01   ,-2.4  ,-1  ,5
60  ,2.296e-01   ,-2.4  ,-1.2  ,5
61  ,2.324e-01   ,-2.4  ,-1.4  ,5
62  ,2.353e-01   ,-2.4  ,-1.6  ,5
63  ,2.387e-01   ,-2.4  ,-1.8  ,5
64  ,2.423e-01   ,-2.4  ,-2  ,5
65  ,2.461e-01   ,-2.4  ,-2.2  ,5
66  ,2.660e-01   ,-2.2  ,-2.4  ,5
67  ,2.806e-01   ,-2  ,-2.4  ,5
68  ,2.943e-01   ,-1.8  ,-2.4  ,5
69  ,3.061e-01   ,-1.6  ,-2.4  ,5
70  ,3.160e-01   ,-1.4  ,-2.4  ,5
71  ,3.245e-01   ,-1.2  ,-2.4  ,5
72  ,3.311e-01   ,-1  ,-2.4  ,5
73  ,3.351e-01   ,-0.8  ,-2.4  ,5
74  ,3.360e-01   ,-0.6  ,-2.4  ,5
75  ,3.328e-01   ,-0.4  ,-2.4  ,5
76  ,3.244e-01   ,-0.2  ,-2.4  ,5
77  ,3.102e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,2.896e-01   ,0.2  ,-2.4  ,5
79  ,2.628e-01   ,0.4  ,-2.4  ,5
80  ,2.308e-01   ,0.6  ,-2.4  ,5
81  ,1.947e-01   ,0.8  ,-2.4  ,5
82  ,1.571e-01   ,1  ,-2.4  ,5
83  ,1.246e-01   ,1.2  ,-2.4  ,5
84  ,1.101e-01   ,1.4  ,-2.4  ,5
85  ,1.210e-01   ,1.6  ,-2.4  ,5
86  ,1.486e-01   ,1.8  ,-2.4  ,5
87  ,1.799e-01   ,2  ,-2.4  ,5
88  ,2.057e-01   ,2.2  ,-2.4  ,5
89  ,2.013e-01   ,2.4  ,-2.2029  ,5
90  ,1.856e-01   ,2.4  ,-2.0058  ,5
91  ,1.714e-01   ,2.4  ,-1.8087  ,5
92  ,1.578e-01   ,2.4  ,-1.6116  ,5
93  ,1.449e-01   ,2.4  ,-1.4145  ,5
94  ,1.327e-01   ,2.4  ,-1.2175  ,5
95  ,1.208e-01   ,2.4  ,-1.0204  ,5
96  ,1.102e-01   ,2.4  ,-0.82327  ,5
97  ,9.984e-02   ,2.4  ,-0.62618  ,5
98  ,9.077e-02   ,2.4  ,-0.42909  ,5
99  ,8.302e-02   ,2.4  ,-0.232  ,5
100  ,7.764e-02   ,2.4  ,-0.034907  ,5
101  ,7.402e-02   ,2.4  ,0.16218  ,5
102  ,7.242e-02   ,2.4  ,0.35927  ,5
103  ,7.271e-02   ,2.4  ,0.55637  ,5
104  ,7.498e-02   ,2.4  ,0.75346  ,5
105  ,7.869e-02   ,2.4  ,0.95055  ,5
106  ,8.358e-02   ,2.4  ,1.1476  ,5
107  ,8.961e-02   ,2.4  ,1.3447  ,5
108  ,9.618e-02   ,2.4  ,1.5418  ,5
109  ,1.029e-01   ,2.4  ,1.7389  ,5
110  ,1.099e-01   ,2.4  ,1.936  ,5
111  ,1.176e-01   ,2.2665  ,2.2665  ,5
112  ,1.217e-01   ,1.936  ,2.4  ,5
113  ,1.211e-01   ,1.7389  ,2.4  ,5
114  ,1.216e-01   ,1.5418  ,2.4  ,5
115  ,1.233e-01   ,1.3447  ,2.4  ,5
116  ,1.260e-01   ,1.1476  ,2.4  ,5
117  ,1.297e-01   ,0.95055  ,2.4  ,5
118  ,1.338e-01   ,0.75346  ,2.4  ,5
119  ,1.385e-01   ,0.55637  ,2.4  ,5
120  ,1.439e-01   ,0.35927  ,2.4  ,5
121  ,1.497e-01   ,0.16218  ,2.4  ,5
122  ,1.554e-01   ,-0.034907  ,2.4  ,5
123  ,1.616e-01   ,-0.232  ,2.4  ,5
124  ,1.682e-01   ,-0.42909  ,2.4  ,5
125  ,1.758e-01   ,-0.62618  ,2.4  ,5
126  ,1.834e-01   ,-0.82327  ,2.4  ,5
127  ,1.913e-01   ,-1.0204  ,2.4  ,5
128  ,1.993e-01   ,-1.2175  ,2.4  ,5
129  ,2.071e-01   ,-1.4145  ,2.4  ,5
130  ,2.147e-01   ,-1.6116  ,2.4  ,5
131  ,2.214e-01   ,-1.8087  ,2.4  ,5
132  ,2.277e-01   ,-2.0058  ,2.4  ,5
133  ,2.333e-01   ,-2.2029  ,2.4  ,5
294  ,2.015e-01   ,2.5  ,-2.2029  ,4.9
295  ,1.856e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.714e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.578e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.448e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.327e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.208e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.098e-01   ,2.5  ,-0.82327  ,4.9
302  ,9.947e-02   ,2.5  ,-0.62618  ,4.9
303  ,9.061e-02   ,2.5  ,-0.42909  ,4.9
304  ,8.296e-02   ,2.5  ,-0.232  ,4.9
305  ,7.748e-02   ,2.5  ,-0.034907  ,4.9
306  ,7.409e-02   ,2.5  ,0.16218  ,4.9
307  ,7.241e-02   ,2.5  ,0.35927  ,4.9
308  ,7.271e-02   ,2.5  ,0.55637  ,4.9
309  ,7.488e-02   ,2.5  ,0.75346  ,4.9
310  ,7.860e-02   ,2.5  ,0.95055  ,4.9
311  ,8.365e-02   ,2.5  ,1.1476  ,4.9
312  ,8.949e-02   ,2.5  ,1.3447  ,4.9
313  ,9.595e-02   ,2.5  ,1.5418  ,4.9
314  ,1.028e-01   ,2.5  ,1.7389  ,4.9
315  ,1.095e-01   ,2.5  ,1.936  ,4.9
316  ,2.072e-01   ,2.5  ,-2.4  ,4.7
317  ,1.822e-01   ,2.5  ,-2.4  ,4.5
318  ,1.510e-01   ,2.5  ,-2.4  ,4.3
