Date:  13:13, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 14   time : 73.4671 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.529e-02   ,2.5  ,2.1331  ,4.9
2  ,3.963e-04   ,2.4577  ,2.1908  ,4.9577
3  ,2.155e-02   ,2.4894  ,2.1331  ,4.9447
4  ,3.309e-02   ,2.1331  ,2.5  ,4.9
5  ,3.181e-02   ,2.1331  ,2.4894  ,4.9447
6  ,2.184e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.096e-01   ,-2.4  ,2.4  ,5
8  ,1.837e-01   ,-2.4  ,-2.4  ,5
9  ,1.293e-01   ,2.4  ,-2.4  ,5
10  ,2.379e-02   ,2.4  ,2.1331  ,5
11  ,3.254e-02   ,2.1331  ,2.4  ,5
12  ,1.294e-01   ,2.5  ,-2.4  ,4.9
13  ,1.837e-01   ,2.5  ,-2.4  ,0.1
14  ,2.095e-01   ,2.5  ,2.4  ,0.1
15  ,3.233e-02   ,2.5  ,2.4  ,4.6331
16  ,2.098e-01   ,2.4  ,2.5  ,0.1
17  ,1.906e-01   ,-2.4  ,2.5  ,0.1
18  ,2.096e-01   ,-2.4  ,2.5  ,4.9
19  ,3.217e-02   ,2.4  ,2.5  ,4.6331
20  ,1.917e-01   ,-2.5  ,2.4  ,0.1
21  ,2.494e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.821e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.105e-01   ,-2.5  ,2.4  ,4.9
24  ,2.479e-01   ,-2.3  ,-2.5  ,0.2
25  ,1.942e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.288e-01   ,2.3  ,-2.5  ,4.8
27  ,1.940e-01   ,2.3  ,-2.5  ,0.2
28  ,1.859e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.281e-01   ,2.4  ,-2.5  ,4.9
30  ,2.485e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.858e-01   ,2.4  ,-2.5  ,0.1
32  ,1.821e-01   ,2.4  ,-2.4  ,0
33  ,2.105e-01   ,2.4  ,2.4  ,0
34  ,2.493e-01   ,-2.4  ,-2.4  ,0
35  ,1.916e-01   ,-2.4  ,2.4  ,0
36  ,2.172e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.064e-01   ,-2.3  ,2.3  ,4.8
38  ,1.737e-02   ,2.1599  ,2.3  ,4.8
39  ,1.870e-02   ,2.3  ,2.1599  ,4.8
