Date:  13:06, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 3   time : 15.7393 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.523e-02   ,2.5  ,2.1331  ,4.9
2  ,5.380e-03   ,2.4577  ,2.1908  ,4.9577
3  ,1.396e-02   ,2.4894  ,2.1331  ,4.9447
4  ,1.530e-02   ,2.1331  ,2.5  ,4.9
5  ,1.417e-02   ,2.1331  ,2.4894  ,4.9447
6  ,5.598e-03   ,2.1908  ,2.4577  ,4.9577
7  ,5.663e-02   ,-2.4  ,2.4  ,5
8  ,5.666e-02   ,-2.4  ,-2.4  ,5
9  ,5.666e-02   ,2.4  ,-2.4  ,5
10  ,1.606e-02   ,2.4  ,2.1331  ,5
11  ,1.643e-02   ,2.1331  ,2.4  ,5
12  ,5.666e-02   ,2.5  ,-2.4  ,4.9
13  ,5.666e-02   ,2.5  ,-2.4  ,0.1
14  ,5.660e-02   ,2.5  ,2.4  ,0.1
15  ,1.684e-02   ,2.5  ,2.4  ,4.6331
16  ,5.660e-02   ,2.4  ,2.5  ,0.1
17  ,5.665e-02   ,-2.4  ,2.5  ,0.1
18  ,5.664e-02   ,-2.4  ,2.5  ,4.9
19  ,1.668e-02   ,2.4  ,2.5  ,4.6331
20  ,5.665e-02   ,-2.5  ,2.4  ,0.1
21  ,5.666e-02   ,-2.5  ,-2.4  ,0.1
22  ,5.666e-02   ,-2.5  ,-2.4  ,4.9
23  ,5.663e-02   ,-2.5  ,2.4  ,4.9
24  ,5.666e-02   ,-2.3  ,-2.5  ,0.2
25  ,5.666e-02   ,-2.3  ,-2.5  ,4.8
26  ,5.666e-02   ,2.3  ,-2.5  ,4.8
27  ,5.666e-02   ,2.3  ,-2.5  ,0.2
28  ,5.666e-02   ,-2.4  ,-2.5  ,4.9
29  ,5.666e-02   ,2.4  ,-2.5  ,4.9
30  ,5.666e-02   ,-2.4  ,-2.5  ,0.1
31  ,5.666e-02   ,2.4  ,-2.5  ,0.1
32  ,5.666e-02   ,2.4  ,-2.4  ,0
33  ,5.659e-02   ,2.4  ,2.4  ,0
34  ,5.666e-02   ,-2.4  ,-2.4  ,0
35  ,5.665e-02   ,-2.4  ,2.4  ,0
36  ,6.420e-03   ,2.4577  ,2.4577  ,4.6908
37  ,5.664e-02   ,-2.3  ,2.3  ,4.8
38  ,9.357e-03   ,2.1599  ,2.3  ,4.8
39  ,9.027e-03   ,2.3  ,2.1599  ,4.8
40  ,9.425e-03   ,2.3  ,2.3  ,4.6599
41  ,5.662e-02   ,2.3  ,2.3  ,0.2
42  ,5.667e-02   ,-2.3  ,2.3  ,0.2
43  ,5.663e-02   ,-2.4  ,2.2  ,5
44  ,5.663e-02   ,-2.4  ,2  ,5
45  ,5.664e-02   ,-2.4  ,1.8  ,5
46  ,5.664e-02   ,-2.4  ,1.6  ,5
47  ,5.665e-02   ,-2.4  ,1.4  ,5
48  ,5.668e-02   ,-2.4  ,1.2  ,5
49  ,5.670e-02   ,-2.4  ,1  ,5
50  ,5.671e-02   ,-2.4  ,0.8  ,5
51  ,5.669e-02   ,-2.4  ,0.6  ,5
52  ,5.667e-02   ,-2.4  ,0.4  ,5
53  ,5.665e-02   ,-2.4  ,0.2  ,5
54  ,5.664e-02   ,-2.4  ,5.8879E-16  ,5
55  ,5.664e-02   ,-2.4  ,-0.2  ,5
56  ,5.664e-02   ,-2.4  ,-0.4  ,5
57  ,5.665e-02   ,-2.4  ,-0.6  ,5
58  ,5.666e-02   ,-2.4  ,-0.8  ,5
59  ,5.667e-02   ,-2.4  ,-1  ,5
60  ,5.667e-02   ,-2.4  ,-1.2  ,5
61  ,5.666e-02   ,-2.4  ,-1.4  ,5
62  ,5.666e-02   ,-2.4  ,-1.6  ,5
63  ,5.666e-02   ,-2.4  ,-1.8  ,5
64  ,5.666e-02   ,-2.4  ,-2  ,5
65  ,5.666e-02   ,-2.4  ,-2.2  ,5
66  ,5.666e-02   ,-2.2  ,-2.4  ,5
67  ,5.666e-02   ,-2  ,-2.4  ,5
68  ,5.666e-02   ,-1.8  ,-2.4  ,5
69  ,5.666e-02   ,-1.6  ,-2.4  ,5
70  ,5.666e-02   ,-1.4  ,-2.4  ,5
71  ,5.666e-02   ,-1.2  ,-2.4  ,5
72  ,5.666e-02   ,-1  ,-2.4  ,5
73  ,5.666e-02   ,-0.8  ,-2.4  ,5
74  ,5.666e-02   ,-0.6  ,-2.4  ,5
75  ,5.666e-02   ,-0.4  ,-2.4  ,5
76  ,5.666e-02   ,-0.2  ,-2.4  ,5
77  ,5.666e-02   ,-5.8879E-16  ,-2.4  ,5
78  ,5.666e-02   ,0.2  ,-2.4  ,5
79  ,5.666e-02   ,0.4  ,-2.4  ,5
80  ,5.666e-02   ,0.6  ,-2.4  ,5
81  ,5.666e-02   ,0.8  ,-2.4  ,5
82  ,5.667e-02   ,1  ,-2.4  ,5
83  ,5.667e-02   ,1.2  ,-2.4  ,5
84  ,5.667e-02   ,1.4  ,-2.4  ,5
85  ,5.667e-02   ,1.6  ,-2.4  ,5
86  ,5.667e-02   ,1.8  ,-2.4  ,5
87  ,5.667e-02   ,2  ,-2.4  ,5
88  ,5.666e-02   ,2.2  ,-2.4  ,5
89  ,5.666e-02   ,2.4  ,-2.2029  ,5
90  ,5.665e-02   ,2.4  ,-2.0058  ,5
91  ,5.665e-02   ,2.4  ,-1.8087  ,5
92  ,5.663e-02   ,2.4  ,-1.6116  ,5
93  ,5.664e-02   ,2.4  ,-1.4145  ,5
94  ,5.669e-02   ,2.4  ,-1.2175  ,5
95  ,5.677e-02   ,2.4  ,-1.0204  ,5
96  ,5.666e-02   ,2.4  ,-0.82327  ,5
97  ,5.631e-02   ,2.4  ,-0.62618  ,5
98  ,5.576e-02   ,2.4  ,-0.42909  ,5
99  ,5.543e-02   ,2.4  ,-0.232  ,5
100  ,5.551e-02   ,2.4  ,-0.034907  ,5
101  ,5.556e-02   ,2.4  ,0.16218  ,5
102  ,5.516e-02   ,2.4  ,0.35927  ,5
103  ,5.465e-02   ,2.4  ,0.55637  ,5
104  ,5.343e-02   ,2.4  ,0.75346  ,5
105  ,5.129e-02   ,2.4  ,0.95055  ,5
106  ,4.862e-02   ,2.4  ,1.1476  ,5
107  ,4.509e-02   ,2.4  ,1.3447  ,5
108  ,4.020e-02   ,2.4  ,1.5418  ,5
