Date:  13:06, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 6   time : 31.4708 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.153e-02   ,2.5  ,2.1331  ,4.9
2  ,8.596e-03   ,2.4577  ,2.1908  ,4.9577
3  ,1.953e-02   ,2.4894  ,2.1331  ,4.9447
4  ,2.175e-02   ,2.1331  ,2.5  ,4.9
5  ,1.984e-02   ,2.1331  ,2.4894  ,4.9447
6  ,9.274e-03   ,2.1908  ,2.4577  ,4.9577
7  ,1.073e-01   ,-2.4  ,2.4  ,5
8  ,1.129e-01   ,-2.4  ,-2.4  ,5
9  ,1.076e-01   ,2.4  ,-2.4  ,5
10  ,2.108e-02   ,2.4  ,2.1331  ,5
11  ,2.159e-02   ,2.1331  ,2.4  ,5
12  ,1.076e-01   ,2.5  ,-2.4  ,4.9
13  ,1.129e-01   ,2.5  ,-2.4  ,0.1
14  ,1.069e-01   ,2.5  ,2.4  ,0.1
15  ,2.176e-02   ,2.5  ,2.4  ,4.6331
16  ,1.070e-01   ,2.4  ,2.5  ,0.1
17  ,1.133e-01   ,-2.4  ,2.5  ,0.1
18  ,1.075e-01   ,-2.4  ,2.5  ,4.9
19  ,2.181e-02   ,2.4  ,2.5  ,4.6331
20  ,1.133e-01   ,-2.5  ,2.4  ,0.1
21  ,1.133e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.129e-01   ,-2.5  ,-2.4  ,4.9
23  ,1.072e-01   ,-2.5  ,2.4  ,4.9
24  ,1.133e-01   ,-2.3  ,-2.5  ,0.2
25  ,1.130e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.076e-01   ,2.3  ,-2.5  ,4.8
27  ,1.129e-01   ,2.3  ,-2.5  ,0.2
28  ,1.129e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.076e-01   ,2.4  ,-2.5  ,4.9
30  ,1.133e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.129e-01   ,2.4  ,-2.5  ,0.1
32  ,1.129e-01   ,2.4  ,-2.4  ,0
33  ,1.067e-01   ,2.4  ,2.4  ,0
34  ,1.133e-01   ,-2.4  ,-2.4  ,0
35  ,1.133e-01   ,-2.4  ,2.4  ,0
36  ,9.793e-03   ,2.4577  ,2.4577  ,4.6908
37  ,1.083e-01   ,-2.3  ,2.3  ,4.8
38  ,1.045e-02   ,2.1599  ,2.3  ,4.8
39  ,1.103e-02   ,2.3  ,2.1599  ,4.8
40  ,1.079e-02   ,2.3  ,2.3  ,4.6599
41  ,1.080e-01   ,2.3  ,2.3  ,0.2
42  ,1.133e-01   ,-2.3  ,2.3  ,0.2
43  ,1.076e-01   ,-2.4  ,2.2  ,5
44  ,1.079e-01   ,-2.4  ,2  ,5
45  ,1.082e-01   ,-2.4  ,1.8  ,5
46  ,1.085e-01   ,-2.4  ,1.6  ,5
47  ,1.087e-01   ,-2.4  ,1.4  ,5
48  ,1.089e-01   ,-2.4  ,1.2  ,5
49  ,1.090e-01   ,-2.4  ,1  ,5
50  ,1.091e-01   ,-2.4  ,0.8  ,5
51  ,1.091e-01   ,-2.4  ,0.6  ,5
52  ,1.092e-01   ,-2.4  ,0.4  ,5
53  ,1.093e-01   ,-2.4  ,0.2  ,5
54  ,1.094e-01   ,-2.4  ,5.8879E-16  ,5
55  ,1.096e-01   ,-2.4  ,-0.2  ,5
56  ,1.098e-01   ,-2.4  ,-0.4  ,5
57  ,1.101e-01   ,-2.4  ,-0.6  ,5
58  ,1.105e-01   ,-2.4  ,-0.8  ,5
59  ,1.111e-01   ,-2.4  ,-1  ,5
60  ,1.116e-01   ,-2.4  ,-1.2  ,5
61  ,1.120e-01   ,-2.4  ,-1.4  ,5
62  ,1.123e-01   ,-2.4  ,-1.6  ,5
63  ,1.125e-01   ,-2.4  ,-1.8  ,5
64  ,1.127e-01   ,-2.4  ,-2  ,5
65  ,1.128e-01   ,-2.4  ,-2.2  ,5
66  ,1.129e-01   ,-2.2  ,-2.4  ,5
67  ,1.128e-01   ,-2  ,-2.4  ,5
68  ,1.124e-01   ,-1.8  ,-2.4  ,5
69  ,1.119e-01   ,-1.6  ,-2.4  ,5
70  ,1.114e-01   ,-1.4  ,-2.4  ,5
71  ,1.109e-01   ,-1.2  ,-2.4  ,5
72  ,1.104e-01   ,-1  ,-2.4  ,5
73  ,1.102e-01   ,-0.8  ,-2.4  ,5
74  ,1.100e-01   ,-0.6  ,-2.4  ,5
75  ,1.097e-01   ,-0.4  ,-2.4  ,5
76  ,1.096e-01   ,-0.2  ,-2.4  ,5
77  ,1.094e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,1.091e-01   ,0.2  ,-2.4  ,5
79  ,1.088e-01   ,0.4  ,-2.4  ,5
80  ,1.085e-01   ,0.6  ,-2.4  ,5
81  ,1.082e-01   ,0.8  ,-2.4  ,5
82  ,1.079e-01   ,1  ,-2.4  ,5
83  ,1.075e-01   ,1.2  ,-2.4  ,5
84  ,1.074e-01   ,1.4  ,-2.4  ,5
85  ,1.075e-01   ,1.6  ,-2.4  ,5
86  ,1.077e-01   ,1.8  ,-2.4  ,5
87  ,1.078e-01   ,2  ,-2.4  ,5
88  ,1.077e-01   ,2.2  ,-2.4  ,5
89  ,1.076e-01   ,2.4  ,-2.2029  ,5
90  ,1.077e-01   ,2.4  ,-2.0058  ,5
91  ,1.081e-01   ,2.4  ,-1.8087  ,5
92  ,1.088e-01   ,2.4  ,-1.6116  ,5
93  ,1.095e-01   ,2.4  ,-1.4145  ,5
94  ,1.097e-01   ,2.4  ,-1.2175  ,5
95  ,1.091e-01   ,2.4  ,-1.0204  ,5
96  ,1.077e-01   ,2.4  ,-0.82327  ,5
97  ,1.061e-01   ,2.4  ,-0.62618  ,5
98  ,1.041e-01   ,2.4  ,-0.42909  ,5
99  ,1.020e-01   ,2.4  ,-0.232  ,5
100  ,9.977e-02   ,2.4  ,-0.034907  ,5
101  ,9.726e-02   ,2.4  ,0.16218  ,5
102  ,9.418e-02   ,2.4  ,0.35927  ,5
103  ,9.051e-02   ,2.4  ,0.55637  ,5
104  ,8.653e-02   ,2.4  ,0.75346  ,5
105  ,8.268e-02   ,2.4  ,0.95055  ,5
106  ,7.793e-02   ,2.4  ,1.1476  ,5
107  ,7.175e-02   ,2.4  ,1.3447  ,5
108  ,6.340e-02   ,2.4  ,1.5418  ,5
109  ,5.325e-02   ,2.4  ,1.7389  ,5
110  ,4.048e-02   ,2.4  ,1.936  ,5
111  ,1.649e-02   ,2.2665  ,2.2665  ,5
112  ,4.095e-02   ,1.936  ,2.4  ,5
113  ,5.371e-02   ,1.7389  ,2.4  ,5
114  ,6.395e-02   ,1.5418  ,2.4  ,5
115  ,7.195e-02   ,1.3447  ,2.4  ,5
116  ,7.790e-02   ,1.1476  ,2.4  ,5
117  ,8.223e-02   ,0.95055  ,2.4  ,5
118  ,8.603e-02   ,0.75346  ,2.4  ,5
119  ,8.995e-02   ,0.55637  ,2.4  ,5
120  ,9.381e-02   ,0.35927  ,2.4  ,5
121  ,9.717e-02   ,0.16218  ,2.4  ,5
122  ,1.001e-01   ,-0.034907  ,2.4  ,5
123  ,1.027e-01   ,-0.232  ,2.4  ,5
124  ,1.051e-01   ,-0.42909  ,2.4  ,5
125  ,1.068e-01   ,-0.62618  ,2.4  ,5
126  ,1.081e-01   ,-0.82327  ,2.4  ,5
127  ,1.090e-01   ,-1.0204  ,2.4  ,5
128  ,1.096e-01   ,-1.2175  ,2.4  ,5
129  ,1.098e-01   ,-1.4145  ,2.4  ,5
130  ,1.098e-01   ,-1.6116  ,2.4  ,5
131  ,1.095e-01   ,-1.8087  ,2.4  ,5
132  ,1.090e-01   ,-2.0058  ,2.4  ,5
133  ,1.081e-01   ,-2.2029  ,2.4  ,5
294  ,1.076e-01   ,2.5  ,-2.2029  ,4.9
295  ,1.077e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.081e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.087e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.095e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.097e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.090e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.077e-01   ,2.5  ,-0.82327  ,4.9
302  ,1.061e-01   ,2.5  ,-0.62618  ,4.9
303  ,1.040e-01   ,2.5  ,-0.42909  ,4.9
