Date:  13:05, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 1   time : 5.23121 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,8.317e-03   ,2.5  ,2.1331  ,4.9
2  ,2.778e-03   ,2.4577  ,2.1908  ,4.9577
3  ,8.183e-03   ,2.4894  ,2.1331  ,4.9447
4  ,8.596e-03   ,2.1331  ,2.5  ,4.9
5  ,8.459e-03   ,2.1331  ,2.4894  ,4.9447
6  ,2.873e-03   ,2.1908  ,2.4577  ,4.9577
7  ,1.883e-02   ,-2.4  ,2.4  ,5
8  ,1.883e-02   ,-2.4  ,-2.4  ,5
9  ,1.883e-02   ,2.4  ,-2.4  ,5
10  ,8.461e-03   ,2.4  ,2.1331  ,5
11  ,8.475e-03   ,2.1331  ,2.4  ,5
12  ,1.883e-02   ,2.5  ,-2.4  ,4.9
13  ,1.883e-02   ,2.5  ,-2.4  ,0.1
14  ,1.883e-02   ,2.5  ,2.4  ,0.1
15  ,8.595e-03   ,2.5  ,2.4  ,4.6331
16  ,1.883e-02   ,2.4  ,2.5  ,0.1
17  ,1.883e-02   ,-2.4  ,2.5  ,0.1
18  ,1.883e-02   ,-2.4  ,2.5  ,4.9
19  ,8.573e-03   ,2.4  ,2.5  ,4.6331
20  ,1.883e-02   ,-2.5  ,2.4  ,0.1
21  ,1.883e-02   ,-2.5  ,-2.4  ,0.1
22  ,1.883e-02   ,-2.5  ,-2.4  ,4.9
23  ,1.883e-02   ,-2.5  ,2.4  ,4.9
24  ,1.883e-02   ,-2.3  ,-2.5  ,0.2
25  ,1.883e-02   ,-2.3  ,-2.5  ,4.8
26  ,1.883e-02   ,2.3  ,-2.5  ,4.8
27  ,1.883e-02   ,2.3  ,-2.5  ,0.2
28  ,1.883e-02   ,-2.4  ,-2.5  ,4.9
29  ,1.883e-02   ,2.4  ,-2.5  ,4.9
30  ,1.883e-02   ,-2.4  ,-2.5  ,0.1
31  ,1.883e-02   ,2.4  ,-2.5  ,0.1
32  ,1.883e-02   ,2.4  ,-2.4  ,0
33  ,1.883e-02   ,2.4  ,2.4  ,0
34  ,1.883e-02   ,-2.4  ,-2.4  ,0
35  ,1.883e-02   ,-2.4  ,2.4  ,0
36  ,2.912e-03   ,2.4577  ,2.4577  ,4.6908
37  ,1.883e-02   ,-2.3  ,2.3  ,4.8
38  ,5.634e-03   ,2.1599  ,2.3  ,4.8
39  ,5.352e-03   ,2.3  ,2.1599  ,4.8
40  ,5.528e-03   ,2.3  ,2.3  ,4.6599
41  ,1.883e-02   ,2.3  ,2.3  ,0.2
42  ,1.883e-02   ,-2.3  ,2.3  ,0.2
43  ,1.883e-02   ,-2.4  ,2.2  ,5
44  ,1.883e-02   ,-2.4  ,2  ,5
45  ,1.883e-02   ,-2.4  ,1.8  ,5
46  ,1.883e-02   ,-2.4  ,1.6  ,5
47  ,1.883e-02   ,-2.4  ,1.4  ,5
48  ,1.883e-02   ,-2.4  ,1.2  ,5
49  ,1.883e-02   ,-2.4  ,1  ,5
50  ,1.883e-02   ,-2.4  ,0.8  ,5
51  ,1.883e-02   ,-2.4  ,0.6  ,5
52  ,1.883e-02   ,-2.4  ,0.4  ,5
53  ,1.883e-02   ,-2.4  ,0.2  ,5
54  ,1.883e-02   ,-2.4  ,5.8879E-16  ,5
55  ,1.883e-02   ,-2.4  ,-0.2  ,5
56  ,1.883e-02   ,-2.4  ,-0.4  ,5
57  ,1.883e-02   ,-2.4  ,-0.6  ,5
58  ,1.883e-02   ,-2.4  ,-0.8  ,5
59  ,1.883e-02   ,-2.4  ,-1  ,5
60  ,1.883e-02   ,-2.4  ,-1.2  ,5
61  ,1.883e-02   ,-2.4  ,-1.4  ,5
62  ,1.883e-02   ,-2.4  ,-1.6  ,5
