Date:  13:15, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 17   time : 89.215 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,3.313e-02   ,2.5  ,2.1331  ,4.9
2  ,2.238e-02   ,2.4577  ,2.1908  ,4.9577
3  ,3.007e-02   ,2.4894  ,2.1331  ,4.9447
4  ,4.648e-02   ,2.1331  ,2.5  ,4.9
5  ,4.618e-02   ,2.1331  ,2.4894  ,4.9447
6  ,4.014e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.282e-01   ,-2.4  ,2.4  ,5
8  ,1.984e-01   ,-2.4  ,-2.4  ,5
9  ,7.136e-02   ,2.4  ,-2.4  ,5
10  ,3.256e-02   ,2.4  ,2.1331  ,5
11  ,4.668e-02   ,2.1331  ,2.4  ,5
12  ,7.135e-02   ,2.5  ,-2.4  ,4.9
13  ,1.983e-01   ,2.5  ,-2.4  ,0.1
14  ,2.277e-01   ,2.5  ,2.4  ,0.1
15  ,4.594e-02   ,2.5  ,2.4  ,4.6331
16  ,2.278e-01   ,2.4  ,2.5  ,0.1
17  ,2.034e-01   ,-2.4  ,2.5  ,0.1
18  ,2.285e-01   ,-2.4  ,2.5  ,4.9
19  ,4.545e-02   ,2.4  ,2.5  ,4.6331
20  ,2.047e-01   ,-2.5  ,2.4  ,0.1
21  ,2.759e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.940e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.296e-01   ,-2.5  ,2.4  ,4.9
24  ,2.759e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.094e-01   ,-2.3  ,-2.5  ,4.8
26  ,7.176e-02   ,2.3  ,-2.5  ,4.8
27  ,2.092e-01   ,2.3  ,-2.5  ,0.2
28  ,1.998e-01   ,-2.4  ,-2.5  ,4.9
29  ,6.926e-02   ,2.4  ,-2.5  ,4.9
30  ,2.759e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.997e-01   ,2.4  ,-2.5  ,0.1
32  ,1.939e-01   ,2.4  ,-2.4  ,0
33  ,2.290e-01   ,2.4  ,2.4  ,0
34  ,2.759e-01   ,-2.4  ,-2.4  ,0
35  ,2.048e-01   ,-2.4  ,2.4  ,0
36  ,3.988e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.240e-01   ,-2.3  ,2.3  ,4.8
38  ,3.324e-02   ,2.1599  ,2.3  ,4.8
39  ,3.549e-02   ,2.3  ,2.1599  ,4.8
40  ,3.334e-02   ,2.3  ,2.3  ,4.6599
41  ,2.233e-01   ,2.3  ,2.3  ,0.2
42  ,2.127e-01   ,-2.3  ,2.3  ,0.2
43  ,2.264e-01   ,-2.4  ,2.2  ,5
44  ,2.248e-01   ,-2.4  ,2  ,5
45  ,2.231e-01   ,-2.4  ,1.8  ,5
46  ,2.217e-01   ,-2.4  ,1.6  ,5
47  ,2.207e-01   ,-2.4  ,1.4  ,5
48  ,2.200e-01   ,-2.4  ,1.2  ,5
49  ,2.194e-01   ,-2.4  ,1  ,5
50  ,2.187e-01   ,-2.4  ,0.8  ,5
51  ,2.176e-01   ,-2.4  ,0.6  ,5
52  ,2.165e-01   ,-2.4  ,0.4  ,5
53  ,2.152e-01   ,-2.4  ,0.2  ,5
54  ,2.137e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.122e-01   ,-2.4  ,-0.2  ,5
56  ,2.110e-01   ,-2.4  ,-0.4  ,5
