Date:  13:12, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 12   time : 62.9694 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.585e-02   ,2.5  ,2.1331  ,4.9
2  ,6.494e-03   ,2.4577  ,2.1908  ,4.9577
3  ,2.279e-02   ,2.4894  ,2.1331  ,4.9447
4  ,3.045e-02   ,2.1331  ,2.5  ,4.9
5  ,2.845e-02   ,2.1331  ,2.4894  ,4.9447
6  ,1.657e-02   ,2.1908  ,2.4577  ,4.9577
7  ,1.892e-01   ,-2.4  ,2.4  ,5
8  ,1.724e-01   ,-2.4  ,-2.4  ,5
9  ,1.475e-01   ,2.4  ,-2.4  ,5
10  ,2.446e-02   ,2.4  ,2.1331  ,5
11  ,2.932e-02   ,2.1331  ,2.4  ,5
12  ,1.475e-01   ,2.5  ,-2.4  ,4.9
13  ,1.729e-01   ,2.5  ,-2.4  ,0.1
14  ,1.888e-01   ,2.5  ,2.4  ,0.1
15  ,2.917e-02   ,2.5  ,2.4  ,4.6331
16  ,1.888e-01   ,2.4  ,2.5  ,0.1
17  ,1.810e-01   ,-2.4  ,2.5  ,0.1
18  ,1.891e-01   ,-2.4  ,2.5  ,4.9
19  ,2.961e-02   ,2.4  ,2.5  ,4.6331
20  ,1.817e-01   ,-2.5  ,2.4  ,0.1
21  ,2.213e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.722e-01   ,-2.5  ,-2.4  ,4.9
23  ,1.898e-01   ,-2.5  ,2.4  ,4.9
24  ,2.211e-01   ,-2.3  ,-2.5  ,0.2
25  ,1.797e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.467e-01   ,2.3  ,-2.5  ,4.8
27  ,1.800e-01   ,2.3  ,-2.5  ,0.2
28  ,1.741e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.465e-01   ,2.4  ,-2.5  ,4.9
30  ,2.212e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.745e-01   ,2.4  ,-2.5  ,0.1
32  ,1.726e-01   ,2.4  ,-2.4  ,0
33  ,1.894e-01   ,2.4  ,2.4  ,0
34  ,2.213e-01   ,-2.4  ,-2.4  ,0
35  ,1.817e-01   ,-2.4  ,2.4  ,0
36  ,1.683e-02   ,2.4577  ,2.4577  ,4.6908
