Date:  13:17, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 20   time : 104.945 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,6.240e-02   ,2.5  ,2.1331  ,4.9
2  ,5.821e-02   ,2.4577  ,2.1908  ,4.9577
3  ,6.133e-02   ,2.4894  ,2.1331  ,4.9447
4  ,7.447e-02   ,2.1331  ,2.5  ,4.9
5  ,7.483e-02   ,2.1331  ,2.4894  ,4.9447
6  ,7.165e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.360e-01   ,-2.4  ,2.4  ,5
8  ,2.165e-01   ,-2.4  ,-2.4  ,5
9  ,3.151e-02   ,2.4  ,-2.4  ,5
10  ,6.211e-02   ,2.4  ,2.1331  ,5
11  ,7.482e-02   ,2.1331  ,2.4  ,5
12  ,3.173e-02   ,2.5  ,-2.4  ,4.9
13  ,2.159e-01   ,2.5  ,-2.4  ,0.1
14  ,2.348e-01   ,2.5  ,2.4  ,0.1
15  ,7.432e-02   ,2.5  ,2.4  ,4.6331
16  ,2.349e-01   ,2.4  ,2.5  ,0.1
17  ,2.074e-01   ,-2.4  ,2.5  ,0.1
18  ,2.360e-01   ,-2.4  ,2.5  ,4.9
19  ,7.374e-02   ,2.4  ,2.5  ,4.6331
20  ,2.088e-01   ,-2.5  ,2.4  ,0.1
21  ,2.836e-01   ,-2.5  ,-2.4  ,0.1
22  ,2.083e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.375e-01   ,-2.5  ,2.4  ,4.9
24  ,2.845e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.235e-01   ,-2.3  ,-2.5  ,4.8
26  ,4.224e-02   ,2.3  ,-2.5  ,4.8
27  ,2.229e-01   ,2.3  ,-2.5  ,0.2
28  ,2.158e-01   ,-2.4  ,-2.5  ,4.9
29  ,3.888e-02   ,2.4  ,-2.5  ,4.9
30  ,2.843e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.152e-01   ,2.4  ,-2.5  ,0.1
32  ,2.078e-01   ,2.4  ,-2.4  ,0
33  ,2.363e-01   ,2.4  ,2.4  ,0
34  ,2.837e-01   ,-2.4  ,-2.4  ,0
35  ,2.089e-01   ,-2.4  ,2.4  ,0
36  ,7.152e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.315e-01   ,-2.3  ,2.3  ,4.8
38  ,6.300e-02   ,2.1599  ,2.3  ,4.8
39  ,6.434e-02   ,2.3  ,2.1599  ,4.8
40  ,6.287e-02   ,2.3  ,2.3  ,4.6599
41  ,2.302e-01   ,2.3  ,2.3  ,0.2
42  ,2.166e-01   ,-2.3  ,2.3  ,0.2
43  ,2.340e-01   ,-2.4  ,2.2  ,5
44  ,2.318e-01   ,-2.4  ,2  ,5
45  ,2.297e-01   ,-2.4  ,1.8  ,5
46  ,2.280e-01   ,-2.4  ,1.6  ,5
47  ,2.268e-01   ,-2.4  ,1.4  ,5
48  ,2.258e-01   ,-2.4  ,1.2  ,5
49  ,2.251e-01   ,-2.4  ,1  ,5
50  ,2.241e-01   ,-2.4  ,0.8  ,5
51  ,2.230e-01   ,-2.4  ,0.6  ,5
52  ,2.220e-01   ,-2.4  ,0.4  ,5
53  ,2.214e-01   ,-2.4  ,0.2  ,5
54  ,2.208e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.203e-01   ,-2.4  ,-0.2  ,5
