Date:  13:16, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 19   time : 99.7085 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,5.053e-02   ,2.5  ,2.1331  ,4.9
2  ,4.505e-02   ,2.4577  ,2.1908  ,4.9577
3  ,4.895e-02   ,2.4894  ,2.1331  ,4.9447
4  ,6.278e-02   ,2.1331  ,2.5  ,4.9
5  ,6.299e-02   ,2.1331  ,2.4894  ,4.9447
6  ,5.915e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.353e-01   ,-2.4  ,2.4  ,5
8  ,2.089e-01   ,-2.4  ,-2.4  ,5
9  ,1.787e-02   ,2.4  ,-2.4  ,5
10  ,5.007e-02   ,2.4  ,2.1331  ,5
11  ,6.336e-02   ,2.1331  ,2.4  ,5
12  ,1.787e-02   ,2.5  ,-2.4  ,4.9
13  ,2.088e-01   ,2.5  ,-2.4  ,0.1
14  ,2.347e-01   ,2.5  ,2.4  ,0.1
15  ,6.331e-02   ,2.5  ,2.4  ,4.6331
16  ,2.348e-01   ,2.4  ,2.5  ,0.1
17  ,2.067e-01   ,-2.4  ,2.5  ,0.1
18  ,2.351e-01   ,-2.4  ,2.5  ,4.9
19  ,6.245e-02   ,2.4  ,2.5  ,4.6331
20  ,2.082e-01   ,-2.5  ,2.4  ,0.1
21  ,2.814e-01   ,-2.5  ,-2.4  ,0.1
22  ,2.027e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.368e-01   ,-2.5  ,2.4  ,4.9
24  ,2.816e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.175e-01   ,-2.3  ,-2.5  ,4.8
26  ,2.860e-02   ,2.3  ,-2.5  ,4.8
27  ,2.176e-01   ,2.3  ,-2.5  ,0.2
28  ,2.090e-01   ,-2.4  ,-2.5  ,4.9
29  ,2.129e-02   ,2.4  ,-2.5  ,4.9
30  ,2.817e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.089e-01   ,2.4  ,-2.5  ,0.1
32  ,2.023e-01   ,2.4  ,-2.4  ,0
33  ,2.363e-01   ,2.4  ,2.4  ,0
34  ,2.813e-01   ,-2.4  ,-2.4  ,0
35  ,2.081e-01   ,-2.4  ,2.4  ,0
36  ,5.962e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.305e-01   ,-2.3  ,2.3  ,4.8
38  ,5.113e-02   ,2.1599  ,2.3  ,4.8
39  ,5.305e-02   ,2.3  ,2.1599  ,4.8
40  ,5.145e-02   ,2.3  ,2.3  ,4.6599
41  ,2.295e-01   ,2.3  ,2.3  ,0.2
42  ,2.161e-01   ,-2.3  ,2.3  ,0.2
43  ,2.333e-01   ,-2.4  ,2.2  ,5
44  ,2.312e-01   ,-2.4  ,2  ,5
45  ,2.292e-01   ,-2.4  ,1.8  ,5
46  ,2.275e-01   ,-2.4  ,1.6  ,5
47  ,2.261e-01   ,-2.4  ,1.4  ,5
48  ,2.251e-01   ,-2.4  ,1.2  ,5
49  ,2.242e-01   ,-2.4  ,1  ,5
50  ,2.232e-01   ,-2.4  ,0.8  ,5
51  ,2.221e-01   ,-2.4  ,0.6  ,5
52  ,2.211e-01   ,-2.4  ,0.4  ,5
53  ,2.203e-01   ,-2.4  ,0.2  ,5
54  ,2.194e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.185e-01   ,-2.4  ,-0.2  ,5
56  ,2.178e-01   ,-2.4  ,-0.4  ,5
57  ,2.172e-01   ,-2.4  ,-0.6  ,5
58  ,2.165e-01   ,-2.4  ,-0.8  ,5
