Date:  13:04, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 4   time : 20.9915 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.747e-02   ,2.5  ,2.1331  ,4.9
2  ,6.917e-03   ,2.4577  ,2.1908  ,4.9577
3  ,1.588e-02   ,2.4894  ,2.1331  ,4.9447
4  ,1.760e-02   ,2.1331  ,2.5  ,4.9
5  ,1.620e-02   ,2.1331  ,2.4894  ,4.9447
6  ,7.259e-03   ,2.1908  ,2.4577  ,4.9577
7  ,7.552e-02   ,-2.4  ,2.4  ,5
8  ,7.557e-02   ,-2.4  ,-2.4  ,5
9  ,7.555e-02   ,2.4  ,-2.4  ,5
10  ,1.772e-02   ,2.4  ,2.1331  ,5
11  ,1.791e-02   ,2.1331  ,2.4  ,5
12  ,7.555e-02   ,2.5  ,-2.4  ,4.9
13  ,7.557e-02   ,2.5  ,-2.4  ,0.1
14  ,7.559e-02   ,2.5  ,2.4  ,0.1
15  ,1.851e-02   ,2.5  ,2.4  ,4.6331
16  ,7.558e-02   ,2.4  ,2.5  ,0.1
17  ,7.559e-02   ,-2.4  ,2.5  ,0.1
18  ,7.551e-02   ,-2.4  ,2.5  ,4.9
19  ,1.850e-02   ,2.4  ,2.5  ,4.6331
20  ,7.559e-02   ,-2.5  ,2.4  ,0.1
21  ,7.557e-02   ,-2.5  ,-2.4  ,0.1
22  ,7.557e-02   ,-2.5  ,-2.4  ,4.9
23  ,7.550e-02   ,-2.5  ,2.4  ,4.9
24  ,7.557e-02   ,-2.3  ,-2.5  ,0.2
25  ,7.557e-02   ,-2.3  ,-2.5  ,4.8
26  ,7.556e-02   ,2.3  ,-2.5  ,4.8
27  ,7.557e-02   ,2.3  ,-2.5  ,0.2
28  ,7.557e-02   ,-2.4  ,-2.5  ,4.9
29  ,7.555e-02   ,2.4  ,-2.5  ,4.9
30  ,7.557e-02   ,-2.4  ,-2.5  ,0.1
31  ,7.557e-02   ,2.4  ,-2.5  ,0.1
32  ,7.557e-02   ,2.4  ,-2.4  ,0
33  ,7.558e-02   ,2.4  ,2.4  ,0
34  ,7.557e-02   ,-2.4  ,-2.4  ,0
35  ,7.559e-02   ,-2.4  ,2.4  ,0
36  ,8.155e-03   ,2.4577  ,2.4577  ,4.6908
37  ,7.566e-02   ,-2.3  ,2.3  ,4.8
38  ,8.330e-03   ,2.1599  ,2.3  ,4.8
39  ,8.590e-03   ,2.3  ,2.1599  ,4.8
40  ,8.731e-03   ,2.3  ,2.3  ,4.6599
41  ,7.575e-02   ,2.3  ,2.3  ,0.2
42  ,7.553e-02   ,-2.3  ,2.3  ,0.2
43  ,7.557e-02   ,-2.4  ,2.2  ,5
44  ,7.559e-02   ,-2.4  ,2  ,5
45  ,7.558e-02   ,-2.4  ,1.8  ,5
46  ,7.556e-02   ,-2.4  ,1.6  ,5
47  ,7.552e-02   ,-2.4  ,1.4  ,5
48  ,7.549e-02   ,-2.4  ,1.2  ,5
49  ,7.543e-02   ,-2.4  ,1  ,5
50  ,7.542e-02   ,-2.4  ,0.8  ,5
51  ,7.548e-02   ,-2.4  ,0.6  ,5
52  ,7.554e-02   ,-2.4  ,0.4  ,5
53  ,7.559e-02   ,-2.4  ,0.2  ,5
54  ,7.563e-02   ,-2.4  ,5.8879E-16  ,5
55  ,7.566e-02   ,-2.4  ,-0.2  ,5
56  ,7.564e-02   ,-2.4  ,-0.4  ,5
57  ,7.558e-02   ,-2.4  ,-0.6  ,5
58  ,7.555e-02   ,-2.4  ,-0.8  ,5
59  ,7.554e-02   ,-2.4  ,-1  ,5
60  ,7.556e-02   ,-2.4  ,-1.2  ,5
61  ,7.558e-02   ,-2.4  ,-1.4  ,5
62  ,7.559e-02   ,-2.4  ,-1.6  ,5
63  ,7.558e-02   ,-2.4  ,-1.8  ,5
64  ,7.557e-02   ,-2.4  ,-2  ,5
65  ,7.557e-02   ,-2.4  ,-2.2  ,5
66  ,7.557e-02   ,-2.2  ,-2.4  ,5
67  ,7.557e-02   ,-2  ,-2.4  ,5
68  ,7.557e-02   ,-1.8  ,-2.4  ,5
69  ,7.556e-02   ,-1.6  ,-2.4  ,5
70  ,7.555e-02   ,-1.4  ,-2.4  ,5
71  ,7.555e-02   ,-1.2  ,-2.4  ,5
72  ,7.556e-02   ,-1  ,-2.4  ,5
73  ,7.558e-02   ,-0.8  ,-2.4  ,5
74  ,7.560e-02   ,-0.6  ,-2.4  ,5
75  ,7.561e-02   ,-0.4  ,-2.4  ,5
76  ,7.559e-02   ,-0.2  ,-2.4  ,5
77  ,7.557e-02   ,-5.8879E-16  ,-2.4  ,5
78  ,7.556e-02   ,0.2  ,-2.4  ,5
79  ,7.554e-02   ,0.4  ,-2.4  ,5
80  ,7.551e-02   ,0.6  ,-2.4  ,5
81  ,7.547e-02   ,0.8  ,-2.4  ,5
82  ,7.544e-02   ,1  ,-2.4  ,5
83  ,7.544e-02   ,1.2  ,-2.4  ,5
84  ,7.545e-02   ,1.4  ,-2.4  ,5
85  ,7.548e-02   ,1.6  ,-2.4  ,5
86  ,7.549e-02   ,1.8  ,-2.4  ,5
87  ,7.552e-02   ,2  ,-2.4  ,5
88  ,7.554e-02   ,2.2  ,-2.4  ,5
89  ,7.550e-02   ,2.4  ,-2.2029  ,5
90  ,7.540e-02   ,2.4  ,-2.0058  ,5
91  ,7.528e-02   ,2.4  ,-1.8087  ,5
92  ,7.521e-02   ,2.4  ,-1.6116  ,5
93  ,7.502e-02   ,2.4  ,-1.4145  ,5
94  ,7.454e-02   ,2.4  ,-1.2175  ,5
95  ,7.386e-02   ,2.4  ,-1.0204  ,5
96  ,7.343e-02   ,2.4  ,-0.82327  ,5
97  ,7.336e-02   ,2.4  ,-0.62618  ,5
98  ,7.376e-02   ,2.4  ,-0.42909  ,5
99  ,7.381e-02   ,2.4  ,-0.232  ,5
100  ,7.327e-02   ,2.4  ,-0.034907  ,5
101  ,7.218e-02   ,2.4  ,0.16218  ,5
102  ,7.042e-02   ,2.4  ,0.35927  ,5
103  ,6.821e-02   ,2.4  ,0.55637  ,5
104  ,6.568e-02   ,2.4  ,0.75346  ,5
105  ,6.319e-02   ,2.4  ,0.95055  ,5
106  ,5.997e-02   ,2.4  ,1.1476  ,5
107  ,5.548e-02   ,2.4  ,1.3447  ,5
108  ,4.917e-02   ,2.4  ,1.5418  ,5
109  ,4.142e-02   ,2.4  ,1.7389  ,5
110  ,3.165e-02   ,2.4  ,1.936  ,5
111  ,1.306e-02   ,2.2665  ,2.2665  ,5
112  ,3.179e-02   ,1.936  ,2.4  ,5
113  ,4.168e-02   ,1.7389  ,2.4  ,5
114  ,4.979e-02   ,1.5418  ,2.4  ,5
115  ,5.564e-02   ,1.3447  ,2.4  ,5
116  ,6.017e-02   ,1.1476  ,2.4  ,5
117  ,6.328e-02   ,0.95055  ,2.4  ,5
118  ,6.563e-02   ,0.75346  ,2.4  ,5
119  ,6.806e-02   ,0.55637  ,2.4  ,5
120  ,7.041e-02   ,0.35927  ,2.4  ,5
121  ,7.211e-02   ,0.16218  ,2.4  ,5
122  ,7.328e-02   ,-0.034907  ,2.4  ,5
123  ,7.390e-02   ,-0.232  ,2.4  ,5
124  ,7.409e-02   ,-0.42909  ,2.4  ,5
125  ,7.372e-02   ,-0.62618  ,2.4  ,5
126  ,7.374e-02   ,-0.82327  ,2.4  ,5
127  ,7.417e-02   ,-1.0204  ,2.4  ,5
128  ,7.460e-02   ,-1.2175  ,2.4  ,5
129  ,7.495e-02   ,-1.4145  ,2.4  ,5
130  ,7.523e-02   ,-1.6116  ,2.4  ,5
131  ,7.547e-02   ,-1.8087  ,2.4  ,5
132  ,7.560e-02   ,-2.0058  ,2.4  ,5
133  ,7.559e-02   ,-2.2029  ,2.4  ,5
294  ,7.550e-02   ,2.5  ,-2.2029  ,4.9
295  ,7.541e-02   ,2.5  ,-2.0058  ,4.9
296  ,7.529e-02   ,2.5  ,-1.8087  ,4.9
297  ,7.521e-02   ,2.5  ,-1.6116  ,4.9
298  ,7.501e-02   ,2.5  ,-1.4145  ,4.9
299  ,7.455e-02   ,2.5  ,-1.2175  ,4.9
300  ,7.391e-02   ,2.5  ,-1.0204  ,4.9
301  ,7.344e-02   ,2.5  ,-0.82327  ,4.9
302  ,7.329e-02   ,2.5  ,-0.62618  ,4.9
303  ,7.373e-02   ,2.5  ,-0.42909  ,4.9
304  ,7.381e-02   ,2.5  ,-0.232  ,4.9
305  ,7.332e-02   ,2.5  ,-0.034907  ,4.9
306  ,7.215e-02   ,2.5  ,0.16218  ,4.9
307  ,7.033e-02   ,2.5  ,0.35927  ,4.9
308  ,6.824e-02   ,2.5  ,0.55637  ,4.9
309  ,6.570e-02   ,2.5  ,0.75346  ,4.9
310  ,6.321e-02   ,2.5  ,0.95055  ,4.9
311  ,6.009e-02   ,2.5  ,1.1476  ,4.9
312  ,5.539e-02   ,2.5  ,1.3447  ,4.9
313  ,4.922e-02   ,2.5  ,1.5418  ,4.9
314  ,4.164e-02   ,2.5  ,1.7389  ,4.9
315  ,3.128e-02   ,2.5  ,1.936  ,4.9
316  ,7.554e-02   ,2.5  ,-2.4  ,4.7
317  ,7.551e-02   ,2.5  ,-2.4  ,4.5
318  ,7.548e-02   ,2.5  ,-2.4  ,4.3
319  ,7.548e-02   ,2.5  ,-2.4  ,4.1
320  ,7.546e-02   ,2.5  ,-2.4  ,3.9
321  ,7.544e-02   ,2.5  ,-2.4  ,3.7
322  ,7.546e-02   ,2.5  ,-2.4  ,3.5
323  ,7.548e-02   ,2.5  ,-2.4  ,3.3
324  ,7.550e-02   ,2.5  ,-2.4  ,3.1
325  ,7.553e-02   ,2.5  ,-2.4  ,2.9
326  ,7.555e-02   ,2.5  ,-2.4  ,2.7
327  ,7.556e-02   ,2.5  ,-2.4  ,2.5
328  ,7.558e-02   ,2.5  ,-2.4  ,2.3
329  ,7.560e-02   ,2.5  ,-2.4  ,2.1
330  ,7.559e-02   ,2.5  ,-2.4  ,1.9
331  ,7.557e-02   ,2.5  ,-2.4  ,1.7
332  ,7.555e-02   ,2.5  ,-2.4  ,1.5
333  ,7.555e-02   ,2.5  ,-2.4  ,1.3
334  ,7.555e-02   ,2.5  ,-2.4  ,1.1
335  ,7.556e-02   ,2.5  ,-2.4  ,0.9
336  ,7.556e-02   ,2.5  ,-2.4  ,0.7
337  ,7.557e-02   ,2.5  ,-2.4  ,0.5
338  ,7.557e-02   ,2.5  ,-2.4  ,0.3
339  ,7.557e-02   ,2.5  ,-2.2  ,0.1
340  ,7.557e-02   ,2.5  ,-2  ,0.1
341  ,7.558e-02   ,2.5  ,-1.8  ,0.1
342  ,7.558e-02   ,2.5  ,-1.6  ,0.1
343  ,7.556e-02   ,2.5  ,-1.4  ,0.1
344  ,7.553e-02   ,2.5  ,-1.2  ,0.1
345  ,7.553e-02   ,2.5  ,-1  ,0.1
346  ,7.557e-02   ,2.5  ,-0.8  ,0.1
347  ,7.563e-02   ,2.5  ,-0.6  ,0.1
