Date:  13:07, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 8   time : 41.9652 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.486e-02   ,2.5  ,2.1331  ,4.9
2  ,1.056e-02   ,2.4577  ,2.1908  ,4.9577
3  ,2.273e-02   ,2.4894  ,2.1331  ,4.9447
4  ,2.481e-02   ,2.1331  ,2.5  ,4.9
5  ,2.295e-02   ,2.1331  ,2.4894  ,4.9447
6  ,1.081e-02   ,2.1908  ,2.4577  ,4.9577
7  ,1.401e-01   ,-2.4  ,2.4  ,5
8  ,1.406e-01   ,-2.4  ,-2.4  ,5
9  ,1.367e-01   ,2.4  ,-2.4  ,5
10  ,2.407e-02   ,2.4  ,2.1331  ,5
11  ,2.443e-02   ,2.1331  ,2.4  ,5
12  ,1.367e-01   ,2.5  ,-2.4  ,4.9
13  ,1.406e-01   ,2.5  ,-2.4  ,0.1
14  ,1.402e-01   ,2.5  ,2.4  ,0.1
15  ,2.439e-02   ,2.5  ,2.4  ,4.6331
16  ,1.402e-01   ,2.4  ,2.5  ,0.1
17  ,1.407e-01   ,-2.4  ,2.5  ,0.1
18  ,1.401e-01   ,-2.4  ,2.5  ,4.9
19  ,2.420e-02   ,2.4  ,2.5  ,4.6331
20  ,1.411e-01   ,-2.5  ,2.4  ,0.1
21  ,1.511e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.407e-01   ,-2.5  ,-2.4  ,4.9
23  ,1.401e-01   ,-2.5  ,2.4  ,4.9
24  ,1.511e-01   ,-2.3  ,-2.5  ,0.2
25  ,1.426e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.366e-01   ,2.3  ,-2.5  ,4.8
27  ,1.425e-01   ,2.3  ,-2.5  ,0.2
28  ,1.411e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.367e-01   ,2.4  ,-2.5  ,4.9
30  ,1.511e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.411e-01   ,2.4  ,-2.5  ,0.1
32  ,1.406e-01   ,2.4  ,-2.4  ,0
33  ,1.401e-01   ,2.4  ,2.4  ,0
34  ,1.510e-01   ,-2.4  ,-2.4  ,0
35  ,1.411e-01   ,-2.4  ,2.4  ,0
36  ,1.095e-02   ,2.4577  ,2.4577  ,4.6908
37  ,1.400e-01   ,-2.3  ,2.3  ,4.8
38  ,1.199e-02   ,2.1599  ,2.3  ,4.8
39  ,1.257e-02   ,2.3  ,2.1599  ,4.8
40  ,1.203e-02   ,2.3  ,2.3  ,4.6599
41  ,1.403e-01   ,2.3  ,2.3  ,0.2
42  ,1.430e-01   ,-2.3  ,2.3  ,0.2
43  ,1.399e-01   ,-2.4  ,2.2  ,5
44  ,1.397e-01   ,-2.4  ,2  ,5
45  ,1.394e-01   ,-2.4  ,1.8  ,5
46  ,1.391e-01   ,-2.4  ,1.6  ,5
47  ,1.388e-01   ,-2.4  ,1.4  ,5
48  ,1.386e-01   ,-2.4  ,1.2  ,5
49  ,1.383e-01   ,-2.4  ,1  ,5
50  ,1.381e-01   ,-2.4  ,0.8  ,5
51  ,1.381e-01   ,-2.4  ,0.6  ,5
52  ,1.383e-01   ,-2.4  ,0.4  ,5
53  ,1.386e-01   ,-2.4  ,0.2  ,5
54  ,1.390e-01   ,-2.4  ,5.8879E-16  ,5
55  ,1.396e-01   ,-2.4  ,-0.2  ,5
56  ,1.401e-01   ,-2.4  ,-0.4  ,5
57  ,1.406e-01   ,-2.4  ,-0.6  ,5
58  ,1.410e-01   ,-2.4  ,-0.8  ,5
59  ,1.414e-01   ,-2.4  ,-1  ,5
60  ,1.418e-01   ,-2.4  ,-1.2  ,5
61  ,1.419e-01   ,-2.4  ,-1.4  ,5
62  ,1.419e-01   ,-2.4  ,-1.6  ,5
63  ,1.416e-01   ,-2.4  ,-1.8  ,5
64  ,1.414e-01   ,-2.4  ,-2  ,5
65  ,1.410e-01   ,-2.4  ,-2.2  ,5
66  ,1.420e-01   ,-2.2  ,-2.4  ,5
67  ,1.429e-01   ,-2  ,-2.4  ,5
68  ,1.430e-01   ,-1.8  ,-2.4  ,5
69  ,1.426e-01   ,-1.6  ,-2.4  ,5
70  ,1.416e-01   ,-1.4  ,-2.4  ,5
71  ,1.404e-01   ,-1.2  ,-2.4  ,5
72  ,1.391e-01   ,-1  ,-2.4  ,5
73  ,1.377e-01   ,-0.8  ,-2.4  ,5
74  ,1.364e-01   ,-0.6  ,-2.4  ,5
75  ,1.355e-01   ,-0.4  ,-2.4  ,5
76  ,1.350e-01   ,-0.2  ,-2.4  ,5
77  ,1.350e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,1.351e-01   ,0.2  ,-2.4  ,5
79  ,1.353e-01   ,0.4  ,-2.4  ,5
80  ,1.355e-01   ,0.6  ,-2.4  ,5
81  ,1.359e-01   ,0.8  ,-2.4  ,5
82  ,1.366e-01   ,1  ,-2.4  ,5
83  ,1.371e-01   ,1.2  ,-2.4  ,5
84  ,1.370e-01   ,1.4  ,-2.4  ,5
85  ,1.367e-01   ,1.6  ,-2.4  ,5
86  ,1.366e-01   ,1.8  ,-2.4  ,5
87  ,1.364e-01   ,2  ,-2.4  ,5
88  ,1.365e-01   ,2.2  ,-2.4  ,5
89  ,1.366e-01   ,2.4  ,-2.2029  ,5
90  ,1.363e-01   ,2.4  ,-2.0058  ,5
91  ,1.356e-01   ,2.4  ,-1.8087  ,5
92  ,1.345e-01   ,2.4  ,-1.6116  ,5
93  ,1.334e-01   ,2.4  ,-1.4145  ,5
94  ,1.322e-01   ,2.4  ,-1.2175  ,5
95  ,1.308e-01   ,2.4  ,-1.0204  ,5
96  ,1.288e-01   ,2.4  ,-0.82327  ,5
97  ,1.268e-01   ,2.4  ,-0.62618  ,5
98  ,1.246e-01   ,2.4  ,-0.42909  ,5
99  ,1.221e-01   ,2.4  ,-0.232  ,5
100  ,1.194e-01   ,2.4  ,-0.034907  ,5
101  ,1.164e-01   ,2.4  ,0.16218  ,5
102  ,1.128e-01   ,2.4  ,0.35927  ,5
103  ,1.088e-01   ,2.4  ,0.55637  ,5
104  ,1.045e-01   ,2.4  ,0.75346  ,5
105  ,9.996e-02   ,2.4  ,0.95055  ,5
106  ,9.414e-02   ,2.4  ,1.1476  ,5
107  ,8.658e-02   ,2.4  ,1.3447  ,5
108  ,7.647e-02   ,2.4  ,1.5418  ,5
109  ,6.421e-02   ,2.4  ,1.7389  ,5
110  ,4.879e-02   ,2.4  ,1.936  ,5
111  ,1.884e-02   ,2.2665  ,2.2665  ,5
112  ,4.877e-02   ,1.936  ,2.4  ,5
113  ,6.448e-02   ,1.7389  ,2.4  ,5
114  ,7.707e-02   ,1.5418  ,2.4  ,5
115  ,8.701e-02   ,1.3447  ,2.4  ,5
116  ,9.479e-02   ,1.1476  ,2.4  ,5
117  ,1.008e-01   ,0.95055  ,2.4  ,5
118  ,1.058e-01   ,0.75346  ,2.4  ,5
119  ,1.102e-01   ,0.55637  ,2.4  ,5
120  ,1.143e-01   ,0.35927  ,2.4  ,5
121  ,1.179e-01   ,0.16218  ,2.4  ,5
122  ,1.212e-01   ,-0.034907  ,2.4  ,5
123  ,1.241e-01   ,-0.232  ,2.4  ,5
124  ,1.269e-01   ,-0.42909  ,2.4  ,5
125  ,1.293e-01   ,-0.62618  ,2.4  ,5
126  ,1.316e-01   ,-0.82327  ,2.4  ,5
127  ,1.337e-01   ,-1.0204  ,2.4  ,5
128  ,1.355e-01   ,-1.2175  ,2.4  ,5
129  ,1.369e-01   ,-1.4145  ,2.4  ,5
130  ,1.382e-01   ,-1.6116  ,2.4  ,5
131  ,1.391e-01   ,-1.8087  ,2.4  ,5
132  ,1.397e-01   ,-2.0058  ,2.4  ,5
133  ,1.400e-01   ,-2.2029  ,2.4  ,5
294  ,1.366e-01   ,2.5  ,-2.2029  ,4.9
295  ,1.363e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.356e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.345e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.334e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.322e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.308e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.290e-01   ,2.5  ,-0.82327  ,4.9
302  ,1.269e-01   ,2.5  ,-0.62618  ,4.9
303  ,1.247e-01   ,2.5  ,-0.42909  ,4.9
304  ,1.222e-01   ,2.5  ,-0.232  ,4.9
305  ,1.195e-01   ,2.5  ,-0.034907  ,4.9
306  ,1.164e-01   ,2.5  ,0.16218  ,4.9
307  ,1.129e-01   ,2.5  ,0.35927  ,4.9
308  ,1.090e-01   ,2.5  ,0.55637  ,4.9
309  ,1.047e-01   ,2.5  ,0.75346  ,4.9
