Date:  13:19, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 23   time : 120.703 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.022e-01   ,2.5  ,2.1331  ,4.9
2  ,1.010e-01   ,2.4577  ,2.1908  ,4.9577
3  ,1.020e-01   ,2.4894  ,2.1331  ,4.9447
4  ,1.106e-01   ,2.1331  ,2.5  ,4.9
5  ,1.113e-01   ,2.1331  ,2.4894  ,4.9447
6  ,1.096e-01   ,2.1908  ,2.4577  ,4.9577
7  ,2.370e-01   ,-2.4  ,2.4  ,5
8  ,2.410e-01   ,-2.4  ,-2.4  ,5
9  ,1.654e-01   ,2.4  ,-2.4  ,5
10  ,1.021e-01   ,2.4  ,2.1331  ,5
11  ,1.110e-01   ,2.1331  ,2.4  ,5
12  ,1.656e-01   ,2.5  ,-2.4  ,4.9
13  ,2.401e-01   ,2.5  ,-2.4  ,0.1
14  ,2.368e-01   ,2.5  ,2.4  ,0.1
15  ,1.111e-01   ,2.5  ,2.4  ,4.6331
16  ,2.378e-01   ,2.4  ,2.5  ,0.1
17  ,1.987e-01   ,-2.4  ,2.5  ,0.1
18  ,2.379e-01   ,-2.4  ,2.5  ,4.9
19  ,1.105e-01   ,2.4  ,2.5  ,4.6331
20  ,2.002e-01   ,-2.5  ,2.4  ,0.1
21  ,2.899e-01   ,-2.5  ,-2.4  ,0.1
22  ,2.281e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.392e-01   ,-2.5  ,2.4  ,4.9
24  ,2.918e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.409e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.720e-01   ,2.3  ,-2.5  ,4.8
27  ,2.399e-01   ,2.3  ,-2.5  ,0.2
28  ,2.371e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.734e-01   ,2.4  ,-2.5  ,4.9
30  ,2.913e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.364e-01   ,2.4  ,-2.5  ,0.1
32  ,2.276e-01   ,2.4  ,-2.4  ,0
33  ,2.391e-01   ,2.4  ,2.4  ,0
34  ,2.899e-01   ,-2.4  ,-2.4  ,0
35  ,2.002e-01   ,-2.4  ,2.4  ,0
36  ,1.099e-01   ,2.4577  ,2.4577  ,4.6908
37  ,2.328e-01   ,-2.3  ,2.3  ,4.8
38  ,9.785e-02   ,2.1599  ,2.3  ,4.8
