Date:  13:14, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 16   time : 83.9512 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
106  ,9.557e-02   ,2.4  ,1.1476  ,5
107  ,8.868e-02   ,2.4  ,1.3447  ,5
108  ,7.919e-02   ,2.4  ,1.5418  ,5
109  ,6.691e-02   ,2.4  ,1.7389  ,5
110  ,5.143e-02   ,2.4  ,1.936  ,5
111  ,2.980e-02   ,2.2665  ,2.2665  ,5
112  ,6.337e-02   ,1.936  ,2.4  ,5
113  ,8.010e-02   ,1.7389  ,2.4  ,5
114  ,9.436e-02   ,1.5418  ,2.4  ,5
115  ,1.058e-01   ,1.3447  ,2.4  ,5
116  ,1.154e-01   ,1.1476  ,2.4  ,5
117  ,1.234e-01   ,0.95055  ,2.4  ,5
118  ,1.304e-01   ,0.75346  ,2.4  ,5
119  ,1.372e-01   ,0.55637  ,2.4  ,5
120  ,1.438e-01   ,0.35927  ,2.4  ,5
121  ,1.502e-01   ,0.16218  ,2.4  ,5
122  ,1.563e-01   ,-0.034907  ,2.4  ,5
123  ,1.621e-01   ,-0.232  ,2.4  ,5
124  ,1.681e-01   ,-0.42909  ,2.4  ,5
125  ,1.741e-01   ,-0.62618  ,2.4  ,5
126  ,1.803e-01   ,-0.82327  ,2.4  ,5
127  ,1.869e-01   ,-1.0204  ,2.4  ,5
128  ,1.933e-01   ,-1.2175  ,2.4  ,5
129  ,1.995e-01   ,-1.4145  ,2.4  ,5
130  ,2.054e-01   ,-1.6116  ,2.4  ,5
131  ,2.108e-01   ,-1.8087  ,2.4  ,5
132  ,2.157e-01   ,-2.0058  ,2.4  ,5
133  ,2.201e-01   ,-2.2029  ,2.4  ,5
294  ,9.785e-02   ,2.5  ,-2.2029  ,4.9
295  ,1.005e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.024e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.043e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.059e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.072e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.083e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.091e-01   ,2.5  ,-0.82327  ,4.9
302  ,1.100e-01   ,2.5  ,-0.62618  ,4.9
303  ,1.107e-01   ,2.5  ,-0.42909  ,4.9
304  ,1.110e-01   ,2.5  ,-0.232  ,4.9
305  ,1.103e-01   ,2.5  ,-0.034907  ,4.9
306  ,1.090e-01   ,2.5  ,0.16218  ,4.9
307  ,1.076e-01   ,2.5  ,0.35927  ,4.9
308  ,1.055e-01   ,2.5  ,0.55637  ,4.9
309  ,1.030e-01   ,2.5  ,0.75346  ,4.9
310  ,1.001e-01   ,2.5  ,0.95055  ,4.9
311  ,9.542e-02   ,2.5  ,1.1476  ,4.9
312  ,8.819e-02   ,2.5  ,1.3447  ,4.9
313  ,7.845e-02   ,2.5  ,1.5418  ,4.9
314  ,6.675e-02   ,2.5  ,1.7389  ,4.9
315  ,5.062e-02   ,2.5  ,1.936  ,4.9
316  ,1.005e-01   ,2.5  ,-2.4  ,4.7
317  ,1.128e-01   ,2.5  ,-2.4  ,4.5
318  ,1.292e-01   ,2.5  ,-2.4  ,4.3
319  ,1.474e-01   ,2.5  ,-2.4  ,4.1
320  ,1.649e-01   ,2.5  ,-2.4  ,3.9
321  ,1.801e-01   ,2.5  ,-2.4  ,3.7
322  ,1.922e-01   ,2.5  ,-2.4  ,3.5
323  ,2.004e-01   ,2.5  ,-2.4  ,3.3
324  ,2.045e-01   ,2.5  ,-2.4  ,3.1
325  ,2.048e-01   ,2.5  ,-2.4  ,2.9
326  ,2.028e-01   ,2.5  ,-2.4  ,2.7
327  ,2.003e-01   ,2.5  ,-2.4  ,2.5
328  ,1.992e-01   ,2.5  ,-2.4  ,2.3
329  ,2.005e-01   ,2.5  ,-2.4  ,2.1
330  ,2.043e-01   ,2.5  ,-2.4  ,1.9
331  ,2.097e-01   ,2.5  ,-2.4  ,1.7
332  ,2.152e-01   ,2.5  ,-2.4  ,1.5
333  ,2.199e-01   ,2.5  ,-2.4  ,1.3
334  ,2.236e-01   ,2.5  ,-2.4  ,1.1
335  ,2.253e-01   ,2.5  ,-2.4  ,0.9
336  ,2.235e-01   ,2.5  ,-2.4  ,0.7
337  ,2.172e-01   ,2.5  ,-2.4  ,0.5
338  ,2.067e-01   ,2.5  ,-2.4  ,0.3
339  ,1.946e-01   ,2.5  ,-2.2  ,0.1
340  ,1.965e-01   ,2.5  ,-2  ,0.1
341  ,1.983e-01   ,2.5  ,-1.8  ,0.1
342  ,2.001e-01   ,2.5  ,-1.6  ,0.1
343  ,2.017e-01   ,2.5  ,-1.4  ,0.1
344  ,2.027e-01   ,2.5  ,-1.2  ,0.1
345  ,2.037e-01   ,2.5  ,-1  ,0.1
346  ,2.046e-01   ,2.5  ,-0.8  ,0.1
347  ,2.056e-01   ,2.5  ,-0.6  ,0.1
348  ,2.068e-01   ,2.5  ,-0.4  ,0.1
349  ,2.080e-01   ,2.5  ,-0.2  ,0.1
350  ,2.092e-01   ,2.5  ,-1.7664E-15  ,0.1
351  ,2.102e-01   ,2.5  ,0.2  ,0.1
352  ,2.113e-01   ,2.5  ,0.4  ,0.1
353  ,2.124e-01   ,2.5  ,0.6  ,0.1
354  ,2.135e-01   ,2.5  ,0.8  ,0.1
355  ,2.144e-01   ,2.5  ,1  ,0.1
356  ,2.151e-01   ,2.5  ,1.2  ,0.1
357  ,2.161e-01   ,2.5  ,1.4  ,0.1
358  ,2.172e-01   ,2.5  ,1.6  ,0.1
359  ,2.186e-01   ,2.5  ,1.8  ,0.1
360  ,2.202e-01   ,2.5  ,2  ,0.1
361  ,2.220e-01   ,2.5  ,2.2  ,0.1
362  ,6.149e-02   ,2.5  ,2.4  ,4.436
363  ,7.879e-02   ,2.5  ,2.4  ,4.2389
364  ,9.255e-02   ,2.5  ,2.4  ,4.0418
365  ,1.039e-01   ,2.5  ,2.4  ,3.8447
366  ,1.138e-01   ,2.5  ,2.4  ,3.6476
367  ,1.219e-01   ,2.5  ,2.4  ,3.4505
368  ,1.287e-01   ,2.5  ,2.4  ,3.2535
369  ,1.354e-01   ,2.5  ,2.4  ,3.0564
370  ,1.421e-01   ,2.5  ,2.4  ,2.8593
371  ,1.484e-01   ,2.5  ,2.4  ,2.6622
372  ,1.545e-01   ,2.5  ,2.4  ,2.4651
373  ,1.607e-01   ,2.5  ,2.4  ,2.268
374  ,1.668e-01   ,2.5  ,2.4  ,2.0709
375  ,1.729e-01   ,2.5  ,2.4  ,1.8738
376  ,1.795e-01   ,2.5  ,2.4  ,1.6767
377  ,1.864e-01   ,2.5  ,2.4  ,1.4796
378  ,1.926e-01   ,2.5  ,2.4  ,1.2825
379  ,1.987e-01   ,2.5  ,2.4  ,1.0855
380  ,2.045e-01   ,2.5  ,2.4  ,0.88836
381  ,2.101e-01   ,2.5  ,2.4  ,0.69127
382  ,2.151e-01   ,2.5  ,2.4  ,0.49418
383  ,2.198e-01   ,2.5  ,2.4  ,0.29709
384  ,2.912e-02   ,2.5  ,2.2665  ,4.7665
544  ,2.228e-01   ,2.2  ,2.5  ,0.1
545  ,2.214e-01   ,2  ,2.5  ,0.1
546  ,2.201e-01   ,1.8  ,2.5  ,0.1
547  ,2.189e-01   ,1.6  ,2.5  ,0.1
548  ,2.180e-01   ,1.4  ,2.5  ,0.1
549  ,2.174e-01   ,1.2  ,2.5  ,0.1
550  ,2.166e-01   ,1  ,2.5  ,0.1
551  ,2.158e-01   ,0.8  ,2.5  ,0.1
552  ,2.147e-01   ,0.6  ,2.5  ,0.1
553  ,2.138e-01   ,0.4  ,2.5  ,0.1
554  ,2.131e-01   ,0.2  ,2.5  ,0.1
555  ,2.122e-01   ,5.8879E-16  ,2.5  ,0.1
556  ,2.119e-01   ,-0.2  ,2.5  ,0.1
557  ,2.112e-01   ,-0.4  ,2.5  ,0.1
558  ,2.103e-01   ,-0.6  ,2.5  ,0.1
559  ,2.096e-01   ,-0.8  ,2.5  ,0.1
560  ,2.093e-01   ,-1  ,2.5  ,0.1
561  ,2.090e-01   ,-1.2  ,2.5  ,0.1
562  ,2.086e-01   ,-1.4  ,2.5  ,0.1
563  ,2.077e-01   ,-1.6  ,2.5  ,0.1
564  ,2.066e-01   ,-1.8  ,2.5  ,0.1
565  ,2.049e-01   ,-2  ,2.5  ,0.1
566  ,2.029e-01   ,-2.2  ,2.5  ,0.1
567  ,2.229e-01   ,-2.4  ,2.5  ,4.7
568  ,2.214e-01   ,-2.4  ,2.5  ,4.5
569  ,2.200e-01   ,-2.4  ,2.5  ,4.3
570  ,2.188e-01   ,-2.4  ,2.5  ,4.1
571  ,2.180e-01   ,-2.4  ,2.5  ,3.9
572  ,2.173e-01   ,-2.4  ,2.5  ,3.7
573  ,2.167e-01   ,-2.4  ,2.5  ,3.5
574  ,2.160e-01   ,-2.4  ,2.5  ,3.3
575  ,2.150e-01   ,-2.4  ,2.5  ,3.1
576  ,2.142e-01   ,-2.4  ,2.5  ,2.9
577  ,2.134e-01   ,-2.4  ,2.5  ,2.7
578  ,2.126e-01   ,-2.4  ,2.5  ,2.5
579  ,2.118e-01   ,-2.4  ,2.5  ,2.3
580  ,2.110e-01   ,-2.4  ,2.5  ,2.1
581  ,2.102e-01   ,-2.4  ,2.5  ,1.9
582  ,2.096e-01   ,-2.4  ,2.5  ,1.7
583  ,2.094e-01   ,-2.4  ,2.5  ,1.5
584  ,2.091e-01   ,-2.4  ,2.5  ,1.3
585  ,2.085e-01   ,-2.4  ,2.5  ,1.1
586  ,2.077e-01   ,-2.4  ,2.5  ,0.9
587  ,2.065e-01   ,-2.4  ,2.5  ,0.7
588  ,2.049e-01   ,-2.4  ,2.5  ,0.5
589  ,2.029e-01   ,-2.4  ,2.5  ,0.3
590  ,6.497e-02   ,1.936  ,2.5  ,4.9
591  ,8.061e-02   ,1.7389  ,2.5  ,4.9
592  ,9.456e-02   ,1.5418  ,2.5  ,4.9
593  ,1.064e-01   ,1.3447  ,2.5  ,4.9
594  ,1.159e-01   ,1.1476  ,2.5  ,4.9
595  ,1.240e-01   ,0.95055  ,2.5  ,4.9
596  ,1.309e-01   ,0.75346  ,2.5  ,4.9
597  ,1.375e-01   ,0.55637  ,2.5  ,4.9
