Date:  13:16, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 18   time : 94.4449 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,4.070e-02   ,2.5  ,2.1331  ,4.9
2  ,3.316e-02   ,2.4577  ,2.1908  ,4.9577
3  ,3.849e-02   ,2.4894  ,2.1331  ,4.9447
4  ,5.393e-02   ,2.1331  ,2.5  ,4.9
5  ,5.396e-02   ,2.1331  ,2.4894  ,4.9447
6  ,4.916e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.320e-01   ,-2.4  ,2.4  ,5
8  ,2.029e-01   ,-2.4  ,-2.4  ,5
9  ,4.521e-02   ,2.4  ,-2.4  ,5
10  ,4.022e-02   ,2.4  ,2.1331  ,5
11  ,5.423e-02   ,2.1331  ,2.4  ,5
12  ,4.497e-02   ,2.5  ,-2.4  ,4.9
13  ,2.029e-01   ,2.5  ,-2.4  ,0.1
14  ,2.311e-01   ,2.5  ,2.4  ,0.1
15  ,5.371e-02   ,2.5  ,2.4  ,4.6331
16  ,2.312e-01   ,2.4  ,2.5  ,0.1
17  ,2.050e-01   ,-2.4  ,2.5  ,0.1
18  ,2.320e-01   ,-2.4  ,2.5  ,4.9
19  ,5.326e-02   ,2.4  ,2.5  ,4.6331
20  ,2.064e-01   ,-2.5  ,2.4  ,0.1
21  ,2.782e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.977e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.335e-01   ,-2.5  ,2.4  ,4.9
24  ,2.789e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.125e-01   ,-2.3  ,-2.5  ,4.8
26  ,4.746e-02   ,2.3  ,-2.5  ,4.8
27  ,2.127e-01   ,2.3  ,-2.5  ,0.2
28  ,2.037e-01   ,-2.4  ,-2.5  ,4.9
29  ,4.346e-02   ,2.4  ,-2.5  ,4.9
30  ,2.787e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.037e-01   ,2.4  ,-2.5  ,0.1
32  ,1.975e-01   ,2.4  ,-2.4  ,0
33  ,2.325e-01   ,2.4  ,2.4  ,0
34  ,2.783e-01   ,-2.4  ,-2.4  ,0
35  ,2.064e-01   ,-2.4  ,2.4  ,0
36  ,4.909e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.273e-01   ,-2.3  ,2.3  ,4.8
38  ,4.170e-02   ,2.1599  ,2.3  ,4.8
39  ,4.374e-02   ,2.3  ,2.1599  ,4.8
40  ,4.179e-02   ,2.3  ,2.3  ,4.6599
41  ,2.264e-01   ,2.3  ,2.3  ,0.2
42  ,2.144e-01   ,-2.3  ,2.3  ,0.2
43  ,2.301e-01   ,-2.4  ,2.2  ,5
44  ,2.283e-01   ,-2.4  ,2  ,5
45  ,2.266e-01   ,-2.4  ,1.8  ,5
46  ,2.251e-01   ,-2.4  ,1.6  ,5
47  ,2.241e-01   ,-2.4  ,1.4  ,5
48  ,2.234e-01   ,-2.4  ,1.2  ,5
49  ,2.228e-01   ,-2.4  ,1  ,5
50  ,2.218e-01   ,-2.4  ,0.8  ,5
51  ,2.205e-01   ,-2.4  ,0.6  ,5
52  ,2.193e-01   ,-2.4  ,0.4  ,5
53  ,2.181e-01   ,-2.4  ,0.2  ,5
54  ,2.171e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.161e-01   ,-2.4  ,-0.2  ,5
56  ,2.151e-01   ,-2.4  ,-0.4  ,5
57  ,2.140e-01   ,-2.4  ,-0.6  ,5
58  ,2.129e-01   ,-2.4  ,-0.8  ,5
59  ,2.121e-01   ,-2.4  ,-1  ,5
60  ,2.113e-01   ,-2.4  ,-1.2  ,5
61  ,2.103e-01   ,-2.4  ,-1.4  ,5
62  ,2.089e-01   ,-2.4  ,-1.6  ,5
63  ,2.071e-01   ,-2.4  ,-1.8  ,5
64  ,2.055e-01   ,-2.4  ,-2  ,5
65  ,2.038e-01   ,-2.4  ,-2.2  ,5
66  ,2.159e-01   ,-2.2  ,-2.4  ,5
67  ,2.257e-01   ,-2  ,-2.4  ,5
68  ,2.312e-01   ,-1.8  ,-2.4  ,5
69  ,2.327e-01   ,-1.6  ,-2.4  ,5
70  ,2.311e-01   ,-1.4  ,-2.4  ,5
71  ,2.277e-01   ,-1.2  ,-2.4  ,5
72  ,2.241e-01   ,-1  ,-2.4  ,5
73  ,2.213e-01   ,-0.8  ,-2.4  ,5
74  ,2.201e-01   ,-0.6  ,-2.4  ,5
75  ,2.204e-01   ,-0.4  ,-2.4  ,5
76  ,2.216e-01   ,-0.2  ,-2.4  ,5
77  ,2.222e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,2.207e-01   ,0.2  ,-2.4  ,5
79  ,2.165e-01   ,0.4  ,-2.4  ,5
80  ,2.099e-01   ,0.6  ,-2.4  ,5
81  ,1.998e-01   ,0.8  ,-2.4  ,5
82  ,1.854e-01   ,1  ,-2.4  ,5
83  ,1.664e-01   ,1.2  ,-2.4  ,5
84  ,1.436e-01   ,1.4  ,-2.4  ,5
85  ,1.179e-01   ,1.6  ,-2.4  ,5
86  ,9.193e-02   ,1.8  ,-2.4  ,5
87  ,6.939e-02   ,2  ,-2.4  ,5
88  ,5.324e-02   ,2.2  ,-2.4  ,5
89  ,4.957e-02   ,2.4  ,-2.2029  ,5
90  ,5.300e-02   ,2.4  ,-2.0058  ,5
91  ,5.605e-02   ,2.4  ,-1.8087  ,5
92  ,5.947e-02   ,2.4  ,-1.6116  ,5
93  ,6.313e-02   ,2.4  ,-1.4145  ,5
94  ,6.653e-02   ,2.4  ,-1.2175  ,5
95  ,6.955e-02   ,2.4  ,-1.0204  ,5
96  ,7.168e-02   ,2.4  ,-0.82327  ,5
97  ,7.440e-02   ,2.4  ,-0.62618  ,5
98  ,7.685e-02   ,2.4  ,-0.42909  ,5
99  ,7.920e-02   ,2.4  ,-0.232  ,5
100  ,8.061e-02   ,2.4  ,-0.034907  ,5
101  ,8.166e-02   ,2.4  ,0.16218  ,5
102  ,8.193e-02   ,2.4  ,0.35927  ,5
103  ,8.204e-02   ,2.4  ,0.55637  ,5
104  ,8.215e-02   ,2.4  ,0.75346  ,5
105  ,8.165e-02   ,2.4  ,0.95055  ,5
106  ,7.970e-02   ,2.4  ,1.1476  ,5
107  ,7.592e-02   ,2.4  ,1.3447  ,5
108  ,7.002e-02   ,2.4  ,1.5418  ,5
109  ,6.223e-02   ,2.4  ,1.7389  ,5
110  ,5.325e-02   ,2.4  ,1.936  ,5
111  ,4.481e-02   ,2.2665  ,2.2665  ,5
112  ,6.963e-02   ,1.936  ,2.4  ,5
113  ,8.295e-02   ,1.7389  ,2.4  ,5
114  ,9.493e-02   ,1.5418  ,2.4  ,5
115  ,1.054e-01   ,1.3447  ,2.4  ,5
116  ,1.146e-01   ,1.1476  ,2.4  ,5
117  ,1.225e-01   ,0.95055  ,2.4  ,5
118  ,1.298e-01   ,0.75346  ,2.4  ,5
119  ,1.368e-01   ,0.55637  ,2.4  ,5
120  ,1.436e-01   ,0.35927  ,2.4  ,5
121  ,1.503e-01   ,0.16218  ,2.4  ,5
122  ,1.568e-01   ,-0.034907  ,2.4  ,5
123  ,1.631e-01   ,-0.232  ,2.4  ,5
124  ,1.693e-01   ,-0.42909  ,2.4  ,5
125  ,1.761e-01   ,-0.62618  ,2.4  ,5
