Date:  13:18, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 22   time : 115.44 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,8.848e-02   ,2.5  ,2.1331  ,4.9
2  ,8.608e-02   ,2.4577  ,2.1908  ,4.9577
3  ,8.800e-02   ,2.4894  ,2.1331  ,4.9447
4  ,9.834e-02   ,2.1331  ,2.5  ,4.9
5  ,9.906e-02   ,2.1331  ,2.4894  ,4.9447
6  ,9.670e-02   ,2.1908  ,2.4577  ,4.9577
7  ,2.355e-01   ,-2.4  ,2.4  ,5
8  ,2.321e-01   ,-2.4  ,-2.4  ,5
9  ,1.171e-01   ,2.4  ,-2.4  ,5
10  ,8.804e-02   ,2.4  ,2.1331  ,5
11  ,9.896e-02   ,2.1331  ,2.4  ,5
12  ,1.173e-01   ,2.5  ,-2.4  ,4.9
13  ,2.304e-01   ,2.5  ,-2.4  ,0.1
14  ,2.350e-01   ,2.5  ,2.4  ,0.1
15  ,9.907e-02   ,2.5  ,2.4  ,4.6331
16  ,2.356e-01   ,2.4  ,2.5  ,0.1
17  ,2.022e-01   ,-2.4  ,2.5  ,0.1
18  ,2.361e-01   ,-2.4  ,2.5  ,4.9
19  ,9.819e-02   ,2.4  ,2.5  ,4.6331
20  ,2.036e-01   ,-2.5  ,2.4  ,0.1
21  ,2.871e-01   ,-2.5  ,-2.4  ,0.1
22  ,2.209e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.375e-01   ,-2.5  ,2.4  ,4.9
24  ,2.886e-01   ,-2.3  ,-2.5  ,0.2
25  ,2.347e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.241e-01   ,2.3  ,-2.5  ,4.8
27  ,2.331e-01   ,2.3  ,-2.5  ,0.2
28  ,2.294e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.248e-01   ,2.4  ,-2.5  ,4.9
30  ,2.881e-01   ,-2.4  ,-2.5  ,0.1
31  ,2.279e-01   ,2.4  ,-2.5  ,0.1
32  ,2.195e-01   ,2.4  ,-2.4  ,0
33  ,2.369e-01   ,2.4  ,2.4  ,0
34  ,2.868e-01   ,-2.4  ,-2.4  ,0
35  ,2.036e-01   ,-2.4  ,2.4  ,0
36  ,9.701e-02   ,2.4577  ,2.4577  ,4.6908
37  ,2.312e-01   ,-2.3  ,2.3  ,4.8
38  ,8.628e-02   ,2.1599  ,2.3  ,4.8
39  ,8.696e-02   ,2.3  ,2.1599  ,4.8
40  ,8.647e-02   ,2.3  ,2.3  ,4.6599
41  ,2.306e-01   ,2.3  ,2.3  ,0.2
42  ,2.105e-01   ,-2.3  ,2.3  ,0.2
43  ,2.330e-01   ,-2.4  ,2.2  ,5
44  ,2.307e-01   ,-2.4  ,2  ,5
45  ,2.287e-01   ,-2.4  ,1.8  ,5
46  ,2.271e-01   ,-2.4  ,1.6  ,5
47  ,2.261e-01   ,-2.4  ,1.4  ,5
48  ,2.255e-01   ,-2.4  ,1.2  ,5
49  ,2.251e-01   ,-2.4  ,1  ,5
50  ,2.245e-01   ,-2.4  ,0.8  ,5
51  ,2.234e-01   ,-2.4  ,0.6  ,5
52  ,2.226e-01   ,-2.4  ,0.4  ,5
53  ,2.221e-01   ,-2.4  ,0.2  ,5
54  ,2.217e-01   ,-2.4  ,5.8879E-16  ,5
55  ,2.215e-01   ,-2.4  ,-0.2  ,5
56  ,2.215e-01   ,-2.4  ,-0.4  ,5
57  ,2.217e-01   ,-2.4  ,-0.6  ,5
58  ,2.221e-01   ,-2.4  ,-0.8  ,5
59  ,2.228e-01   ,-2.4  ,-1  ,5
60  ,2.236e-01   ,-2.4  ,-1.2  ,5
61  ,2.245e-01   ,-2.4  ,-1.4  ,5
62  ,2.253e-01   ,-2.4  ,-1.6  ,5
63  ,2.264e-01   ,-2.4  ,-1.8  ,5
64  ,2.280e-01   ,-2.4  ,-2  ,5
65  ,2.297e-01   ,-2.4  ,-2.2  ,5
66  ,2.465e-01   ,-2.2  ,-2.4  ,5
67  ,2.576e-01   ,-2  ,-2.4  ,5
68  ,2.659e-01   ,-1.8  ,-2.4  ,5
69  ,2.719e-01   ,-1.6  ,-2.4  ,5
70  ,2.762e-01   ,-1.4  ,-2.4  ,5
71  ,2.794e-01   ,-1.2  ,-2.4  ,5
72  ,2.816e-01   ,-1  ,-2.4  ,5
73  ,2.829e-01   ,-0.8  ,-2.4  ,5
74  ,2.829e-01   ,-0.6  ,-2.4  ,5
75  ,2.813e-01   ,-0.4  ,-2.4  ,5
76  ,2.771e-01   ,-0.2  ,-2.4  ,5
77  ,2.694e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,2.572e-01   ,0.2  ,-2.4  ,5
79  ,2.400e-01   ,0.4  ,-2.4  ,5
80  ,2.176e-01   ,0.6  ,-2.4  ,5
81  ,1.900e-01   ,0.8  ,-2.4  ,5
82  ,1.572e-01   ,1  ,-2.4  ,5
83  ,1.203e-01   ,1.2  ,-2.4  ,5
84  ,8.403e-02   ,1.4  ,-2.4  ,5
85  ,5.792e-02   ,1.6  ,-2.4  ,5
86  ,5.960e-02   ,1.8  ,-2.4  ,5
87  ,8.286e-02   ,2  ,-2.4  ,5
88  ,1.060e-01   ,2.2  ,-2.4  ,5
89  ,1.041e-01   ,2.4  ,-2.2029  ,5
90  ,9.238e-02   ,2.4  ,-2.0058  ,5
91  ,8.193e-02   ,2.4  ,-1.8087  ,5
92  ,7.203e-02   ,2.4  ,-1.6116  ,5
93  ,6.277e-02   ,2.4  ,-1.4145  ,5
94  ,5.429e-02   ,2.4  ,-1.2175  ,5
95  ,4.661e-02   ,2.4  ,-1.0204  ,5
96  ,4.040e-02   ,2.4  ,-0.82327  ,5
97  ,3.527e-02   ,2.4  ,-0.62618  ,5
98  ,3.254e-02   ,2.4  ,-0.42909  ,5
99  ,3.198e-02   ,2.4  ,-0.232  ,5
100  ,3.399e-02   ,2.4  ,-0.034907  ,5
101  ,3.775e-02   ,2.4  ,0.16218  ,5
102  ,4.258e-02   ,2.4  ,0.35927  ,5
103  ,4.853e-02   ,2.4  ,0.55637  ,5
104  ,5.533e-02   ,2.4  ,0.75346  ,5
105  ,6.181e-02   ,2.4  ,0.95055  ,5
106  ,6.770e-02   ,2.4  ,1.1476  ,5
107  ,7.307e-02   ,2.4  ,1.3447  ,5
108  ,7.782e-02   ,2.4  ,1.5418  ,5
109  ,8.195e-02   ,2.4  ,1.7389  ,5
110  ,8.594e-02   ,2.4  ,1.936  ,5
111  ,9.176e-02   ,2.2665  ,2.2665  ,5
112  ,1.021e-01   ,1.936  ,2.4  ,5
113  ,1.059e-01   ,1.7389  ,2.4  ,5
114  ,1.105e-01   ,1.5418  ,2.4  ,5
115  ,1.156e-01   ,1.3447  ,2.4  ,5
116  ,1.210e-01   ,1.1476  ,2.4  ,5
117  ,1.265e-01   ,0.95055  ,2.4  ,5
118  ,1.321e-01   ,0.75346  ,2.4  ,5
119  ,1.385e-01   ,0.55637  ,2.4  ,5
120  ,1.451e-01   ,0.35927  ,2.4  ,5
121  ,1.517e-01   ,0.16218  ,2.4  ,5
122  ,1.580e-01   ,-0.034907  ,2.4  ,5
123  ,1.644e-01   ,-0.232  ,2.4  ,5
124  ,1.710e-01   ,-0.42909  ,2.4  ,5
125  ,1.782e-01   ,-0.62618  ,2.4  ,5
126  ,1.855e-01   ,-0.82327  ,2.4  ,5
127  ,1.928e-01   ,-1.0204  ,2.4  ,5
128  ,2.001e-01   ,-1.2175  ,2.4  ,5
129  ,2.072e-01   ,-1.4145  ,2.4  ,5
130  ,2.141e-01   ,-1.6116  ,2.4  ,5
131  ,2.202e-01   ,-1.8087  ,2.4  ,5
132  ,2.257e-01   ,-2.0058  ,2.4  ,5
133  ,2.308e-01   ,-2.2029  ,2.4  ,5
294  ,1.042e-01   ,2.5  ,-2.2029  ,4.9
295  ,9.252e-02   ,2.5  ,-2.0058  ,4.9
296  ,8.212e-02   ,2.5  ,-1.8087  ,4.9
297  ,7.220e-02   ,2.5  ,-1.6116  ,4.9
298  ,6.298e-02   ,2.5  ,-1.4145  ,4.9
299  ,5.455e-02   ,2.5  ,-1.2175  ,4.9
300  ,4.666e-02   ,2.5  ,-1.0204  ,4.9
301  ,4.004e-02   ,2.5  ,-0.82327  ,4.9
302  ,3.502e-02   ,2.5  ,-0.62618  ,4.9
303  ,3.235e-02   ,2.5  ,-0.42909  ,4.9
304  ,3.204e-02   ,2.5  ,-0.232  ,4.9
305  ,3.397e-02   ,2.5  ,-0.034907  ,4.9
306  ,3.779e-02   ,2.5  ,0.16218  ,4.9
307  ,4.286e-02   ,2.5  ,0.35927  ,4.9
308  ,4.856e-02   ,2.5  ,0.55637  ,4.9
309  ,5.499e-02   ,2.5  ,0.75346  ,4.9
310  ,6.155e-02   ,2.5  ,0.95055  ,4.9
311  ,6.774e-02   ,2.5  ,1.1476  ,4.9
312  ,7.315e-02   ,2.5  ,1.3447  ,4.9
313  ,7.769e-02   ,2.5  ,1.5418  ,4.9
314  ,8.204e-02   ,2.5  ,1.7389  ,4.9
315  ,8.588e-02   ,2.5  ,1.936  ,4.9
316  ,1.064e-01   ,2.5  ,-2.4  ,4.7
317  ,8.369e-02   ,2.5  ,-2.4  ,4.5
318  ,6.080e-02   ,2.5  ,-2.4  ,4.3
319  ,5.823e-02   ,2.5  ,-2.4  ,4.1
320  ,8.334e-02   ,2.5  ,-2.4  ,3.9
321  ,1.190e-01   ,2.5  ,-2.4  ,3.7
322  ,1.559e-01   ,2.5  ,-2.4  ,3.5
323  ,1.894e-01   ,2.5  ,-2.4  ,3.3
324  ,2.173e-01   ,2.5  ,-2.4  ,3.1
325  ,2.394e-01   ,2.5  ,-2.4  ,2.9
326  ,2.564e-01   ,2.5  ,-2.4  ,2.7
327  ,2.688e-01   ,2.5  ,-2.4  ,2.5
328  ,2.771e-01   ,2.5  ,-2.4  ,2.3
329  ,2.816e-01   ,2.5  ,-2.4  ,2.1
330  ,2.832e-01   ,2.5  ,-2.4  ,1.9
331  ,2.827e-01   ,2.5  ,-2.4  ,1.7
332  ,2.809e-01   ,2.5  ,-2.4  ,1.5
333  ,2.782e-01   ,2.5  ,-2.4  ,1.3
334  ,2.743e-01   ,2.5  ,-2.4  ,1.1
335  ,2.695e-01   ,2.5  ,-2.4  ,0.9
336  ,2.635e-01   ,2.5  ,-2.4  ,0.7
337  ,2.556e-01   ,2.5  ,-2.4  ,0.5
338  ,2.446e-01   ,2.5  ,-2.4  ,0.3
339  ,2.283e-01   ,2.5  ,-2.2  ,0.1
340  ,2.268e-01   ,2.5  ,-2  ,0.1
341  ,2.255e-01   ,2.5  ,-1.8  ,0.1
342  ,2.246e-01   ,2.5  ,-1.6  ,0.1
343  ,2.237e-01   ,2.5  ,-1.4  ,0.1
344  ,2.229e-01   ,2.5  ,-1.2  ,0.1
345  ,2.220e-01   ,2.5  ,-1  ,0.1
346  ,2.213e-01   ,2.5  ,-0.8  ,0.1
347  ,2.209e-01   ,2.5  ,-0.6  ,0.1
348  ,2.207e-01   ,2.5  ,-0.4  ,0.1
349  ,2.208e-01   ,2.5  ,-0.2  ,0.1
350  ,2.211e-01   ,2.5  ,-1.7664E-15  ,0.1
351  ,2.214e-01   ,2.5  ,0.2  ,0.1
352  ,2.220e-01   ,2.5  ,0.4  ,0.1
353  ,2.227e-01   ,2.5  ,0.6  ,0.1
354  ,2.236e-01   ,2.5  ,0.8  ,0.1
355  ,2.242e-01   ,2.5  ,1  ,0.1
356  ,2.247e-01   ,2.5  ,1.2  ,0.1
357  ,2.256e-01   ,2.5  ,1.4  ,0.1
358  ,2.268e-01   ,2.5  ,1.6  ,0.1
359  ,2.284e-01   ,2.5  ,1.8  ,0.1
360  ,2.304e-01   ,2.5  ,2  ,0.1
361  ,2.327e-01   ,2.5  ,2.2  ,0.1
362  ,1.018e-01   ,2.5  ,2.4  ,4.436
363  ,1.058e-01   ,2.5  ,2.4  ,4.2389
364  ,1.099e-01   ,2.5  ,2.4  ,4.0418
365  ,1.147e-01   ,2.5  ,2.4  ,3.8447
366  ,1.201e-01   ,2.5  ,2.4  ,3.6476
367  ,1.257e-01   ,2.5  ,2.4  ,3.4505
368  ,1.312e-01   ,2.5  ,2.4  ,3.2535
369  ,1.370e-01   ,2.5  ,2.4  ,3.0564
370  ,1.433e-01   ,2.5  ,2.4  ,2.8593
371  ,1.496e-01   ,2.5  ,2.4  ,2.6622
372  ,1.559e-01   ,2.5  ,2.4  ,2.4651
373  ,1.626e-01   ,2.5  ,2.4  ,2.268
374  ,1.691e-01   ,2.5  ,2.4  ,2.0709
