Date:  13:13, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 13   time : 68.2049 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.578e-02   ,2.5  ,2.1331  ,4.9
2  ,3.958e-03   ,2.4577  ,2.1908  ,4.9577
3  ,2.233e-02   ,2.4894  ,2.1331  ,4.9447
4  ,3.136e-02   ,2.1331  ,2.5  ,4.9
5  ,2.946e-02   ,2.1331  ,2.4894  ,4.9447
6  ,1.821e-02   ,2.1908  ,2.4577  ,4.9577
7  ,1.999e-01   ,-2.4  ,2.4  ,5
8  ,1.777e-01   ,-2.4  ,-2.4  ,5
9  ,1.399e-01   ,2.4  ,-2.4  ,5
10  ,2.413e-02   ,2.4  ,2.1331  ,5
11  ,3.045e-02   ,2.1331  ,2.4  ,5
12  ,1.399e-01   ,2.5  ,-2.4  ,4.9
13  ,1.772e-01   ,2.5  ,-2.4  ,0.1
14  ,1.998e-01   ,2.5  ,2.4  ,0.1
15  ,3.039e-02   ,2.5  ,2.4  ,4.6331
16  ,2.001e-01   ,2.4  ,2.5  ,0.1
17  ,1.858e-01   ,-2.4  ,2.5  ,0.1
18  ,2.002e-01   ,-2.4  ,2.5  ,4.9
19  ,3.043e-02   ,2.4  ,2.5  ,4.6331
20  ,1.866e-01   ,-2.5  ,2.4  ,0.1
21  ,2.366e-01   ,-2.5  ,-2.4  ,0.1
22  ,1.771e-01   ,-2.5  ,-2.4  ,4.9
23  ,2.008e-01   ,-2.5  ,2.4  ,4.9
24  ,2.354e-01   ,-2.3  ,-2.5  ,0.2
25  ,1.865e-01   ,-2.3  ,-2.5  ,4.8
26  ,1.392e-01   ,2.3  ,-2.5  ,4.8
27  ,1.862e-01   ,2.3  ,-2.5  ,0.2
28  ,1.796e-01   ,-2.4  ,-2.5  ,4.9
29  ,1.388e-01   ,2.4  ,-2.5  ,4.9
30  ,2.359e-01   ,-2.4  ,-2.5  ,0.1
31  ,1.792e-01   ,2.4  ,-2.5  ,0.1
32  ,1.767e-01   ,2.4  ,-2.4  ,0
33  ,2.008e-01   ,2.4  ,2.4  ,0
34  ,2.366e-01   ,-2.4  ,-2.4  ,0
35  ,1.866e-01   ,-2.4  ,2.4  ,0
36  ,1.844e-02   ,2.4577  ,2.4577  ,4.6908
37  ,1.970e-01   ,-2.3  ,2.3  ,4.8
38  ,1.500e-02   ,2.1599  ,2.3  ,4.8
39  ,1.637e-02   ,2.3  ,2.1599  ,4.8
40  ,1.500e-02   ,2.3  ,2.3  ,4.6599
41  ,1.965e-01   ,2.3  ,2.3  ,0.2
42  ,1.918e-01   ,-2.3  ,2.3  ,0.2
43  ,1.984e-01   ,-2.4  ,2.2  ,5
44  ,1.972e-01   ,-2.4  ,2  ,5
45  ,1.961e-01   ,-2.4  ,1.8  ,5
46  ,1.954e-01   ,-2.4  ,1.6  ,5
47  ,1.950e-01   ,-2.4  ,1.4  ,5
48  ,1.948e-01   ,-2.4  ,1.2  ,5
49  ,1.948e-01   ,-2.4  ,1  ,5
50  ,1.944e-01   ,-2.4  ,0.8  ,5
51  ,1.940e-01   ,-2.4  ,0.6  ,5
52  ,1.937e-01   ,-2.4  ,0.4  ,5
53  ,1.934e-01   ,-2.4  ,0.2  ,5
54  ,1.930e-01   ,-2.4  ,5.8879E-16  ,5
55  ,1.925e-01   ,-2.4  ,-0.2  ,5
56  ,1.921e-01   ,-2.4  ,-0.4  ,5
57  ,1.915e-01   ,-2.4  ,-0.6  ,5
58  ,1.908e-01   ,-2.4  ,-0.8  ,5
59  ,1.901e-01   ,-2.4  ,-1  ,5
60  ,1.889e-01   ,-2.4  ,-1.2  ,5
61  ,1.875e-01   ,-2.4  ,-1.4  ,5
62  ,1.858e-01   ,-2.4  ,-1.6  ,5
63  ,1.840e-01   ,-2.4  ,-1.8  ,5
64  ,1.821e-01   ,-2.4  ,-2  ,5
65  ,1.798e-01   ,-2.4  ,-2.2  ,5
66  ,1.854e-01   ,-2.2  ,-2.4  ,5
67  ,1.923e-01   ,-2  ,-2.4  ,5
68  ,1.975e-01   ,-1.8  ,-2.4  ,5
69  ,2.001e-01   ,-1.6  ,-2.4  ,5
70  ,2.000e-01   ,-1.4  ,-2.4  ,5
71  ,1.978e-01   ,-1.2  ,-2.4  ,5
72  ,1.941e-01   ,-1  ,-2.4  ,5
73  ,1.901e-01   ,-0.8  ,-2.4  ,5
74  ,1.865e-01   ,-0.6  ,-2.4  ,5
75  ,1.835e-01   ,-0.4  ,-2.4  ,5
76  ,1.815e-01   ,-0.2  ,-2.4  ,5
77  ,1.810e-01   ,-5.8879E-16  ,-2.4  ,5
78  ,1.821e-01   ,0.2  ,-2.4  ,5
79  ,1.843e-01   ,0.4  ,-2.4  ,5
80  ,1.864e-01   ,0.6  ,-2.4  ,5
81  ,1.879e-01   ,0.8  ,-2.4  ,5
82  ,1.880e-01   ,1  ,-2.4  ,5
83  ,1.854e-01   ,1.2  ,-2.4  ,5
84  ,1.798e-01   ,1.4  ,-2.4  ,5
85  ,1.718e-01   ,1.6  ,-2.4  ,5
86  ,1.620e-01   ,1.8  ,-2.4  ,5
87  ,1.522e-01   ,2  ,-2.4  ,5
88  ,1.439e-01   ,2.2  ,-2.4  ,5
89  ,1.409e-01   ,2.4  ,-2.2029  ,5
90  ,1.415e-01   ,2.4  ,-2.0058  ,5
91  ,1.419e-01   ,2.4  ,-1.8087  ,5
92  ,1.422e-01   ,2.4  ,-1.6116  ,5
93  ,1.425e-01   ,2.4  ,-1.4145  ,5
94  ,1.426e-01   ,2.4  ,-1.2175  ,5
95  ,1.427e-01   ,2.4  ,-1.0204  ,5
96  ,1.421e-01   ,2.4  ,-0.82327  ,5
97  ,1.414e-01   ,2.4  ,-0.62618  ,5
98  ,1.397e-01   ,2.4  ,-0.42909  ,5
99  ,1.377e-01   ,2.4  ,-0.232  ,5
100  ,1.351e-01   ,2.4  ,-0.034907  ,5
101  ,1.319e-01   ,2.4  ,0.16218  ,5
102  ,1.279e-01   ,2.4  ,0.35927  ,5
103  ,1.234e-01   ,2.4  ,0.55637  ,5
104  ,1.183e-01   ,2.4  ,0.75346  ,5
105  ,1.130e-01   ,2.4  ,0.95055  ,5
106  ,1.062e-01   ,2.4  ,1.1476  ,5
107  ,9.748e-02   ,2.4  ,1.3447  ,5
108  ,8.582e-02   ,2.4  ,1.5418  ,5
109  ,7.169e-02   ,2.4  ,1.7389  ,5
110  ,5.387e-02   ,2.4  ,1.936  ,5
111  ,2.075e-02   ,2.2665  ,2.2665  ,5
112  ,5.853e-02   ,1.936  ,2.4  ,5
113  ,7.676e-02   ,1.7389  ,2.4  ,5
114  ,9.161e-02   ,1.5418  ,2.4  ,5
115  ,1.033e-01   ,1.3447  ,2.4  ,5
116  ,1.132e-01   ,1.1476  ,2.4  ,5
117  ,1.210e-01   ,0.95055  ,2.4  ,5
118  ,1.276e-01   ,0.75346  ,2.4  ,5
119  ,1.341e-01   ,0.55637  ,2.4  ,5
120  ,1.402e-01   ,0.35927  ,2.4  ,5
121  ,1.457e-01   ,0.16218  ,2.4  ,5
122  ,1.509e-01   ,-0.034907  ,2.4  ,5
123  ,1.556e-01   ,-0.232  ,2.4  ,5
124  ,1.603e-01   ,-0.42909  ,2.4  ,5
125  ,1.647e-01   ,-0.62618  ,2.4  ,5
126  ,1.691e-01   ,-0.82327  ,2.4  ,5
127  ,1.733e-01   ,-1.0204  ,2.4  ,5
128  ,1.775e-01   ,-1.2175  ,2.4  ,5
129  ,1.817e-01   ,-1.4145  ,2.4  ,5
130  ,1.859e-01   ,-1.6116  ,2.4  ,5
131  ,1.898e-01   ,-1.8087  ,2.4  ,5
132  ,1.935e-01   ,-2.0058  ,2.4  ,5
133  ,1.970e-01   ,-2.2029  ,2.4  ,5
294  ,1.409e-01   ,2.5  ,-2.2029  ,4.9
295  ,1.416e-01   ,2.5  ,-2.0058  ,4.9
296  ,1.420e-01   ,2.5  ,-1.8087  ,4.9
297  ,1.423e-01   ,2.5  ,-1.6116  ,4.9
298  ,1.425e-01   ,2.5  ,-1.4145  ,4.9
299  ,1.426e-01   ,2.5  ,-1.2175  ,4.9
300  ,1.427e-01   ,2.5  ,-1.0204  ,4.9
301  ,1.423e-01   ,2.5  ,-0.82327  ,4.9
302  ,1.413e-01   ,2.5  ,-0.62618  ,4.9
303  ,1.397e-01   ,2.5  ,-0.42909  ,4.9
304  ,1.378e-01   ,2.5  ,-0.232  ,4.9
305  ,1.352e-01   ,2.5  ,-0.034907  ,4.9
306  ,1.316e-01   ,2.5  ,0.16218  ,4.9
307  ,1.278e-01   ,2.5  ,0.35927  ,4.9
308  ,1.233e-01   ,2.5  ,0.55637  ,4.9
309  ,1.184e-01   ,2.5  ,0.75346  ,4.9
310  ,1.133e-01   ,2.5  ,0.95055  ,4.9
311  ,1.066e-01   ,2.5  ,1.1476  ,4.9
312  ,9.752e-02   ,2.5  ,1.3447  ,4.9
313  ,8.607e-02   ,2.5  ,1.5418  ,4.9
314  ,7.240e-02   ,2.5  ,1.7389  ,4.9
315  ,5.379e-02   ,2.5  ,1.936  ,4.9
316  ,1.438e-01   ,2.5  ,-2.4  ,4.7
317  ,1.520e-01   ,2.5  ,-2.4  ,4.5
318  ,1.617e-01   ,2.5  ,-2.4  ,4.3
319  ,1.715e-01   ,2.5  ,-2.4  ,4.1
320  ,1.796e-01   ,2.5  ,-2.4  ,3.9
321  ,1.853e-01   ,2.5  ,-2.4  ,3.7
322  ,1.880e-01   ,2.5  ,-2.4  ,3.5
323  ,1.879e-01   ,2.5  ,-2.4  ,3.3
324  ,1.863e-01   ,2.5  ,-2.4  ,3.1
325  ,1.840e-01   ,2.5  ,-2.4  ,2.9
326  ,1.817e-01   ,2.5  ,-2.4  ,2.7
327  ,1.804e-01   ,2.5  ,-2.4  ,2.5
328  ,1.807e-01   ,2.5  ,-2.4  ,2.3
329  ,1.826e-01   ,2.5  ,-2.4  ,2.1
330  ,1.854e-01   ,2.5  ,-2.4  ,1.9
331  ,1.888e-01   ,2.5  ,-2.4  ,1.7
332  ,1.928e-01   ,2.5  ,-2.4  ,1.5
333  ,1.965e-01   ,2.5  ,-2.4  ,1.3
334  ,1.989e-01   ,2.5  ,-2.4  ,1.1
335  ,1.994e-01   ,2.5  ,-2.4  ,0.9
336  ,1.974e-01   ,2.5  ,-2.4  ,0.7
337  ,1.923e-01   ,2.5  ,-2.4  ,0.5
338  ,1.851e-01   ,2.5  ,-2.4  ,0.3
339  ,1.795e-01   ,2.5  ,-2.2  ,0.1
340  ,1.821e-01   ,2.5  ,-2  ,0.1
341  ,1.842e-01   ,2.5  ,-1.8  ,0.1
342  ,1.861e-01   ,2.5  ,-1.6  ,0.1
343  ,1.876e-01   ,2.5  ,-1.4  ,0.1
344  ,1.888e-01   ,2.5  ,-1.2  ,0.1
345  ,1.898e-01   ,2.5  ,-1  ,0.1
346  ,1.906e-01   ,2.5  ,-0.8  ,0.1
347  ,1.913e-01   ,2.5  ,-0.6  ,0.1
348  ,1.918e-01   ,2.5  ,-0.4  ,0.1
349  ,1.924e-01   ,2.5  ,-0.2  ,0.1
350  ,1.928e-01   ,2.5  ,-1.7664E-15  ,0.1
351  ,1.931e-01   ,2.5  ,0.2  ,0.1
352  ,1.936e-01   ,2.5  ,0.4  ,0.1
353  ,1.940e-01   ,2.5  ,0.6  ,0.1
354  ,1.946e-01   ,2.5  ,0.8  ,0.1
355  ,1.949e-01   ,2.5  ,1  ,0.1
356  ,1.948e-01   ,2.5  ,1.2  ,0.1
357  ,1.949e-01   ,2.5  ,1.4  ,0.1
358  ,1.952e-01   ,2.5  ,1.6  ,0.1
359  ,1.959e-01   ,2.5  ,1.8  ,0.1
360  ,1.970e-01   ,2.5  ,2  ,0.1
361  ,1.983e-01   ,2.5  ,2.2  ,0.1
362  ,5.754e-02   ,2.5  ,2.4  ,4.436
363  ,7.671e-02   ,2.5  ,2.4  ,4.2389
364  ,9.121e-02   ,2.5  ,2.4  ,4.0418
365  ,1.029e-01   ,2.5  ,2.4  ,3.8447
366  ,1.128e-01   ,2.5  ,2.4  ,3.6476
367  ,1.208e-01   ,2.5  ,2.4  ,3.4505
368  ,1.273e-01   ,2.5  ,2.4  ,3.2535
369  ,1.334e-01   ,2.5  ,2.4  ,3.0564
370  ,1.392e-01   ,2.5  ,2.4  ,2.8593
371  ,1.446e-01   ,2.5  ,2.4  ,2.6622
372  ,1.497e-01   ,2.5  ,2.4  ,2.4651
373  ,1.547e-01   ,2.5  ,2.4  ,2.268
374  ,1.593e-01   ,2.5  ,2.4  ,2.0709
375  ,1.639e-01   ,2.5  ,2.4  ,1.8738
376  ,1.685e-01   ,2.5  ,2.4  ,1.6767
377  ,1.731e-01   ,2.5  ,2.4  ,1.4796
378  ,1.771e-01   ,2.5  ,2.4  ,1.2825
379  ,1.812e-01   ,2.5  ,2.4  ,1.0855
380  ,1.852e-01   ,2.5  ,2.4  ,0.88836
381  ,1.892e-01   ,2.5  ,2.4  ,0.69127
382  ,1.930e-01   ,2.5  ,2.4  ,0.49418
383  ,1.966e-01   ,2.5  ,2.4  ,0.29709
384  ,2.089e-02   ,2.5  ,2.2665  ,4.7665
544  ,1.991e-01   ,2.2  ,2.5  ,0.1
545  ,1.982e-01   ,2  ,2.5  ,0.1
546  ,1.974e-01   ,1.8  ,2.5  ,0.1
547  ,1.968e-01   ,1.6  ,2.5  ,0.1
548  ,1.964e-01   ,1.4  ,2.5  ,0.1
549  ,1.963e-01   ,1.2  ,2.5  ,0.1
550  ,1.961e-01   ,1  ,2.5  ,0.1
551  ,1.959e-01   ,0.8  ,2.5  ,0.1
552  ,1.955e-01   ,0.6  ,2.5  ,0.1
553  ,1.953e-01   ,0.4  ,2.5  ,0.1
554  ,1.950e-01   ,0.2  ,2.5  ,0.1
555  ,1.946e-01   ,5.8879E-16  ,2.5  ,0.1
556  ,1.947e-01   ,-0.2  ,2.5  ,0.1
557  ,1.947e-01   ,-0.4  ,2.5  ,0.1
558  ,1.945e-01   ,-0.6  ,2.5  ,0.1
559  ,1.943e-01   ,-0.8  ,2.5  ,0.1
560  ,1.938e-01   ,-1  ,2.5  ,0.1
561  ,1.932e-01   ,-1.2  ,2.5  ,0.1
562  ,1.925e-01   ,-1.4  ,2.5  ,0.1
563  ,1.916e-01   ,-1.6  ,2.5  ,0.1
564  ,1.905e-01   ,-1.8  ,2.5  ,0.1
565  ,1.893e-01   ,-2  ,2.5  ,0.1
566  ,1.878e-01   ,-2.2  ,2.5  ,0.1
567  ,1.992e-01   ,-2.4  ,2.5  ,4.7
568  ,1.984e-01   ,-2.4  ,2.5  ,4.5
569  ,1.977e-01   ,-2.4  ,2.5  ,4.3
570  ,1.971e-01   ,-2.4  ,2.5  ,4.1
571  ,1.969e-01   ,-2.4  ,2.5  ,3.9
572  ,1.966e-01   ,-2.4  ,2.5  ,3.7
573  ,1.963e-01   ,-2.4  ,2.5  ,3.5
574  ,1.960e-01   ,-2.4  ,2.5  ,3.3
575  ,1.957e-01   ,-2.4  ,2.5  ,3.1
576  ,1.957e-01   ,-2.4  ,2.5  ,2.9
577  ,1.957e-01   ,-2.4  ,2.5  ,2.7
578  ,1.956e-01   ,-2.4  ,2.5  ,2.5
579  ,1.954e-01   ,-2.4  ,2.5  ,2.3
580  ,1.952e-01   ,-2.4  ,2.5  ,2.1
581  ,1.948e-01   ,-2.4  ,2.5  ,1.9
582  ,1.944e-01   ,-2.4  ,2.5  ,1.7
583  ,1.939e-01   ,-2.4  ,2.5  ,1.5
584  ,1.933e-01   ,-2.4  ,2.5  ,1.3
585  ,1.924e-01   ,-2.4  ,2.5  ,1.1
586  ,1.915e-01   ,-2.4  ,2.5  ,0.9
587  ,1.904e-01   ,-2.4  ,2.5  ,0.7
588  ,1.892e-01   ,-2.4  ,2.5  ,0.5
589  ,1.877e-01   ,-2.4  ,2.5  ,0.3
590  ,5.973e-02   ,1.936  ,2.5  ,4.9
591  ,7.679e-02   ,1.7389  ,2.5  ,4.9
592  ,9.145e-02   ,1.5418  ,2.5  ,4.9
593  ,1.036e-01   ,1.3447  ,2.5  ,4.9
594  ,1.133e-01   ,1.1476  ,2.5  ,4.9
595  ,1.211e-01   ,0.95055  ,2.5  ,4.9
596  ,1.279e-01   ,0.75346  ,2.5  ,4.9
597  ,1.343e-01   ,0.55637  ,2.5  ,4.9
598  ,1.404e-01   ,0.35927  ,2.5  ,4.9
599  ,1.460e-01   ,0.16218  ,2.5  ,4.9
600  ,1.513e-01   ,-0.034907  ,2.5  ,4.9
601  ,1.560e-01   ,-0.232  ,2.5  ,4.9
602  ,1.607e-01   ,-0.42909  ,2.5  ,4.9
603  ,1.648e-01   ,-0.62618  ,2.5  ,4.9
604  ,1.691e-01   ,-0.82327  ,2.5  ,4.9
605  ,1.733e-01   ,-1.0204  ,2.5  ,4.9
606  ,1.775e-01   ,-1.2175  ,2.5  ,4.9
607  ,1.818e-01   ,-1.4145  ,2.5  ,4.9
608  ,1.860e-01   ,-1.6116  ,2.5  ,4.9
609  ,1.900e-01   ,-1.8087  ,2.5  ,4.9
610  ,1.938e-01   ,-2.0058  ,2.5  ,4.9
611  ,1.972e-01   ,-2.2029  ,2.5  ,4.9
612  ,2.374e-02   ,2.2665  ,2.5  ,4.7665
613  ,5.791e-02   ,2.4  ,2.5  ,4.436
614  ,7.657e-02   ,2.4  ,2.5  ,4.2389
615  ,9.104e-02   ,2.4  ,2.5  ,4.0418
616  ,1.032e-01   ,2.4  ,2.5  ,3.8447
617  ,1.132e-01   ,2.4  ,2.5  ,3.6476
618  ,1.209e-01   ,2.4  ,2.5  ,3.4505
619  ,1.275e-01   ,2.4  ,2.5  ,3.2535
620  ,1.338e-01   ,2.4  ,2.5  ,3.0564
621  ,1.397e-01   ,2.4  ,2.5  ,2.8593
622  ,1.451e-01   ,2.4  ,2.5  ,2.6622
623  ,1.503e-01   ,2.4  ,2.5  ,2.4651
624  ,1.553e-01   ,2.4  ,2.5  ,2.268
625  ,1.601e-01   ,2.4  ,2.5  ,2.0709
626  ,1.648e-01   ,2.4  ,2.5  ,1.8738
627  ,1.691e-01   ,2.4  ,2.5  ,1.6767
628  ,1.738e-01   ,2.4  ,2.5  ,1.4796
629  ,1.780e-01   ,2.4  ,2.5  ,1.2825
630  ,1.818e-01   ,2.4  ,2.5  ,1.0855
631  ,1.856e-01   ,2.4  ,2.5  ,0.88836
632  ,1.895e-01   ,2.4  ,2.5  ,0.69127
633  ,1.933e-01   ,2.4  ,2.5  ,0.49418
634  ,1.969e-01   ,2.4  ,2.5  ,0.29709
796  ,1.908e-01   ,-2.5  ,2.2  ,0.1
797  ,1.955e-01   ,-2.5  ,2  ,0.1
798  ,2.002e-01   ,-2.5  ,1.8  ,0.1
799  ,2.047e-01   ,-2.5  ,1.6  ,0.1
800  ,2.091e-01   ,-2.5  ,1.4  ,0.1
801  ,2.132e-01   ,-2.5  ,1.2  ,0.1
802  ,2.172e-01   ,-2.5  ,1  ,0.1
803  ,2.209e-01   ,-2.5  ,0.8  ,0.1
804  ,2.240e-01   ,-2.5  ,0.6  ,0.1
805  ,2.266e-01   ,-2.5  ,0.4  ,0.1
806  ,2.289e-01   ,-2.5  ,0.2  ,0.1
807  ,2.309e-01   ,-2.5  ,5.8879E-16  ,0.1
808  ,2.326e-01   ,-2.5  ,-0.2  ,0.1
809  ,2.339e-01   ,-2.5  ,-0.4  ,0.1
810  ,2.349e-01   ,-2.5  ,-0.6  ,0.1
811  ,2.355e-01   ,-2.5  ,-0.8  ,0.1
812  ,2.359e-01   ,-2.5  ,-1  ,0.1
813  ,2.361e-01   ,-2.5  ,-1.2  ,0.1
814  ,2.365e-01   ,-2.5  ,-1.4  ,0.1
815  ,2.370e-01   ,-2.5  ,-1.6  ,0.1
816  ,2.373e-01   ,-2.5  ,-1.8  ,0.1
817  ,2.375e-01   ,-2.5  ,-2  ,0.1
818  ,2.372e-01   ,-2.5  ,-2.2  ,0.1
819  ,1.841e-01   ,-2.5  ,-2.4  ,4.7
820  ,1.931e-01   ,-2.5  ,-2.4  ,4.5
821  ,2.031e-01   ,-2.5  ,-2.4  ,4.3
822  ,2.129e-01   ,-2.5  ,-2.4  ,4.1
823  ,2.213e-01   ,-2.5  ,-2.4  ,3.9
824  ,2.277e-01   ,-2.5  ,-2.4  ,3.7
825  ,2.319e-01   ,-2.5  ,-2.4  ,3.5
826  ,2.343e-01   ,-2.5  ,-2.4  ,3.3
827  ,2.352e-01   ,-2.5  ,-2.4  ,3.1
828  ,2.353e-01   ,-2.5  ,-2.4  ,2.9
829  ,2.352e-01   ,-2.5  ,-2.4  ,2.7
830  ,2.350e-01   ,-2.5  ,-2.4  ,2.5
831  ,2.350e-01   ,-2.5  ,-2.4  ,2.3
832  ,2.353e-01   ,-2.5  ,-2.4  ,2.1
833  ,2.361e-01   ,-2.5  ,-2.4  ,1.9
834  ,2.371e-01   ,-2.5  ,-2.4  ,1.7
835  ,2.381e-01   ,-2.5  ,-2.4  ,1.5
836  ,2.388e-01   ,-2.5  ,-2.4  ,1.3
837  ,2.388e-01   ,-2.5  ,-2.4  ,1.1
838  ,2.383e-01   ,-2.5  ,-2.4  ,0.9
839  ,2.376e-01   ,-2.5  ,-2.4  ,0.7
840  ,2.370e-01   ,-2.5  ,-2.4  ,0.5
841  ,2.365e-01   ,-2.5  ,-2.4  ,0.3
842  ,1.992e-01   ,-2.5  ,2.2  ,4.9
843  ,1.977e-01   ,-2.5  ,2  ,4.9
844  ,1.965e-01   ,-2.5  ,1.8  ,4.9
845  ,1.956e-01   ,-2.5  ,1.6  ,4.9
846  ,1.949e-01   ,-2.5  ,1.4  ,4.9
847  ,1.946e-01   ,-2.5  ,1.2  ,4.9
848  ,1.943e-01   ,-2.5  ,1  ,4.9
849  ,1.938e-01   ,-2.5  ,0.8  ,4.9
850  ,1.933e-01   ,-2.5  ,0.6  ,4.9
851  ,1.929e-01   ,-2.5  ,0.4  ,4.9
852  ,1.926e-01   ,-2.5  ,0.2  ,4.9
853  ,1.922e-01   ,-2.5  ,5.8879E-16  ,4.9
854  ,1.918e-01   ,-2.5  ,-0.2  ,4.9
855  ,1.913e-01   ,-2.5  ,-0.4  ,4.9
856  ,1.908e-01   ,-2.5  ,-0.6  ,4.9
857  ,1.900e-01   ,-2.5  ,-0.8  ,4.9
858  ,1.893e-01   ,-2.5  ,-1  ,4.9
859  ,1.883e-01   ,-2.5  ,-1.2  ,4.9
860  ,1.869e-01   ,-2.5  ,-1.4  ,4.9
861  ,1.853e-01   ,-2.5  ,-1.6  ,4.9
862  ,1.835e-01   ,-2.5  ,-1.8  ,4.9
863  ,1.815e-01   ,-2.5  ,-2  ,4.9
864  ,1.794e-01   ,-2.5  ,-2.2  ,4.9
865  ,1.998e-01   ,-2.5  ,2.4  ,4.7
866  ,1.988e-01   ,-2.5  ,2.4  ,4.5
867  ,1.980e-01   ,-2.5  ,2.4  ,4.3
868  ,1.973e-01   ,-2.5  ,2.4  ,4.1
869  ,1.968e-01   ,-2.5  ,2.4  ,3.9
870  ,1.964e-01   ,-2.5  ,2.4  ,3.7
871  ,1.960e-01   ,-2.5  ,2.4  ,3.5
872  ,1.955e-01   ,-2.5  ,2.4  ,3.3
873  ,1.951e-01   ,-2.5  ,2.4  ,3.1
874  ,1.950e-01   ,-2.5  ,2.4  ,2.9
875  ,1.952e-01   ,-2.5  ,2.4  ,2.7
876  ,1.951e-01   ,-2.5  ,2.4  ,2.5
877  ,1.950e-01   ,-2.5  ,2.4  ,2.3
878  ,1.949e-01   ,-2.5  ,2.4  ,2.1
879  ,1.946e-01   ,-2.5  ,2.4  ,1.9
880  ,1.942e-01   ,-2.5  ,2.4  ,1.7
881  ,1.938e-01   ,-2.5  ,2.4  ,1.5
882  ,1.933e-01   ,-2.5  ,2.4  ,1.3
883  ,1.926e-01   ,-2.5  ,2.4  ,1.1
884  ,1.918e-01   ,-2.5  ,2.4  ,0.9
885  ,1.908e-01   ,-2.5  ,2.4  ,0.7
886  ,1.897e-01   ,-2.5  ,2.4  ,0.5
887  ,1.883e-01   ,-2.5  ,2.4  ,0.3
1044  ,2.349e-01   ,-2.3  ,-2.5  ,0.44697
1045  ,2.351e-01   ,-2.3  ,-2.5  ,0.68705
1046  ,2.362e-01   ,-2.3  ,-2.5  ,0.92554
1047  ,2.378e-01   ,-2.3  ,-2.5  ,1.1682
1048  ,2.384e-01   ,-2.3  ,-2.5  ,1.4148
1049  ,2.378e-01   ,-2.3  ,-2.5  ,1.6581
