Date:  12:49, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 5   time : 26.2184 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.383e+10   ,2.5  ,2.1331  ,4.9
2  ,2.537e+10   ,2.4577  ,2.1908  ,4.9577
3  ,3.255e+10   ,2.4894  ,2.1331  ,4.9447
4  ,1.454e+10   ,2.1331  ,2.5  ,4.9
5  ,3.374e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.384e+10   ,2.1908  ,2.4577  ,4.9577
7  ,1.668e+08   ,-2.4  ,2.4  ,5
8  ,1.628e+07   ,-2.4  ,-2.4  ,5
9  ,3.773e+07   ,2.4  ,-2.4  ,5
10  ,1.194e+10   ,2.4  ,2.1331  ,5
11  ,1.406e+10   ,2.1331  ,2.4  ,5
12  ,5.053e+07   ,2.5  ,-2.4  ,4.9
13  ,1.319e+07   ,2.5  ,-2.4  ,0.1
14  ,1.710e+08   ,2.5  ,2.4  ,0.1
15  ,1.473e+10   ,2.5  ,2.4  ,4.6331
16  ,1.695e+08   ,2.4  ,2.5  ,0.1
17  ,6.650e+06   ,-2.4  ,2.5  ,0.1
18  ,1.537e+08   ,-2.4  ,2.5  ,4.9
19  ,1.477e+10   ,2.4  ,2.5  ,4.6331
20  ,3.358e+07   ,-2.5  ,2.4  ,0.1
21  ,1.841e+05   ,-2.5  ,-2.4  ,0.1
22  ,2.942e+06   ,-2.5  ,-2.4  ,4.9
23  ,1.153e+08   ,-2.5  ,2.4  ,4.9
24  ,3.806e+05   ,-2.3  ,-2.5  ,0.2
25  ,1.814e+07   ,-2.3  ,-2.5  ,4.8
26  ,1.238e+08   ,2.3  ,-2.5  ,4.8
27  ,1.263e+07   ,2.3  ,-2.5  ,0.2
28  ,6.775e+06   ,-2.4  ,-2.5  ,4.9
29  ,3.859e+07   ,2.4  ,-2.5  ,4.9
30  ,2.572e+05   ,-2.4  ,-2.5  ,0.1
31  ,8.411e+06   ,2.4  ,-2.5  ,0.1
32  ,4.670e+06   ,2.4  ,-2.4  ,0
33  ,1.473e+08   ,2.4  ,2.4  ,0
34  ,2.894e+05   ,-2.4  ,-2.4  ,0
35  ,2.634e+07   ,-2.4  ,2.4  ,0
36  ,3.134e+10   ,2.4577  ,2.4577  ,4.6908
37  ,3.562e+08   ,-2.3  ,2.3  ,4.8
38  ,1.203e+10   ,2.1599  ,2.3  ,4.8
39  ,1.184e+10   ,2.3  ,2.1599  ,4.8
40  ,1.170e+10   ,2.3  ,2.3  ,4.6599
41  ,4.124e+08   ,2.3  ,2.3  ,0.2
42  ,5.516e+07   ,-2.3  ,2.3  ,0.2
43  ,1.823e+08   ,-2.4  ,2.2  ,5
44  ,1.772e+08   ,-2.4  ,2  ,5
45  ,1.424e+08   ,-2.4  ,1.8  ,5
46  ,1.738e+08   ,-2.4  ,1.6  ,5
47  ,1.618e+08   ,-2.4  ,1.4  ,5
48  ,1.690e+08   ,-2.4  ,1.2  ,5
49  ,1.204e+08   ,-2.4  ,1  ,5
50  ,1.165e+08   ,-2.4  ,0.8  ,5
51  ,1.269e+08   ,-2.4  ,0.6  ,5
52  ,1.325e+08   ,-2.4  ,0.4  ,5
53  ,1.299e+08   ,-2.4  ,0.2  ,5
54  ,1.652e+08   ,-2.4  ,5.8879E-16  ,5
55  ,2.550e+08   ,-2.4  ,-0.2  ,5
56  ,2.454e+08   ,-2.4  ,-0.4  ,5
57  ,1.238e+08   ,-2.4  ,-0.6  ,5
58  ,8.307e+07   ,-2.4  ,-0.8  ,5
59  ,7.004e+07   ,-2.4  ,-1  ,5
60  ,5.743e+07   ,-2.4  ,-1.2  ,5
61  ,4.435e+07   ,-2.4  ,-1.4  ,5
62  ,5.761e+07   ,-2.4  ,-1.6  ,5
63  ,4.490e+07   ,-2.4  ,-1.8  ,5
64  ,1.228e+07   ,-2.4  ,-2  ,5
65  ,1.946e+07   ,-2.4  ,-2.2  ,5
66  ,3.410e+07   ,-2.2  ,-2.4  ,5
67  ,3.831e+07   ,-2  ,-2.4  ,5
68  ,5.525e+07   ,-1.8  ,-2.4  ,5
69  ,4.096e+07   ,-1.6  ,-2.4  ,5
70  ,5.579e+07   ,-1.4  ,-2.4  ,5
71  ,9.173e+07   ,-1.2  ,-2.4  ,5
72  ,1.548e+08   ,-1  ,-2.4  ,5
73  ,2.092e+08   ,-0.8  ,-2.4  ,5
