Date:  12:56, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 22   time : 115.44 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,5.991e+09   ,2.5  ,2.1331  ,4.9
2  ,2.323e+10   ,2.4577  ,2.1908  ,4.9577
3  ,9.910e+09   ,2.4894  ,2.1331  ,4.9447
4  ,2.856e+10   ,2.1331  ,2.5  ,4.9
5  ,4.942e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.380e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.402e+08   ,-2.4  ,2.4  ,5
8  ,3.271e+09   ,-2.4  ,-2.4  ,5
9  ,5.604e+09   ,2.4  ,-2.4  ,5
10  ,6.539e+09   ,2.4  ,2.1331  ,5
11  ,1.876e+10   ,2.1331  ,2.4  ,5
12  ,6.094e+09   ,2.5  ,-2.4  ,4.9
13  ,3.048e+09   ,2.5  ,-2.4  ,0.1
14  ,3.740e+08   ,2.5  ,2.4  ,0.1
15  ,1.817e+10   ,2.5  ,2.4  ,4.6331
16  ,2.976e+08   ,2.4  ,2.5  ,0.1
17  ,8.242e+08   ,-2.4  ,2.5  ,0.1
18  ,3.041e+08   ,-2.4  ,2.5  ,4.9
19  ,2.785e+10   ,2.4  ,2.5  ,4.6331
20  ,4.111e+08   ,-2.5  ,2.4  ,0.1
21  ,4.058e+08   ,-2.5  ,-2.4  ,0.1
22  ,2.267e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.811e+08   ,-2.5  ,2.4  ,4.9
24  ,1.765e+09   ,-2.3  ,-2.5  ,0.2
25  ,2.277e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.291e+09   ,2.3  ,-2.5  ,4.8
27  ,2.350e+09   ,2.3  ,-2.5  ,0.2
28  ,3.028e+09   ,-2.4  ,-2.5  ,4.9
29  ,5.557e+09   ,2.4  ,-2.5  ,4.9
30  ,2.449e+08   ,-2.4  ,-2.5  ,0.1
31  ,3.005e+09   ,2.4  ,-2.5  ,0.1
32  ,2.407e+09   ,2.4  ,-2.4  ,0
33  ,5.694e+08   ,2.4  ,2.4  ,0
34  ,5.624e+08   ,-2.4  ,-2.4  ,0
35  ,4.808e+08   ,-2.4  ,2.4  ,0
36  ,3.112e+10   ,2.4577  ,2.4577  ,4.6908
37  ,8.974e+08   ,-2.3  ,2.3  ,4.8
38  ,1.282e+10   ,2.1599  ,2.3  ,4.8
39  ,1.142e+10   ,2.3  ,2.1599  ,4.8
40  ,1.263e+10   ,2.3  ,2.3  ,4.6599
41  ,9.822e+08   ,2.3  ,2.3  ,0.2
42  ,1.039e+09   ,-2.3  ,2.3  ,0.2
43  ,1.029e+09   ,-2.4  ,2.2  ,5
44  ,1.286e+09   ,-2.4  ,2  ,5
45  ,1.179e+09   ,-2.4  ,1.8  ,5
46  ,1.151e+09   ,-2.4  ,1.6  ,5
47  ,1.188e+09   ,-2.4  ,1.4  ,5
48  ,1.313e+09   ,-2.4  ,1.2  ,5
49  ,1.669e+09   ,-2.4  ,1  ,5
50  ,2.124e+09   ,-2.4  ,0.8  ,5
51  ,1.336e+09   ,-2.4  ,0.6  ,5
52  ,1.134e+09   ,-2.4  ,0.4  ,5
53  ,1.352e+09   ,-2.4  ,0.2  ,5
54  ,1.316e+09   ,-2.4  ,5.8879E-16  ,5
