Date:  12:57, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 24   time : 125.931 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.738e+09   ,2.5  ,2.1331  ,4.9
2  ,6.062e+09   ,2.4577  ,2.1908  ,4.9577
3  ,2.505e+09   ,2.4894  ,2.1331  ,4.9447
4  ,2.479e+10   ,2.1331  ,2.5  ,4.9
5  ,4.348e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.345e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.057e+08   ,-2.4  ,2.4  ,5
8  ,2.790e+09   ,-2.4  ,-2.4  ,5
9  ,5.875e+09   ,2.4  ,-2.4  ,5
10  ,2.616e+09   ,2.4  ,2.1331  ,5
11  ,1.223e+10   ,2.1331  ,2.4  ,5
12  ,6.354e+09   ,2.5  ,-2.4  ,4.9
13  ,2.474e+09   ,2.5  ,-2.4  ,0.1
14  ,4.209e+08   ,2.5  ,2.4  ,0.1
15  ,1.184e+10   ,2.5  ,2.4  ,4.6331
16  ,4.015e+08   ,2.4  ,2.5  ,0.1
17  ,1.086e+09   ,-2.4  ,2.5  ,0.1
18  ,4.682e+08   ,-2.4  ,2.5  ,4.9
19  ,2.429e+10   ,2.4  ,2.5  ,4.6331
20  ,6.137e+08   ,-2.5  ,2.4  ,0.1
21  ,4.310e+08   ,-2.5  ,-2.4  ,0.1
22  ,1.943e+09   ,-2.5  ,-2.4  ,4.9
23  ,5.876e+08   ,-2.5  ,2.4  ,4.9
24  ,1.010e+09   ,-2.3  ,-2.5  ,0.2
25  ,1.854e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.131e+09   ,2.3  ,-2.5  ,4.8
27  ,1.483e+09   ,2.3  ,-2.5  ,0.2
28  ,2.527e+09   ,-2.4  ,-2.5  ,4.9
29  ,5.753e+09   ,2.4  ,-2.5  ,4.9
30  ,6.013e+08   ,-2.4  ,-2.5  ,0.1
31  ,2.483e+09   ,2.4  ,-2.5  ,0.1
32  ,1.844e+09   ,2.4  ,-2.4  ,0
33  ,5.016e+08   ,2.4  ,2.4  ,0
34  ,5.557e+08   ,-2.4  ,-2.4  ,0
35  ,7.195e+08   ,-2.4  ,2.4  ,0
36  ,3.143e+10   ,2.4577  ,2.4577  ,4.6908
37  ,8.619e+08   ,-2.3  ,2.3  ,4.8
38  ,1.079e+10   ,2.1599  ,2.3  ,4.8
39  ,8.632e+09   ,2.3  ,2.1599  ,4.8
40  ,1.042e+10   ,2.3  ,2.3  ,4.6599
41  ,8.826e+08   ,2.3  ,2.3  ,0.2
42  ,1.583e+09   ,-2.3  ,2.3  ,0.2
43  ,9.051e+08   ,-2.4  ,2.2  ,5
44  ,1.438e+09   ,-2.4  ,2  ,5
45  ,1.549e+09   ,-2.4  ,1.8  ,5
46  ,1.549e+09   ,-2.4  ,1.6  ,5
47  ,1.482e+09   ,-2.4  ,1.4  ,5
48  ,1.633e+09   ,-2.4  ,1.2  ,5
49  ,2.038e+09   ,-2.4  ,1  ,5
50  ,2.480e+09   ,-2.4  ,0.8  ,5
51  ,1.641e+09   ,-2.4  ,0.6  ,5
52  ,1.532e+09   ,-2.4  ,0.4  ,5
53  ,1.839e+09   ,-2.4  ,0.2  ,5
54  ,1.723e+09   ,-2.4  ,5.8879E-16  ,5
55  ,1.291e+09   ,-2.4  ,-0.2  ,5
56  ,7.091e+08   ,-2.4  ,-0.4  ,5
57  ,7.096e+08   ,-2.4  ,-0.6  ,5
58  ,8.821e+08   ,-2.4  ,-0.8  ,5
59  ,9.699e+08   ,-2.4  ,-1  ,5
60  ,8.043e+08   ,-2.4  ,-1.2  ,5
