Date:  12:53, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 13   time : 68.2049 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,3.014e+10   ,2.5  ,2.1331  ,4.9
2  ,2.422e+10   ,2.4577  ,2.1908  ,4.9577
3  ,5.358e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.222e+10   ,2.1331  ,2.5  ,4.9
5  ,5.631e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.304e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.221e+08   ,-2.4  ,2.4  ,5
8  ,1.079e+09   ,-2.4  ,-2.4  ,5
9  ,2.343e+09   ,2.4  ,-2.4  ,5
10  ,2.763e+10   ,2.4  ,2.1331  ,5
11  ,3.094e+10   ,2.1331  ,2.4  ,5
12  ,2.512e+09   ,2.5  ,-2.4  ,4.9
13  ,9.811e+08   ,2.5  ,-2.4  ,0.1
14  ,3.116e+08   ,2.5  ,2.4  ,0.1
15  ,3.113e+10   ,2.5  ,2.4  ,4.6331
16  ,2.872e+08   ,2.4  ,2.5  ,0.1
17  ,1.542e+08   ,-2.4  ,2.5  ,0.1
18  ,2.490e+08   ,-2.4  ,2.5  ,4.9
19  ,3.274e+10   ,2.4  ,2.5  ,4.6331
20  ,2.140e+08   ,-2.5  ,2.4  ,0.1
21  ,3.073e+08   ,-2.5  ,-2.4  ,0.1
22  ,7.176e+08   ,-2.5  ,-2.4  ,4.9
23  ,3.569e+08   ,-2.5  ,2.4  ,4.9
24  ,1.716e+08   ,-2.3  ,-2.5  ,0.2
25  ,9.081e+08   ,-2.3  ,-2.5  ,4.8
26  ,2.477e+09   ,2.3  ,-2.5  ,4.8
27  ,7.328e+08   ,2.3  ,-2.5  ,0.2
28  ,1.010e+09   ,-2.4  ,-2.5  ,4.9
29  ,2.508e+09   ,2.4  ,-2.5  ,4.9
30  ,3.475e+08   ,-2.4  ,-2.5  ,0.1
31  ,9.122e+08   ,2.4  ,-2.5  ,0.1
32  ,7.234e+08   ,2.4  ,-2.4  ,0
33  ,2.942e+08   ,2.4  ,2.4  ,0
34  ,2.927e+08   ,-2.4  ,-2.4  ,0
35  ,2.177e+08   ,-2.4  ,2.4  ,0
36  ,2.826e+10   ,2.4577  ,2.4577  ,4.6908
37  ,9.360e+08   ,-2.3  ,2.3  ,4.8
38  ,1.612e+10   ,2.1599  ,2.3  ,4.8
39  ,1.576e+10   ,2.3  ,2.1599  ,4.8
40  ,1.627e+10   ,2.3  ,2.3  ,4.6599
41  ,9.908e+08   ,2.3  ,2.3  ,0.2
42  ,8.480e+08   ,-2.3  ,2.3  ,0.2
43  ,4.698e+08   ,-2.4  ,2.2  ,5
44  ,5.484e+08   ,-2.4  ,2  ,5
45  ,5.179e+08   ,-2.4  ,1.8  ,5
46  ,4.505e+08   ,-2.4  ,1.6  ,5
47  ,4.003e+08   ,-2.4  ,1.4  ,5
48  ,5.919e+08   ,-2.4  ,1.2  ,5
49  ,8.421e+08   ,-2.4  ,1  ,5
50  ,1.399e+09   ,-2.4  ,0.8  ,5
51  ,1.193e+09   ,-2.4  ,0.6  ,5
52  ,1.043e+09   ,-2.4  ,0.4  ,5
53  ,9.891e+08   ,-2.4  ,0.2  ,5
54  ,7.356e+08   ,-2.4  ,5.8879E-16  ,5
55  ,7.484e+08   ,-2.4  ,-0.2  ,5
56  ,7.659e+08   ,-2.4  ,-0.4  ,5
57  ,9.439e+08   ,-2.4  ,-0.6  ,5
58  ,9.351e+08   ,-2.4  ,-0.8  ,5
59  ,9.625e+08   ,-2.4  ,-1  ,5
60  ,8.528e+08   ,-2.4  ,-1.2  ,5
61  ,1.102e+09   ,-2.4  ,-1.4  ,5
62  ,9.201e+08   ,-2.4  ,-1.6  ,5
63  ,7.176e+08   ,-2.4  ,-1.8  ,5
64  ,8.981e+08   ,-2.4  ,-2  ,5
65  ,7.665e+08   ,-2.4  ,-2.2  ,5
66  ,1.517e+09   ,-2.2  ,-2.4  ,5
67  ,2.033e+09   ,-2  ,-2.4  ,5
68  ,2.251e+09   ,-1.8  ,-2.4  ,5
69  ,2.001e+09   ,-1.6  ,-2.4  ,5
70  ,1.625e+09   ,-1.4  ,-2.4  ,5
71  ,1.491e+09   ,-1.2  ,-2.4  ,5
72  ,1.032e+09   ,-1  ,-2.4  ,5
73  ,7.149e+08   ,-0.8  ,-2.4  ,5
74  ,6.663e+08   ,-0.6  ,-2.4  ,5
75  ,6.380e+08   ,-0.4  ,-2.4  ,5
76  ,5.376e+08   ,-0.2  ,-2.4  ,5
77  ,3.255e+08   ,-5.8879E-16  ,-2.4  ,5
78  ,4.633e+08   ,0.2  ,-2.4  ,5
79  ,1.103e+09   ,0.4  ,-2.4  ,5
80  ,1.736e+09   ,0.6  ,-2.4  ,5
81  ,2.395e+09   ,0.8  ,-2.4  ,5
82  ,2.989e+09   ,1  ,-2.4  ,5
83  ,2.922e+09   ,1.2  ,-2.4  ,5
84  ,2.785e+09   ,1.4  ,-2.4  ,5
85  ,1.872e+09   ,1.6  ,-2.4  ,5
86  ,8.078e+08   ,1.8  ,-2.4  ,5
87  ,1.166e+09   ,2  ,-2.4  ,5
88  ,3.810e+09   ,2.2  ,-2.4  ,5
89  ,2.001e+09   ,2.4  ,-2.2029  ,5
90  ,2.107e+09   ,2.4  ,-2.0058  ,5
91  ,1.628e+09   ,2.4  ,-1.8087  ,5
92  ,1.534e+09   ,2.4  ,-1.6116  ,5
93  ,1.765e+09   ,2.4  ,-1.4145  ,5
94  ,1.602e+09   ,2.4  ,-1.2175  ,5
95  ,1.735e+09   ,2.4  ,-1.0204  ,5
96  ,1.857e+09   ,2.4  ,-0.82327  ,5
97  ,1.639e+09   ,2.4  ,-0.62618  ,5
98  ,1.555e+09   ,2.4  ,-0.42909  ,5
99  ,1.483e+09   ,2.4  ,-0.232  ,5
100  ,1.535e+09   ,2.4  ,-0.034907  ,5
101  ,1.727e+09   ,2.4  ,0.16218  ,5
102  ,2.008e+09   ,2.4  ,0.35927  ,5
103  ,2.686e+09   ,2.4  ,0.55637  ,5
104  ,2.973e+09   ,2.4  ,0.75346  ,5
105  ,2.646e+09   ,2.4  ,0.95055  ,5
106  ,2.699e+09   ,2.4  ,1.1476  ,5
107  ,3.855e+09   ,2.4  ,1.3447  ,5
108  ,5.304e+09   ,2.4  ,1.5418  ,5
109  ,7.348e+09   ,2.4  ,1.7389  ,5
110  ,1.386e+10   ,2.4  ,1.936  ,5
111  ,1.976e+10   ,2.2665  ,2.2665  ,5
112  ,1.446e+10   ,1.936  ,2.4  ,5
113  ,7.665e+09   ,1.7389  ,2.4  ,5
114  ,5.863e+09   ,1.5418  ,2.4  ,5
115  ,4.249e+09   ,1.3447  ,2.4  ,5
116  ,3.677e+09   ,1.1476  ,2.4  ,5
117  ,3.415e+09   ,0.95055  ,2.4  ,5
118  ,3.856e+09   ,0.75346  ,2.4  ,5
119  ,3.362e+09   ,0.55637  ,2.4  ,5
120  ,3.013e+09   ,0.35927  ,2.4  ,5
121  ,2.781e+09   ,0.16218  ,2.4  ,5
122  ,2.621e+09   ,-0.034907  ,2.4  ,5
123  ,2.817e+09   ,-0.232  ,2.4  ,5
124  ,2.195e+09   ,-0.42909  ,2.4  ,5
125  ,2.000e+09   ,-0.62618  ,2.4  ,5
126  ,2.363e+09   ,-0.82327  ,2.4  ,5
127  ,2.321e+09   ,-1.0204  ,2.4  ,5
128  ,2.167e+09   ,-1.2175  ,2.4  ,5
129  ,1.829e+09   ,-1.4145  ,2.4  ,5
130  ,1.249e+09   ,-1.6116  ,2.4  ,5
131  ,8.991e+08   ,-1.8087  ,2.4  ,5
132  ,5.386e+08   ,-2.0058  ,2.4  ,5
133  ,2.934e+08   ,-2.2029  ,2.4  ,5
294  ,1.700e+09   ,2.5  ,-2.2029  ,4.9
295  ,2.047e+09   ,2.5  ,-2.0058  ,4.9
296  ,1.652e+09   ,2.5  ,-1.8087  ,4.9
297  ,1.740e+09   ,2.5  ,-1.6116  ,4.9
298  ,1.500e+09   ,2.5  ,-1.4145  ,4.9
299  ,1.649e+09   ,2.5  ,-1.2175  ,4.9
300  ,1.702e+09   ,2.5  ,-1.0204  ,4.9
301  ,1.356e+09   ,2.5  ,-0.82327  ,4.9
302  ,1.572e+09   ,2.5  ,-0.62618  ,4.9
303  ,1.404e+09   ,2.5  ,-0.42909  ,4.9
304  ,1.841e+09   ,2.5  ,-0.232  ,4.9
305  ,2.167e+09   ,2.5  ,-0.034907  ,4.9
306  ,2.165e+09   ,2.5  ,0.16218  ,4.9
307  ,2.048e+09   ,2.5  ,0.35927  ,4.9
308  ,2.538e+09   ,2.5  ,0.55637  ,4.9
309  ,2.794e+09   ,2.5  ,0.75346  ,4.9
310  ,2.942e+09   ,2.5  ,0.95055  ,4.9
311  ,3.409e+09   ,2.5  ,1.1476  ,4.9
312  ,3.996e+09   ,2.5  ,1.3447  ,4.9
313  ,5.343e+09   ,2.5  ,1.5418  ,4.9
314  ,9.329e+09   ,2.5  ,1.7389  ,4.9
315  ,1.512e+10   ,2.5  ,1.936  ,4.9
316  ,3.838e+09   ,2.5  ,-2.4  ,4.7
317  ,1.052e+09   ,2.5  ,-2.4  ,4.5
318  ,7.887e+08   ,2.5  ,-2.4  ,4.3
319  ,1.968e+09   ,2.5  ,-2.4  ,4.1
320  ,2.553e+09   ,2.5  ,-2.4  ,3.9
321  ,3.123e+09   ,2.5  ,-2.4  ,3.7
322  ,3.081e+09   ,2.5  ,-2.4  ,3.5
323  ,2.341e+09   ,2.5  ,-2.4  ,3.3
324  ,1.649e+09   ,2.5  ,-2.4  ,3.1
325  ,1.074e+09   ,2.5  ,-2.4  ,2.9
326  ,5.308e+08   ,2.5  ,-2.4  ,2.7
327  ,2.354e+08   ,2.5  ,-2.4  ,2.5
328  ,3.177e+08   ,2.5  ,-2.4  ,2.3
329  ,5.251e+08   ,2.5  ,-2.4  ,2.1
330  ,6.345e+08   ,2.5  ,-2.4  ,1.9
331  ,8.010e+08   ,2.5  ,-2.4  ,1.7
332  ,1.091e+09   ,2.5  ,-2.4  ,1.5
333  ,1.417e+09   ,2.5  ,-2.4  ,1.3
334  ,1.488e+09   ,2.5  ,-2.4  ,1.1
335  ,1.865e+09   ,2.5  ,-2.4  ,0.9
336  ,2.281e+09   ,2.5  ,-2.4  ,0.7
337  ,2.047e+09   ,2.5  ,-2.4  ,0.5
338  ,1.847e+09   ,2.5  ,-2.4  ,0.3
339  ,8.167e+08   ,2.5  ,-2.2  ,0.1
340  ,9.498e+08   ,2.5  ,-2  ,0.1
341  ,7.143e+08   ,2.5  ,-1.8  ,0.1
342  ,7.536e+08   ,2.5  ,-1.6  ,0.1
343  ,6.442e+08   ,2.5  ,-1.4  ,0.1
344  ,7.119e+08   ,2.5  ,-1.2  ,0.1
345  ,8.132e+08   ,2.5  ,-1  ,0.1
346  ,7.773e+08   ,2.5  ,-0.8  ,0.1
347  ,8.769e+08   ,2.5  ,-0.6  ,0.1
348  ,7.769e+08   ,2.5  ,-0.4  ,0.1
349  ,7.739e+08   ,2.5  ,-0.2  ,0.1
350  ,7.887e+08   ,2.5  ,-1.7664E-15  ,0.1
351  ,8.268e+08   ,2.5  ,0.2  ,0.1
352  ,9.872e+08   ,2.5  ,0.4  ,0.1
353  ,1.185e+09   ,2.5  ,0.6  ,0.1
354  ,1.510e+09   ,2.5  ,0.8  ,0.1
355  ,8.313e+08   ,2.5  ,1  ,0.1
356  ,5.715e+08   ,2.5  ,1.2  ,0.1
357  ,5.183e+08   ,2.5  ,1.4  ,0.1
358  ,4.986e+08   ,2.5  ,1.6  ,0.1
359  ,4.151e+08   ,2.5  ,1.8  ,0.1
360  ,3.884e+08   ,2.5  ,2  ,0.1
361  ,4.210e+08   ,2.5  ,2.2  ,0.1
362  ,1.612e+10   ,2.5  ,2.4  ,4.436
363  ,9.774e+09   ,2.5  ,2.4  ,4.2389
364  ,5.753e+09   ,2.5  ,2.4  ,4.0418
365  ,4.621e+09   ,2.5  ,2.4  ,3.8447
366  ,3.447e+09   ,2.5  ,2.4  ,3.6476
367  ,3.492e+09   ,2.5  ,2.4  ,3.4505
368  ,3.582e+09   ,2.5  ,2.4  ,3.2535
369  ,3.424e+09   ,2.5  ,2.4  ,3.0564
370  ,2.922e+09   ,2.5  ,2.4  ,2.8593
371  ,2.819e+09   ,2.5  ,2.4  ,2.6622
372  ,3.005e+09   ,2.5  ,2.4  ,2.4651
373  ,2.581e+09   ,2.5  ,2.4  ,2.268
374  ,2.579e+09   ,2.5  ,2.4  ,2.0709
375  ,2.298e+09   ,2.5  ,2.4  ,1.8738
376  ,2.213e+09   ,2.5  ,2.4  ,1.6767
377  ,1.657e+09   ,2.5  ,2.4  ,1.4796
378  ,1.791e+09   ,2.5  ,2.4  ,1.2825
379  ,1.610e+09   ,2.5  ,2.4  ,1.0855
380  ,1.480e+09   ,2.5  ,2.4  ,0.88836
381  ,1.170e+09   ,2.5  ,2.4  ,0.69127
382  ,6.266e+08   ,2.5  ,2.4  ,0.49418
383  ,3.499e+08   ,2.5  ,2.4  ,0.29709
384  ,1.949e+10   ,2.5  ,2.2665  ,4.7665
544  ,3.535e+08   ,2.2  ,2.5  ,0.1
545  ,5.471e+08   ,2  ,2.5  ,0.1
546  ,6.284e+08   ,1.8  ,2.5  ,0.1
547  ,6.993e+08   ,1.6  ,2.5  ,0.1
548  ,6.967e+08   ,1.4  ,2.5  ,0.1
549  ,8.611e+08   ,1.2  ,2.5  ,0.1
550  ,1.154e+09   ,1  ,2.5  ,0.1
551  ,1.726e+09   ,0.8  ,2.5  ,0.1
552  ,1.869e+09   ,0.6  ,2.5  ,0.1
