Date:  12:55, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 19   time : 99.7085 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.298e+10   ,2.5  ,2.1331  ,4.9
2  ,2.555e+10   ,2.4577  ,2.1908  ,4.9577
3  ,3.165e+10   ,2.4894  ,2.1331  ,4.9447
4  ,2.886e+10   ,2.1331  ,2.5  ,4.9
5  ,5.187e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.346e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.315e+08   ,-2.4  ,2.4  ,5
8  ,2.836e+09   ,-2.4  ,-2.4  ,5
9  ,5.016e+09   ,2.4  ,-2.4  ,5
10  ,1.161e+10   ,2.4  ,2.1331  ,5
11  ,2.441e+10   ,2.1331  ,2.4  ,5
12  ,5.301e+09   ,2.5  ,-2.4  ,4.9
13  ,2.547e+09   ,2.5  ,-2.4  ,0.1
14  ,3.184e+08   ,2.5  ,2.4  ,0.1
15  ,2.416e+10   ,2.5  ,2.4  ,4.6331
16  ,3.211e+08   ,2.4  ,2.5  ,0.1
17  ,4.711e+08   ,-2.4  ,2.5  ,0.1
18  ,3.389e+08   ,-2.4  ,2.5  ,4.9
19  ,2.912e+10   ,2.4  ,2.5  ,4.6331
20  ,2.131e+08   ,-2.5  ,2.4  ,0.1
21  ,5.211e+08   ,-2.5  ,-2.4  ,0.1
22  ,1.836e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.036e+08   ,-2.5  ,2.4  ,4.9
24  ,4.312e+08   ,-2.3  ,-2.5  ,0.2
25  ,1.964e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.039e+09   ,2.3  ,-2.5  ,4.8
27  ,2.063e+09   ,2.3  ,-2.5  ,0.2
28  ,2.517e+09   ,-2.4  ,-2.5  ,4.9
29  ,4.996e+09   ,2.4  ,-2.5  ,4.9
30  ,6.600e+08   ,-2.4  ,-2.5  ,0.1
31  ,2.558e+09   ,2.4  ,-2.5  ,0.1
32  ,1.916e+09   ,2.4  ,-2.4  ,0
33  ,3.866e+08   ,2.4  ,2.4  ,0
34  ,5.708e+08   ,-2.4  ,-2.4  ,0
35  ,2.177e+08   ,-2.4  ,2.4  ,0
36  ,2.983e+10   ,2.4577  ,2.4577  ,4.6908
37  ,9.726e+08   ,-2.3  ,2.3  ,4.8
38  ,1.389e+10   ,2.1599  ,2.3  ,4.8
39  ,1.330e+10   ,2.3  ,2.1599  ,4.8
40  ,1.421e+10   ,2.3  ,2.3  ,4.6599
41  ,9.701e+08   ,2.3  ,2.3  ,0.2
42  ,2.033e+08   ,-2.3  ,2.3  ,0.2
43  ,7.624e+08   ,-2.4  ,2.2  ,5
44  ,1.163e+09   ,-2.4  ,2  ,5
45  ,1.225e+09   ,-2.4  ,1.8  ,5
46  ,1.166e+09   ,-2.4  ,1.6  ,5
47  ,1.108e+09   ,-2.4  ,1.4  ,5
48  ,1.265e+09   ,-2.4  ,1.2  ,5
49  ,1.486e+09   ,-2.4  ,1  ,5
50  ,1.823e+09   ,-2.4  ,0.8  ,5
51  ,1.256e+09   ,-2.4  ,0.6  ,5
52  ,9.763e+08   ,-2.4  ,0.4  ,5
53  ,9.501e+08   ,-2.4  ,0.2  ,5
54  ,9.363e+08   ,-2.4  ,5.8879E-16  ,5
55  ,6.562e+08   ,-2.4  ,-0.2  ,5
56  ,5.426e+08   ,-2.4  ,-0.4  ,5
57  ,6.026e+08   ,-2.4  ,-0.6  ,5
58  ,5.193e+08   ,-2.4  ,-0.8  ,5
59  ,7.866e+08   ,-2.4  ,-1  ,5
60  ,8.031e+08   ,-2.4  ,-1.2  ,5
61  ,1.407e+09   ,-2.4  ,-1.4  ,5
62  ,1.196e+09   ,-2.4  ,-1.6  ,5
63  ,1.176e+09   ,-2.4  ,-1.8  ,5
64  ,1.763e+09   ,-2.4  ,-2  ,5
65  ,1.567e+09   ,-2.4  ,-2.2  ,5
66  ,3.740e+09   ,-2.2  ,-2.4  ,5
67  ,3.219e+09   ,-2  ,-2.4  ,5
68  ,2.835e+09   ,-1.8  ,-2.4  ,5
69  ,1.829e+09   ,-1.6  ,-2.4  ,5
70  ,1.049e+09   ,-1.4  ,-2.4  ,5
71  ,5.500e+08   ,-1.2  ,-2.4  ,5
72  ,1.948e+08   ,-1  ,-2.4  ,5
73  ,3.982e+08   ,-0.8  ,-2.4  ,5
74  ,8.080e+08   ,-0.6  ,-2.4  ,5
75  ,1.466e+09   ,-0.4  ,-2.4  ,5
76  ,1.852e+09   ,-0.2  ,-2.4  ,5
77  ,2.436e+09   ,-5.8879E-16  ,-2.4  ,5
78  ,2.881e+09   ,0.2  ,-2.4  ,5
79  ,3.128e+09   ,0.4  ,-2.4  ,5
80  ,3.651e+09   ,0.6  ,-2.4  ,5
81  ,3.764e+09   ,0.8  ,-2.4  ,5
82  ,3.920e+09   ,1  ,-2.4  ,5
83  ,3.675e+09   ,1.2  ,-2.4  ,5
84  ,3.228e+09   ,1.4  ,-2.4  ,5
85  ,1.941e+09   ,1.6  ,-2.4  ,5
86  ,1.387e+09   ,1.8  ,-2.4  ,5
87  ,2.626e+09   ,2  ,-2.4  ,5
88  ,7.862e+09   ,2.2  ,-2.4  ,5
89  ,4.271e+09   ,2.4  ,-2.2029  ,5
90  ,4.508e+09   ,2.4  ,-2.0058  ,5
91  ,3.337e+09   ,2.4  ,-1.8087  ,5
