Date:  12:46, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 4   time : 20.9915 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.026e+10   ,2.5  ,2.1331  ,4.9
2  ,2.383e+10   ,2.4577  ,2.1908  ,4.9577
3  ,2.532e+10   ,2.4894  ,2.1331  ,4.9447
4  ,1.018e+10   ,2.1331  ,2.5  ,4.9
5  ,2.521e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.182e+10   ,2.1908  ,2.4577  ,4.9577
7  ,6.503e+07   ,-2.4  ,2.4  ,5
8  ,3.898e+06   ,-2.4  ,-2.4  ,5
9  ,7.607e+07   ,2.4  ,-2.4  ,5
10  ,8.586e+09   ,2.4  ,2.1331  ,5
11  ,9.213e+09   ,2.1331  ,2.4  ,5
12  ,7.343e+07   ,2.5  ,-2.4  ,4.9
13  ,4.259e+06   ,2.5  ,-2.4  ,0.1
14  ,7.467e+07   ,2.5  ,2.4  ,0.1
15  ,1.005e+10   ,2.5  ,2.4  ,4.6331
16  ,7.868e+07   ,2.4  ,2.5  ,0.1
17  ,1.312e+07   ,-2.4  ,2.5  ,0.1
18  ,7.010e+07   ,-2.4  ,2.5  ,4.9
19  ,9.781e+09   ,2.4  ,2.5  ,4.6331
20  ,5.449e+06   ,-2.5  ,2.4  ,0.1
21  ,1.021e+04   ,-2.5  ,-2.4  ,0.1
22  ,1.916e+06   ,-2.5  ,-2.4  ,4.9
23  ,3.273e+07   ,-2.5  ,2.4  ,4.9
24  ,3.145e+04   ,-2.3  ,-2.5  ,0.2
25  ,3.126e+06   ,-2.3  ,-2.5  ,4.8
26  ,3.645e+07   ,2.3  ,-2.5  ,4.8
27  ,4.651e+06   ,2.3  ,-2.5  ,0.2
28  ,2.066e+06   ,-2.4  ,-2.5  ,4.9
29  ,3.352e+07   ,2.4  ,-2.5  ,4.9
30  ,1.505e+04   ,-2.4  ,-2.5  ,0.1
31  ,3.543e+06   ,2.4  ,-2.5  ,0.1
32  ,1.608e+06   ,2.4  ,-2.4  ,0
33  ,3.828e+07   ,2.4  ,2.4  ,0
34  ,1.664e+04   ,-2.4  ,-2.4  ,0
35  ,9.727e+06   ,-2.4  ,2.4  ,0
36  ,2.994e+10   ,2.4577  ,2.4577  ,4.6908
37  ,7.880e+07   ,-2.3  ,2.3  ,4.8
38  ,9.454e+09   ,2.1599  ,2.3  ,4.8
39  ,9.425e+09   ,2.3  ,2.1599  ,4.8
40  ,9.519e+09   ,2.3  ,2.3  ,4.6599
41  ,7.536e+07   ,2.3  ,2.3  ,0.2
42  ,1.326e+07   ,-2.3  ,2.3  ,0.2
43  ,6.153e+07   ,-2.4  ,2.2  ,5
44  ,6.468e+07   ,-2.4  ,2  ,5
45  ,5.012e+07   ,-2.4  ,1.8  ,5
46  ,4.959e+07   ,-2.4  ,1.6  ,5
47  ,3.961e+07   ,-2.4  ,1.4  ,5
48  ,3.503e+07   ,-2.4  ,1.2  ,5
49  ,3.425e+07   ,-2.4  ,1  ,5
50  ,5.422e+07   ,-2.4  ,0.8  ,5
51  ,4.231e+07   ,-2.4  ,0.6  ,5
52  ,3.970e+07   ,-2.4  ,0.4  ,5
53  ,3.630e+07   ,-2.4  ,0.2  ,5
54  ,2.614e+07   ,-2.4  ,5.8879E-16  ,5
55  ,4.125e+07   ,-2.4  ,-0.2  ,5
56  ,8.059e+07   ,-2.4  ,-0.4  ,5
57  ,4.796e+07   ,-2.4  ,-0.6  ,5
58  ,2.288e+07   ,-2.4  ,-0.8  ,5
59  ,1.656e+07   ,-2.4  ,-1  ,5
60  ,3.497e+07   ,-2.4  ,-1.2  ,5
61  ,8.567e+06   ,-2.4  ,-1.4  ,5
62  ,9.416e+06   ,-2.4  ,-1.6  ,5
63  ,1.339e+07   ,-2.4  ,-1.8  ,5
64  ,2.957e+06   ,-2.4  ,-2  ,5
65  ,7.188e+06   ,-2.4  ,-2.2  ,5
66  ,6.019e+06   ,-2.2  ,-2.4  ,5
67  ,7.875e+06   ,-2  ,-2.4  ,5
