Date:  12:46, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 3   time : 15.7393 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,8.446e+09   ,2.5  ,2.1331  ,4.9
2  ,2.390e+10   ,2.4577  ,2.1908  ,4.9577
3  ,2.014e+10   ,2.4894  ,2.1331  ,4.9447
4  ,8.204e+09   ,2.1331  ,2.5  ,4.9
5  ,2.020e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.231e+10   ,2.1908  ,2.4577  ,4.9577
7  ,1.618e+07   ,-2.4  ,2.4  ,5
8  ,1.689e+05   ,-2.4  ,-2.4  ,5
9  ,6.064e+06   ,2.4  ,-2.4  ,5
10  ,7.042e+09   ,2.4  ,2.1331  ,5
11  ,7.641e+09   ,2.1331  ,2.4  ,5
12  ,5.384e+06   ,2.5  ,-2.4  ,4.9
13  ,1.515e+05   ,2.5  ,-2.4  ,0.1
14  ,2.199e+07   ,2.5  ,2.4  ,0.1
15  ,7.855e+09   ,2.5  ,2.4  ,4.6331
16  ,1.794e+07   ,2.4  ,2.5  ,0.1
17  ,8.624e+06   ,-2.4  ,2.5  ,0.1
18  ,1.380e+07   ,-2.4  ,2.5  ,4.9
19  ,7.595e+09   ,2.4  ,2.5  ,4.6331
20  ,4.466e+06   ,-2.5  ,2.4  ,0.1
21  ,6.254e+02   ,-2.5  ,-2.4  ,0.1
22  ,1.404e+05   ,-2.5  ,-2.4  ,4.9
23  ,1.115e+07   ,-2.5  ,2.4  ,4.9
24  ,8.080e+02   ,-2.3  ,-2.5  ,0.2
25  ,1.372e+05   ,-2.3  ,-2.5  ,4.8
26  ,2.751e+06   ,2.3  ,-2.5  ,4.8
27  ,1.067e+05   ,2.3  ,-2.5  ,0.2
28  ,1.746e+05   ,-2.4  ,-2.5  ,4.9
29  ,2.638e+06   ,2.4  ,-2.5  ,4.9
30  ,4.500e+02   ,-2.4  ,-2.5  ,0.1
