Date:  12:56, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 21   time : 110.204 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,8.284e+09   ,2.5  ,2.1331  ,4.9
2  ,2.494e+10   ,2.4577  ,2.1908  ,4.9577
3  ,1.855e+10   ,2.4894  ,2.1331  ,4.9447
4  ,2.829e+10   ,2.1331  ,2.5  ,4.9
5  ,4.981e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.332e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.711e+08   ,-2.4  ,2.4  ,5
8  ,3.281e+09   ,-2.4  ,-2.4  ,5
9  ,5.421e+09   ,2.4  ,-2.4  ,5
10  ,7.794e+09   ,2.4  ,2.1331  ,5
11  ,2.062e+10   ,2.1331  ,2.4  ,5
12  ,5.845e+09   ,2.5  ,-2.4  ,4.9
13  ,3.114e+09   ,2.5  ,-2.4  ,0.1
14  ,3.766e+08   ,2.5  ,2.4  ,0.1
15  ,2.073e+10   ,2.5  ,2.4  ,4.6331
16  ,3.572e+08   ,2.4  ,2.5  ,0.1
17  ,6.556e+08   ,-2.4  ,2.5  ,0.1
18  ,2.415e+08   ,-2.4  ,2.5  ,4.9
19  ,2.838e+10   ,2.4  ,2.5  ,4.6331
20  ,3.746e+08   ,-2.5  ,2.4  ,0.1
21  ,2.195e+08   ,-2.5  ,-2.4  ,0.1
22  ,2.175e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.913e+08   ,-2.5  ,2.4  ,4.9
24  ,1.137e+09   ,-2.3  ,-2.5  ,0.2
25  ,2.119e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.357e+09   ,2.3  ,-2.5  ,4.8
27  ,2.293e+09   ,2.3  ,-2.5  ,0.2
28  ,3.003e+09   ,-2.4  ,-2.5  ,4.9
29  ,5.391e+09   ,2.4  ,-2.5  ,4.9
30  ,1.671e+08   ,-2.4  ,-2.5  ,0.1
31  ,3.099e+09   ,2.4  ,-2.5  ,0.1
32  ,2.381e+09   ,2.4  ,-2.4  ,0
33  ,4.258e+08   ,2.4  ,2.4  ,0
34  ,3.327e+08   ,-2.4  ,-2.4  ,0
35  ,4.858e+08   ,-2.4  ,2.4  ,0
36  ,3.055e+10   ,2.4577  ,2.4577  ,4.6908
37  ,9.708e+08   ,-2.3  ,2.3  ,4.8
38  ,1.316e+10   ,2.1599  ,2.3  ,4.8
39  ,1.222e+10   ,2.3  ,2.1599  ,4.8
40  ,1.314e+10   ,2.3  ,2.3  ,4.6599
41  ,9.822e+08   ,2.3  ,2.3  ,0.2
42  ,8.435e+08   ,-2.3  ,2.3  ,0.2
43  ,9.310e+08   ,-2.4  ,2.2  ,5
44  ,1.218e+09   ,-2.4  ,2  ,5
45  ,1.265e+09   ,-2.4  ,1.8  ,5
46  ,1.225e+09   ,-2.4  ,1.6  ,5
47  ,1.172e+09   ,-2.4  ,1.4  ,5
48  ,1.316e+09   ,-2.4  ,1.2  ,5
49  ,1.581e+09   ,-2.4  ,1  ,5
50  ,1.882e+09   ,-2.4  ,0.8  ,5
51  ,1.112e+09   ,-2.4  ,0.6  ,5
52  ,9.064e+08   ,-2.4  ,0.4  ,5
53  ,1.026e+09   ,-2.4  ,0.2  ,5
54  ,1.057e+09   ,-2.4  ,5.8879E-16  ,5
55  ,8.643e+08   ,-2.4  ,-0.2  ,5
56  ,5.434e+08   ,-2.4  ,-0.4  ,5
57  ,3.802e+08   ,-2.4  ,-0.6  ,5
58  ,4.582e+08   ,-2.4  ,-0.8  ,5
59  ,8.383e+08   ,-2.4  ,-1  ,5
60  ,8.785e+08   ,-2.4  ,-1.2  ,5
61  ,1.641e+09   ,-2.4  ,-1.4  ,5
62  ,1.492e+09   ,-2.4  ,-1.6  ,5
63  ,1.511e+09   ,-2.4  ,-1.8  ,5
64  ,2.136e+09   ,-2.4  ,-2  ,5
65  ,1.918e+09   ,-2.4  ,-2.2  ,5
66  ,4.162e+09   ,-2.2  ,-2.4  ,5
67  ,3.030e+09   ,-2  ,-2.4  ,5
68  ,2.405e+09   ,-1.8  ,-2.4  ,5
69  ,1.558e+09   ,-1.6  ,-2.4  ,5
70  ,1.358e+09   ,-1.4  ,-2.4  ,5
71  ,1.340e+09   ,-1.2  ,-2.4  ,5
72  ,1.083e+09   ,-1  ,-2.4  ,5
73  ,9.408e+08   ,-0.8  ,-2.4  ,5
74  ,1.054e+09   ,-0.6  ,-2.4  ,5
75  ,1.566e+09   ,-0.4  ,-2.4  ,5
76  ,1.882e+09   ,-0.2  ,-2.4  ,5
77  ,2.514e+09   ,-5.8879E-16  ,-2.4  ,5
78  ,3.144e+09   ,0.2  ,-2.4  ,5
79  ,3.497e+09   ,0.4  ,-2.4  ,5
80  ,4.226e+09   ,0.6  ,-2.4  ,5
81  ,4.184e+09   ,0.8  ,-2.4  ,5
82  ,4.036e+09   ,1  ,-2.4  ,5
83  ,3.612e+09   ,1.2  ,-2.4  ,5
84  ,2.855e+09   ,1.4  ,-2.4  ,5
85  ,1.515e+09   ,1.6  ,-2.4  ,5
86  ,2.023e+09   ,1.8  ,-2.4  ,5
87  ,3.249e+09   ,2  ,-2.4  ,5
88  ,8.544e+09   ,2.2  ,-2.4  ,5
89  ,4.821e+09   ,2.4  ,-2.2029  ,5
90  ,5.377e+09   ,2.4  ,-2.0058  ,5
91  ,4.187e+09   ,2.4  ,-1.8087  ,5
92  ,3.885e+09   ,2.4  ,-1.6116  ,5
93  ,4.227e+09   ,2.4  ,-1.4145  ,5
94  ,3.643e+09   ,2.4  ,-1.2175  ,5
95  ,3.973e+09   ,2.4  ,-1.0204  ,5
96  ,3.853e+09   ,2.4  ,-0.82327  ,5
97  ,3.821e+09   ,2.4  ,-0.62618  ,5
98  ,3.274e+09   ,2.4  ,-0.42909  ,5
99  ,3.128e+09   ,2.4  ,-0.232  ,5
100  ,2.707e+09   ,2.4  ,-0.034907  ,5
101  ,2.278e+09   ,2.4  ,0.16218  ,5
102  ,2.138e+09   ,2.4  ,0.35927  ,5
103  ,2.652e+09   ,2.4  ,0.55637  ,5
104  ,2.303e+09   ,2.4  ,0.75346  ,5
105  ,1.983e+09   ,2.4  ,0.95055  ,5
106  ,2.448e+09   ,2.4  ,1.1476  ,5
107  ,3.247e+09   ,2.4  ,1.3447  ,5
108  ,4.208e+09   ,2.4  ,1.5418  ,5
109  ,5.269e+09   ,2.4  ,1.7389  ,5
110  ,7.109e+09   ,2.4  ,1.936  ,5
111  ,1.138e+10   ,2.2665  ,2.2665  ,5
112  ,1.126e+10   ,1.936  ,2.4  ,5
113  ,6.066e+09   ,1.7389  ,2.4  ,5
114  ,4.625e+09   ,1.5418  ,2.4  ,5
115  ,3.324e+09   ,1.3447  ,2.4  ,5
116  ,2.699e+09   ,1.1476  ,2.4  ,5
117  ,2.831e+09   ,0.95055  ,2.4  ,5
118  ,2.697e+09   ,0.75346  ,2.4  ,5
119  ,2.933e+09   ,0.55637  ,2.4  ,5
120  ,2.471e+09   ,0.35927  ,2.4  ,5
121  ,2.432e+09   ,0.16218  ,2.4  ,5
122  ,2.651e+09   ,-0.034907  ,2.4  ,5
123  ,3.075e+09   ,-0.232  ,2.4  ,5
124  ,2.993e+09   ,-0.42909  ,2.4  ,5
125  ,2.471e+09   ,-0.62618  ,2.4  ,5
126  ,3.409e+09   ,-0.82327  ,2.4  ,5
127  ,3.594e+09   ,-1.0204  ,2.4  ,5
128  ,3.598e+09   ,-1.2175  ,2.4  ,5
129  ,2.850e+09   ,-1.4145  ,2.4  ,5
130  ,1.966e+09   ,-1.6116  ,2.4  ,5
131  ,1.235e+09   ,-1.8087  ,2.4  ,5
132  ,9.330e+08   ,-2.0058  ,2.4  ,5
133  ,5.960e+08   ,-2.2029  ,2.4  ,5
294  ,4.067e+09   ,2.5  ,-2.2029  ,4.9
295  ,5.153e+09   ,2.5  ,-2.0058  ,4.9
296  ,4.139e+09   ,2.5  ,-1.8087  ,4.9
297  ,4.331e+09   ,2.5  ,-1.6116  ,4.9
298  ,3.607e+09   ,2.5  ,-1.4145  ,4.9
299  ,3.603e+09   ,2.5  ,-1.2175  ,4.9
300  ,4.013e+09   ,2.5  ,-1.0204  ,4.9
301  ,3.107e+09   ,2.5  ,-0.82327  ,4.9
302  ,3.571e+09   ,2.5  ,-0.62618  ,4.9
303  ,3.390e+09   ,2.5  ,-0.42909  ,4.9
304  ,3.761e+09   ,2.5  ,-0.232  ,4.9
305  ,3.930e+09   ,2.5  ,-0.034907  ,4.9
306  ,2.874e+09   ,2.5  ,0.16218  ,4.9
307  ,2.420e+09   ,2.5  ,0.35927  ,4.9
308  ,2.425e+09   ,2.5  ,0.55637  ,4.9
309  ,2.487e+09   ,2.5  ,0.75346  ,4.9
310  ,2.384e+09   ,2.5  ,0.95055  ,4.9
