Date:  12:52, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 12   time : 62.9694 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.919e+10   ,2.5  ,2.1331  ,4.9
2  ,2.385e+10   ,2.4577  ,2.1908  ,4.9577
3  ,5.276e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.200e+10   ,2.1331  ,2.5  ,4.9
5  ,5.572e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.259e+10   ,2.1908  ,2.4577  ,4.9577
7  ,1.943e+08   ,-2.4  ,2.4  ,5
8  ,1.140e+09   ,-2.4  ,-2.4  ,5
9  ,2.166e+09   ,2.4  ,-2.4  ,5
10  ,2.722e+10   ,2.4  ,2.1331  ,5
11  ,3.030e+10   ,2.1331  ,2.4  ,5
12  ,2.307e+09   ,2.5  ,-2.4  ,4.9
13  ,1.130e+09   ,2.5  ,-2.4  ,0.1
14  ,2.340e+08   ,2.5  ,2.4  ,0.1
15  ,3.093e+10   ,2.5  ,2.4  ,4.6331
16  ,2.208e+08   ,2.4  ,2.5  ,0.1
17  ,1.564e+08   ,-2.4  ,2.5  ,0.1
18  ,1.373e+08   ,-2.4  ,2.5  ,4.9
19  ,3.263e+10   ,2.4  ,2.5  ,4.6331
20  ,2.180e+08   ,-2.5  ,2.4  ,0.1
21  ,7.255e+07   ,-2.5  ,-2.4  ,0.1
22  ,6.889e+08   ,-2.5  ,-2.4  ,4.9
23  ,1.557e+08   ,-2.5  ,2.4  ,4.9
24  ,2.272e+08   ,-2.3  ,-2.5  ,0.2
25  ,9.872e+08   ,-2.3  ,-2.5  ,4.8
26  ,2.572e+09   ,2.3  ,-2.5  ,4.8
27  ,1.079e+09   ,2.3  ,-2.5  ,0.2
28  ,1.023e+09   ,-2.4  ,-2.5  ,4.9
29  ,2.216e+09   ,2.4  ,-2.5  ,4.9
30  ,1.802e+08   ,-2.4  ,-2.5  ,0.1
31  ,1.082e+09   ,2.4  ,-2.5  ,0.1
32  ,7.891e+08   ,2.4  ,-2.4  ,0
33  ,2.221e+08   ,2.4  ,2.4  ,0
34  ,1.415e+08   ,-2.4  ,-2.4  ,0
35  ,2.116e+08   ,-2.4  ,2.4  ,0
36  ,2.759e+10   ,2.4577  ,2.4577  ,4.6908
37  ,8.631e+08   ,-2.3  ,2.3  ,4.8
38  ,1.594e+10   ,2.1599  ,2.3  ,4.8
39  ,1.548e+10   ,2.3  ,2.1599  ,4.8
40  ,1.623e+10   ,2.3  ,2.3  ,4.6599
41  ,8.641e+08   ,2.3  ,2.3  ,0.2
42  ,6.730e+08   ,-2.3  ,2.3  ,0.2
43  ,3.440e+08   ,-2.4  ,2.2  ,5
44  ,4.860e+08   ,-2.4  ,2  ,5
45  ,4.269e+08   ,-2.4  ,1.8  ,5
