Date:  12:54, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 17   time : 89.215 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.212e+10   ,2.5  ,2.1331  ,4.9
2  ,2.558e+10   ,2.4577  ,2.1908  ,4.9577
3  ,4.358e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.120e+10   ,2.1331  ,2.5  ,4.9
5  ,5.518e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.320e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.989e+08   ,-2.4  ,2.4  ,5
8  ,2.262e+09   ,-2.4  ,-2.4  ,5
9  ,4.158e+09   ,2.4  ,-2.4  ,5
10  ,2.041e+10   ,2.4  ,2.1331  ,5
11  ,2.869e+10   ,2.1331  ,2.4  ,5
12  ,4.433e+09   ,2.5  ,-2.4  ,4.9
13  ,2.065e+09   ,2.5  ,-2.4  ,0.1
14  ,3.605e+08   ,2.5  ,2.4  ,0.1
15  ,2.797e+10   ,2.5  ,2.4  ,4.6331
16  ,3.458e+08   ,2.4  ,2.5  ,0.1
17  ,3.695e+08   ,-2.4  ,2.5  ,0.1
18  ,3.608e+08   ,-2.4  ,2.5  ,4.9
19  ,3.155e+10   ,2.4  ,2.5  ,4.6331
20  ,1.508e+08   ,-2.5  ,2.4  ,0.1
21  ,1.224e+09   ,-2.5  ,-2.4  ,0.1
22  ,1.479e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.834e+08   ,-2.5  ,2.4  ,4.9
24  ,1.833e+09   ,-2.3  ,-2.5  ,0.2
25  ,1.991e+09   ,-2.3  ,-2.5  ,4.8
26  ,4.298e+09   ,2.3  ,-2.5  ,4.8
27  ,1.824e+09   ,2.3  ,-2.5  ,0.2
28  ,2.025e+09   ,-2.4  ,-2.5  ,4.9
29  ,4.311e+09   ,2.4  ,-2.5  ,4.9
30  ,1.171e+09   ,-2.4  ,-2.5  ,0.1
31  ,2.003e+09   ,2.4  ,-2.5  ,0.1
32  ,1.561e+09   ,2.4  ,-2.4  ,0
33  ,3.837e+08   ,2.4  ,2.4  ,0
34  ,1.337e+09   ,-2.4  ,-2.4  ,0
35  ,2.367e+08   ,-2.4  ,2.4  ,0
36  ,2.916e+10   ,2.4577  ,2.4577  ,4.6908
37  ,1.142e+09   ,-2.3  ,2.3  ,4.8
38  ,1.524e+10   ,2.1599  ,2.3  ,4.8
39  ,1.476e+10   ,2.3  ,2.1599  ,4.8
40  ,1.556e+10   ,2.3  ,2.3  ,4.6599
41  ,1.224e+09   ,2.3  ,2.3  ,0.2
42  ,1.301e+08   ,-2.3  ,2.3  ,0.2
43  ,5.183e+08   ,-2.4  ,2.2  ,5
44  ,8.589e+08   ,-2.4  ,2  ,5
45  ,8.954e+08   ,-2.4  ,1.8  ,5
46  ,9.360e+08   ,-2.4  ,1.6  ,5
47  ,9.945e+08   ,-2.4  ,1.4  ,5
48  ,1.243e+09   ,-2.4  ,1.2  ,5
49  ,1.355e+09   ,-2.4  ,1  ,5
50  ,1.841e+09   ,-2.4  ,0.8  ,5
51  ,1.499e+09   ,-2.4  ,0.6  ,5
52  ,1.234e+09   ,-2.4  ,0.4  ,5
53  ,1.222e+09   ,-2.4  ,0.2  ,5
54  ,1.032e+09   ,-2.4  ,5.8879E-16  ,5
55  ,7.459e+08   ,-2.4  ,-0.2  ,5
56  ,6.421e+08   ,-2.4  ,-0.4  ,5
57  ,8.028e+08   ,-2.4  ,-0.6  ,5
58  ,7.695e+08   ,-2.4  ,-0.8  ,5
59  ,9.195e+08   ,-2.4  ,-1  ,5
60  ,8.697e+08   ,-2.4  ,-1.2  ,5
61  ,1.306e+09   ,-2.4  ,-1.4  ,5
62  ,1.084e+09   ,-2.4  ,-1.6  ,5
63  ,9.755e+08   ,-2.4  ,-1.8  ,5
64  ,1.455e+09   ,-2.4  ,-2  ,5
65  ,1.326e+09   ,-2.4  ,-2.2  ,5
66  ,2.925e+09   ,-2.2  ,-2.4  ,5
67  ,2.661e+09   ,-2  ,-2.4  ,5
68  ,2.423e+09   ,-1.8  ,-2.4  ,5
69  ,2.072e+09   ,-1.6  ,-2.4  ,5
70  ,1.753e+09   ,-1.4  ,-2.4  ,5
71  ,1.222e+09   ,-1.2  ,-2.4  ,5
72  ,6.494e+08   ,-1  ,-2.4  ,5
73  ,4.957e+08   ,-0.8  ,-2.4  ,5
74  ,3.126e+08   ,-0.6  ,-2.4  ,5
75  ,2.429e+08   ,-0.4  ,-2.4  ,5
76  ,7.692e+08   ,-0.2  ,-2.4  ,5
77  ,1.424e+09   ,-5.8879E-16  ,-2.4  ,5
78  ,2.281e+09   ,0.2  ,-2.4  ,5
79  ,2.933e+09   ,0.4  ,-2.4  ,5
80  ,3.745e+09   ,0.6  ,-2.4  ,5
81  ,3.678e+09   ,0.8  ,-2.4  ,5
82  ,3.675e+09   ,1  ,-2.4  ,5
83  ,3.521e+09   ,1.2  ,-2.4  ,5
