Date:  12:56, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 23   time : 120.703 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,4.031e+09   ,2.5  ,2.1331  ,4.9
2  ,1.540e+10   ,2.4577  ,2.1908  ,4.9577
3  ,4.937e+09   ,2.4894  ,2.1331  ,4.9447
4  ,2.583e+10   ,2.1331  ,2.5  ,4.9
5  ,4.558e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.323e+10   ,2.1908  ,2.4577  ,4.9577
7  ,2.910e+08   ,-2.4  ,2.4  ,5
8  ,3.215e+09   ,-2.4  ,-2.4  ,5
9  ,5.591e+09   ,2.4  ,-2.4  ,5
10  ,4.033e+09   ,2.4  ,2.1331  ,5
11  ,1.461e+10   ,2.1331  ,2.4  ,5
12  ,6.066e+09   ,2.5  ,-2.4  ,4.9
13  ,2.922e+09   ,2.5  ,-2.4  ,0.1
14  ,3.149e+08   ,2.5  ,2.4  ,0.1
15  ,1.461e+10   ,2.5  ,2.4  ,4.6331
16  ,4.385e+08   ,2.4  ,2.5  ,0.1
17  ,8.784e+08   ,-2.4  ,2.5  ,0.1
18  ,4.248e+08   ,-2.4  ,2.5  ,4.9
19  ,2.533e+10   ,2.4  ,2.5  ,4.6331
20  ,5.042e+08   ,-2.5  ,2.4  ,0.1
21  ,5.116e+08   ,-2.5  ,-2.4  ,0.1
22  ,2.093e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.871e+08   ,-2.5  ,2.4  ,4.9
24  ,1.856e+09   ,-2.3  ,-2.5  ,0.2
25  ,2.135e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.084e+09   ,2.3  ,-2.5  ,4.8
27  ,2.110e+09   ,2.3  ,-2.5  ,0.2
28  ,2.843e+09   ,-2.4  ,-2.5  ,4.9
29  ,5.551e+09   ,2.4  ,-2.5  ,4.9
30  ,2.937e+08   ,-2.4  ,-2.5  ,0.1
31  ,2.911e+09   ,2.4  ,-2.5  ,0.1
32  ,2.250e+09   ,2.4  ,-2.4  ,0
33  ,5.609e+08   ,2.4  ,2.4  ,0
34  ,3.286e+08   ,-2.4  ,-2.4  ,0
35  ,6.025e+08   ,-2.4  ,2.4  ,0
36  ,3.082e+10   ,2.4577  ,2.4577  ,4.6908
37  ,9.127e+08   ,-2.3  ,2.3  ,4.8
38  ,1.142e+10   ,2.1599  ,2.3  ,4.8
39  ,9.736e+09   ,2.3  ,2.1599  ,4.8
40  ,1.136e+10   ,2.3  ,2.3  ,4.6599
41  ,1.039e+09   ,2.3  ,2.3  ,0.2
42  ,1.300e+09   ,-2.3  ,2.3  ,0.2
43  ,8.305e+08   ,-2.4  ,2.2  ,5
44  ,1.246e+09   ,-2.4  ,2  ,5
45  ,1.315e+09   ,-2.4  ,1.8  ,5
46  ,1.279e+09   ,-2.4  ,1.6  ,5
47  ,1.295e+09   ,-2.4  ,1.4  ,5
48  ,1.467e+09   ,-2.4  ,1.2  ,5
49  ,1.847e+09   ,-2.4  ,1  ,5
50  ,2.129e+09   ,-2.4  ,0.8  ,5
51  ,1.375e+09   ,-2.4  ,0.6  ,5
52  ,1.286e+09   ,-2.4  ,0.4  ,5
53  ,1.517e+09   ,-2.4  ,0.2  ,5
54  ,1.605e+09   ,-2.4  ,5.8879E-16  ,5
55  ,1.368e+09   ,-2.4  ,-0.2  ,5
56  ,8.942e+08   ,-2.4  ,-0.4  ,5
57  ,4.380e+08   ,-2.4  ,-0.6  ,5
58  ,3.929e+08   ,-2.4  ,-0.8  ,5
59  ,7.768e+08   ,-2.4  ,-1  ,5
60  ,8.807e+08   ,-2.4  ,-1.2  ,5
61  ,1.255e+09   ,-2.4  ,-1.4  ,5
62  ,1.109e+09   ,-2.4  ,-1.6  ,5
63  ,1.156e+09   ,-2.4  ,-1.8  ,5
64  ,1.833e+09   ,-2.4  ,-2  ,5
65  ,1.763e+09   ,-2.4  ,-2.2  ,5
66  ,3.843e+09   ,-2.2  ,-2.4  ,5
67  ,2.817e+09   ,-2  ,-2.4  ,5
68  ,2.362e+09   ,-1.8  ,-2.4  ,5
69  ,1.748e+09   ,-1.6  ,-2.4  ,5
70  ,1.443e+09   ,-1.4  ,-2.4  ,5
71  ,1.296e+09   ,-1.2  ,-2.4  ,5
72  ,1.241e+09   ,-1  ,-2.4  ,5
73  ,1.545e+09   ,-0.8  ,-2.4  ,5
74  ,1.780e+09   ,-0.6  ,-2.4  ,5
75  ,2.333e+09   ,-0.4  ,-2.4  ,5
76  ,2.658e+09   ,-0.2  ,-2.4  ,5
77  ,3.643e+09   ,-5.8879E-16  ,-2.4  ,5
78  ,3.847e+09   ,0.2  ,-2.4  ,5
79  ,3.989e+09   ,0.4  ,-2.4  ,5
80  ,4.386e+09   ,0.6  ,-2.4  ,5
81  ,3.521e+09   ,0.8  ,-2.4  ,5
82  ,2.936e+09   ,1  ,-2.4  ,5
83  ,2.719e+09   ,1.2  ,-2.4  ,5
84  ,1.945e+09   ,1.4  ,-2.4  ,5
85  ,1.205e+09   ,1.6  ,-2.4  ,5
86  ,3.340e+09   ,1.8  ,-2.4  ,5
87  ,4.834e+09   ,2  ,-2.4  ,5
88  ,9.440e+09   ,2.2  ,-2.4  ,5
89  ,5.193e+09   ,2.4  ,-2.2029  ,5
90  ,6.036e+09   ,2.4  ,-2.0058  ,5
91  ,4.643e+09   ,2.4  ,-1.8087  ,5
92  ,4.355e+09   ,2.4  ,-1.6116  ,5
93  ,4.922e+09   ,2.4  ,-1.4145  ,5
94  ,4.276e+09   ,2.4  ,-1.2175  ,5
95  ,4.571e+09   ,2.4  ,-1.0204  ,5
96  ,4.323e+09   ,2.4  ,-0.82327  ,5
97  ,4.234e+09   ,2.4  ,-0.62618  ,5
98  ,3.673e+09   ,2.4  ,-0.42909  ,5
