Date:  12:57, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 25   time : 131.185 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.783e+09   ,2.5  ,2.1331  ,4.9
2  ,1.605e+09   ,2.4577  ,2.1908  ,4.9577
3  ,1.652e+09   ,2.4894  ,2.1331  ,4.9447
4  ,2.225e+10   ,2.1331  ,2.5  ,4.9
5  ,4.008e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.253e+10   ,2.1908  ,2.4577  ,4.9577
7  ,4.043e+08   ,-2.4  ,2.4  ,5
8  ,2.269e+09   ,-2.4  ,-2.4  ,5
9  ,6.132e+09   ,2.4  ,-2.4  ,5
10  ,1.765e+09   ,2.4  ,2.1331  ,5
11  ,9.349e+09   ,2.1331  ,2.4  ,5
12  ,6.659e+09   ,2.5  ,-2.4  ,4.9
13  ,2.008e+09   ,2.5  ,-2.4  ,0.1
14  ,3.170e+08   ,2.5  ,2.4  ,0.1
15  ,9.841e+09   ,2.5  ,2.4  ,4.6331
16  ,4.935e+08   ,2.4  ,2.5  ,0.1
17  ,9.475e+08   ,-2.4  ,2.5  ,0.1
18  ,5.856e+08   ,-2.4  ,2.5  ,4.9
19  ,2.203e+10   ,2.4  ,2.5  ,4.6331
20  ,6.508e+08   ,-2.5  ,2.4  ,0.1
21  ,7.773e+08   ,-2.5  ,-2.4  ,0.1
22  ,1.349e+09   ,-2.5  ,-2.4  ,4.9
23  ,6.627e+08   ,-2.5  ,2.4  ,4.9
24  ,6.822e+08   ,-2.3  ,-2.5  ,0.2
25  ,1.173e+09   ,-2.3  ,-2.5  ,4.8
26  ,5.162e+09   ,2.3  ,-2.5  ,4.8
27  ,9.803e+08   ,2.3  ,-2.5  ,0.2
28  ,1.947e+09   ,-2.4  ,-2.5  ,4.9
29  ,5.967e+09   ,2.4  ,-2.5  ,4.9
30  ,1.028e+09   ,-2.4  ,-2.5  ,0.1
31  ,2.020e+09   ,2.4  ,-2.5  ,0.1
32  ,1.421e+09   ,2.4  ,-2.4  ,0
33  ,7.288e+08   ,2.4  ,2.4  ,0
34  ,7.991e+08   ,-2.4  ,-2.4  ,0
35  ,7.406e+08   ,-2.4  ,2.4  ,0
36  ,3.083e+10   ,2.4577  ,2.4577  ,4.6908
37  ,8.278e+08   ,-2.3  ,2.3  ,4.8
38  ,9.417e+09   ,2.1599  ,2.3  ,4.8
39  ,7.235e+09   ,2.3  ,2.1599  ,4.8
40  ,9.428e+09   ,2.3  ,2.3  ,4.6599
41  ,6.474e+08   ,2.3  ,2.3  ,0.2
42  ,1.720e+09   ,-2.3  ,2.3  ,0.2
43  ,1.031e+09   ,-2.4  ,2.2  ,5
44  ,1.576e+09   ,-2.4  ,2  ,5
45  ,1.682e+09   ,-2.4  ,1.8  ,5
46  ,1.700e+09   ,-2.4  ,1.6  ,5
47  ,1.686e+09   ,-2.4  ,1.4  ,5
48  ,1.866e+09   ,-2.4  ,1.2  ,5
49  ,2.226e+09   ,-2.4  ,1  ,5
50  ,2.645e+09   ,-2.4  ,0.8  ,5
51  ,1.744e+09   ,-2.4  ,0.6  ,5
52  ,1.682e+09   ,-2.4  ,0.4  ,5
53  ,1.979e+09   ,-2.4  ,0.2  ,5
