Date:  12:54, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 16   time : 83.9512 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.492e+10   ,2.5  ,2.1331  ,4.9
2  ,2.482e+10   ,2.4577  ,2.1908  ,4.9577
3  ,4.720e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.243e+10   ,2.1331  ,2.5  ,4.9
5  ,5.617e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.341e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.660e+08   ,-2.4  ,2.4  ,5
8  ,1.946e+09   ,-2.4  ,-2.4  ,5
9  ,3.499e+09   ,2.4  ,-2.4  ,5
10  ,2.317e+10   ,2.4  ,2.1331  ,5
11  ,3.016e+10   ,2.1331  ,2.4  ,5
12  ,3.746e+09   ,2.5  ,-2.4  ,4.9
13  ,1.791e+09   ,2.5  ,-2.4  ,0.1
14  ,4.205e+08   ,2.5  ,2.4  ,0.1
15  ,2.943e+10   ,2.5  ,2.4  ,4.6331
16  ,3.123e+08   ,2.4  ,2.5  ,0.1
17  ,3.056e+08   ,-2.4  ,2.5  ,0.1
18  ,3.687e+08   ,-2.4  ,2.5  ,4.9
19  ,3.222e+10   ,2.4  ,2.5  ,4.6331
20  ,1.012e+08   ,-2.5  ,2.4  ,0.1
21  ,1.187e+09   ,-2.5  ,-2.4  ,0.1
22  ,1.289e+09   ,-2.5  ,-2.4  ,4.9
23  ,3.837e+08   ,-2.5  ,2.4  ,4.9
24  ,1.880e+09   ,-2.3  ,-2.5  ,0.2
25  ,1.938e+09   ,-2.3  ,-2.5  ,4.8
26  ,3.227e+09   ,2.3  ,-2.5  ,4.8
27  ,1.832e+09   ,2.3  ,-2.5  ,0.2
28  ,1.957e+09   ,-2.4  ,-2.5  ,4.9
29  ,3.775e+09   ,2.4  ,-2.5  ,4.9
30  ,1.170e+09   ,-2.4  ,-2.5  ,0.1
31  ,1.901e+09   ,2.4  ,-2.5  ,0.1
32  ,1.365e+09   ,2.4  ,-2.4  ,0
33  ,3.978e+08   ,2.4  ,2.4  ,0
34  ,1.323e+09   ,-2.4  ,-2.4  ,0
35  ,1.450e+08   ,-2.4  ,2.4  ,0
36  ,2.847e+10   ,2.4577  ,2.4577  ,4.6908
37  ,1.163e+09   ,-2.3  ,2.3  ,4.8
38  ,1.557e+10   ,2.1599  ,2.3  ,4.8
39  ,1.509e+10   ,2.3  ,2.1599  ,4.8
40  ,1.582e+10   ,2.3  ,2.3  ,4.6599
41  ,1.183e+09   ,2.3  ,2.3  ,0.2
42  ,3.940e+08   ,-2.3  ,2.3  ,0.2
43  ,4.984e+08   ,-2.4  ,2.2  ,5
44  ,7.813e+08   ,-2.4  ,2  ,5
45  ,8.062e+08   ,-2.4  ,1.8  ,5
46  ,8.306e+08   ,-2.4  ,1.6  ,5
47  ,8.550e+08   ,-2.4  ,1.4  ,5
48  ,1.125e+09   ,-2.4  ,1.2  ,5
49  ,1.299e+09   ,-2.4  ,1  ,5
50  ,1.859e+09   ,-2.4  ,0.8  ,5
51  ,1.515e+09   ,-2.4  ,0.6  ,5
52  ,1.228e+09   ,-2.4  ,0.4  ,5
53  ,1.142e+09   ,-2.4  ,0.2  ,5
54  ,9.915e+08   ,-2.4  ,5.8879E-16  ,5
55  ,8.941e+08   ,-2.4  ,-0.2  ,5
56  ,8.986e+08   ,-2.4  ,-0.4  ,5
57  ,8.648e+08   ,-2.4  ,-0.6  ,5
58  ,9.041e+08   ,-2.4  ,-0.8  ,5
59  ,1.092e+09   ,-2.4  ,-1  ,5
60  ,9.410e+08   ,-2.4  ,-1.2  ,5
61  ,1.371e+09   ,-2.4  ,-1.4  ,5
62  ,1.134e+09   ,-2.4  ,-1.6  ,5
63  ,1.016e+09   ,-2.4  ,-1.8  ,5
64  ,1.355e+09   ,-2.4  ,-2  ,5
65  ,1.369e+09   ,-2.4  ,-2.2  ,5
66  ,2.750e+09   ,-2.2  ,-2.4  ,5
67  ,3.012e+09   ,-2  ,-2.4  ,5
68  ,2.930e+09   ,-1.8  ,-2.4  ,5
69  ,2.248e+09   ,-1.6  ,-2.4  ,5
70  ,1.450e+09   ,-1.4  ,-2.4  ,5
71  ,1.055e+09   ,-1.2  ,-2.4  ,5
72  ,8.962e+08   ,-1  ,-2.4  ,5
73  ,8.956e+08   ,-0.8  ,-2.4  ,5
74  ,9.650e+08   ,-0.6  ,-2.4  ,5
75  ,8.242e+08   ,-0.4  ,-2.4  ,5
76  ,2.500e+08   ,-0.2  ,-2.4  ,5
77  ,8.109e+08   ,-5.8879E-16  ,-2.4  ,5
78  ,1.834e+09   ,0.2  ,-2.4  ,5
79  ,2.619e+09   ,0.4  ,-2.4  ,5
80  ,3.685e+09   ,0.6  ,-2.4  ,5
81  ,3.871e+09   ,0.8  ,-2.4  ,5
82  ,3.685e+09   ,1  ,-2.4  ,5
83  ,3.307e+09   ,1.2  ,-2.4  ,5
84  ,3.022e+09   ,1.4  ,-2.4  ,5
85  ,1.905e+09   ,1.6  ,-2.4  ,5
86  ,6.986e+08   ,1.8  ,-2.4  ,5
87  ,1.778e+09   ,2  ,-2.4  ,5
88  ,5.547e+09   ,2.2  ,-2.4  ,5
89  ,3.075e+09   ,2.4  ,-2.2029  ,5
90  ,3.416e+09   ,2.4  ,-2.0058  ,5
91  ,2.633e+09   ,2.4  ,-1.8087  ,5
92  ,2.376e+09   ,2.4  ,-1.6116  ,5
93  ,2.606e+09   ,2.4  ,-1.4145  ,5
94  ,2.188e+09   ,2.4  ,-1.2175  ,5
95  ,2.387e+09   ,2.4  ,-1.0204  ,5
96  ,2.623e+09   ,2.4  ,-0.82327  ,5
97  ,2.569e+09   ,2.4  ,-0.62618  ,5
98  ,2.186e+09   ,2.4  ,-0.42909  ,5
99  ,2.080e+09   ,2.4  ,-0.232  ,5
