Date:  12:52, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 11   time : 57.724 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.911e+10   ,2.5  ,2.1331  ,4.9
2  ,2.413e+10   ,2.4577  ,2.1908  ,4.9577
3  ,5.255e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.128e+10   ,2.1331  ,2.5  ,4.9
5  ,5.515e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.313e+10   ,2.1908  ,2.4577  ,4.9577
7  ,2.801e+08   ,-2.4  ,2.4  ,5
8  ,1.148e+09   ,-2.4  ,-2.4  ,5
9  ,1.766e+09   ,2.4  ,-2.4  ,5
10  ,2.674e+10   ,2.4  ,2.1331  ,5
11  ,2.984e+10   ,2.1331  ,2.4  ,5
12  ,1.870e+09   ,2.5  ,-2.4  ,4.9
13  ,1.065e+09   ,2.5  ,-2.4  ,0.1
14  ,2.003e+08   ,2.5  ,2.4  ,0.1
15  ,3.041e+10   ,2.5  ,2.4  ,4.6331
16  ,2.876e+08   ,2.4  ,2.5  ,0.1
17  ,1.784e+08   ,-2.4  ,2.5  ,0.1
18  ,2.843e+08   ,-2.4  ,2.5  ,4.9
19  ,3.178e+10   ,2.4  ,2.5  ,4.6331
20  ,1.378e+08   ,-2.5  ,2.4  ,0.1
21  ,1.751e+08   ,-2.5  ,-2.4  ,0.1
22  ,7.962e+08   ,-2.5  ,-2.4  ,4.9
23  ,3.240e+08   ,-2.5  ,2.4  ,4.9
24  ,5.294e+08   ,-2.3  ,-2.5  ,0.2
25  ,1.032e+09   ,-2.3  ,-2.5  ,4.8
26  ,2.041e+09   ,2.3  ,-2.5  ,4.8
27  ,1.016e+09   ,2.3  ,-2.5  ,0.2
28  ,8.817e+08   ,-2.4  ,-2.5  ,4.9
29  ,1.904e+09   ,2.4  ,-2.5  ,4.9
30  ,1.223e+08   ,-2.4  ,-2.5  ,0.1
31  ,8.913e+08   ,2.4  ,-2.5  ,0.1
32  ,7.865e+08   ,2.4  ,-2.4  ,0
