Date:  12:55, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 18   time : 94.4449 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,1.757e+10   ,2.5  ,2.1331  ,4.9
2  ,2.569e+10   ,2.4577  ,2.1908  ,4.9577
3  ,3.782e+10   ,2.4894  ,2.1331  ,4.9447
4  ,3.009e+10   ,2.1331  ,2.5  ,4.9
5  ,5.332e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.341e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.438e+08   ,-2.4  ,2.4  ,5
8  ,2.466e+09   ,-2.4  ,-2.4  ,5
9  ,4.421e+09   ,2.4  ,-2.4  ,5
10  ,1.581e+10   ,2.4  ,2.1331  ,5
11  ,2.646e+10   ,2.1331  ,2.4  ,5
12  ,4.863e+09   ,2.5  ,-2.4  ,4.9
13  ,2.273e+09   ,2.5  ,-2.4  ,0.1
14  ,3.704e+08   ,2.5  ,2.4  ,0.1
15  ,2.570e+10   ,2.5  ,2.4  ,4.6331
16  ,3.200e+08   ,2.4  ,2.5  ,0.1
17  ,5.841e+08   ,-2.4  ,2.5  ,0.1
18  ,2.801e+08   ,-2.4  ,2.5  ,4.9
19  ,3.024e+10   ,2.4  ,2.5  ,4.6331
20  ,2.066e+08   ,-2.5  ,2.4  ,0.1
21  ,8.853e+08   ,-2.5  ,-2.4  ,0.1
22  ,1.746e+09   ,-2.5  ,-2.4  ,4.9
23  ,4.116e+08   ,-2.5  ,2.4  ,4.9
24  ,1.047e+09   ,-2.3  ,-2.5  ,0.2
25  ,1.619e+09   ,-2.3  ,-2.5  ,4.8
26  ,4.880e+09   ,2.3  ,-2.5  ,4.8
27  ,1.418e+09   ,2.3  ,-2.5  ,0.2
28  ,2.370e+09   ,-2.4  ,-2.5  ,4.9
29  ,4.500e+09   ,2.4  ,-2.5  ,4.9
30  ,9.898e+08   ,-2.4  ,-2.5  ,0.1
31  ,2.299e+09   ,2.4  ,-2.5  ,0.1
32  ,1.711e+09   ,2.4  ,-2.4  ,0
33  ,3.941e+08   ,2.4  ,2.4  ,0
34  ,9.699e+08   ,-2.4  ,-2.4  ,0
35  ,3.092e+08   ,-2.4  ,2.4  ,0
36  ,2.965e+10   ,2.4577  ,2.4577  ,4.6908
37  ,1.116e+09   ,-2.3  ,2.3  ,4.8
38  ,1.444e+10   ,2.1599  ,2.3  ,4.8
39  ,1.398e+10   ,2.3  ,2.1599  ,4.8
40  ,1.477e+10   ,2.3  ,2.3  ,4.6599
41  ,1.040e+09   ,2.3  ,2.3  ,0.2
42  ,1.703e+08   ,-2.3  ,2.3  ,0.2
43  ,6.016e+08   ,-2.4  ,2.2  ,5
44  ,9.309e+08   ,-2.4  ,2  ,5
45  ,9.738e+08   ,-2.4  ,1.8  ,5
46  ,9.150e+08   ,-2.4  ,1.6  ,5
47  ,8.818e+08   ,-2.4  ,1.4  ,5
48  ,1.140e+09   ,-2.4  ,1.2  ,5
49  ,1.482e+09   ,-2.4  ,1  ,5
50  ,2.034e+09   ,-2.4  ,0.8  ,5
51  ,1.385e+09   ,-2.4  ,0.6  ,5
52  ,1.110e+09   ,-2.4  ,0.4  ,5
53  ,9.946e+08   ,-2.4  ,0.2  ,5
54  ,8.404e+08   ,-2.4  ,5.8879E-16  ,5
55  ,6.170e+08   ,-2.4  ,-0.2  ,5
56  ,5.776e+08   ,-2.4  ,-0.4  ,5
57  ,5.465e+08   ,-2.4  ,-0.6  ,5
58  ,4.804e+08   ,-2.4  ,-0.8  ,5
59  ,8.286e+08   ,-2.4  ,-1  ,5
60  ,7.437e+08   ,-2.4  ,-1.2  ,5
61  ,1.320e+09   ,-2.4  ,-1.4  ,5
62  ,1.212e+09   ,-2.4  ,-1.6  ,5
63  ,1.166e+09   ,-2.4  ,-1.8  ,5
64  ,1.632e+09   ,-2.4  ,-2  ,5
65  ,1.392e+09   ,-2.4  ,-2.2  ,5
66  ,3.201e+09   ,-2.2  ,-2.4  ,5
67  ,2.863e+09   ,-2  ,-2.4  ,5
68  ,2.720e+09   ,-1.8  ,-2.4  ,5
69  ,2.106e+09   ,-1.6  ,-2.4  ,5
70  ,1.308e+09   ,-1.4  ,-2.4  ,5
71  ,4.554e+08   ,-1.2  ,-2.4  ,5
72  ,2.212e+08   ,-1  ,-2.4  ,5
73  ,4.483e+08   ,-0.8  ,-2.4  ,5
74  ,3.876e+08   ,-0.6  ,-2.4  ,5
75  ,5.757e+08   ,-0.4  ,-2.4  ,5
76  ,1.395e+09   ,-0.2  ,-2.4  ,5
77  ,2.245e+09   ,-5.8879E-16  ,-2.4  ,5
78  ,2.616e+09   ,0.2  ,-2.4  ,5
79  ,2.784e+09   ,0.4  ,-2.4  ,5
80  ,3.573e+09   ,0.6  ,-2.4  ,5
81  ,3.961e+09   ,0.8  ,-2.4  ,5
82  ,3.992e+09   ,1  ,-2.4  ,5
83  ,3.770e+09   ,1.2  ,-2.4  ,5
84  ,3.599e+09   ,1.4  ,-2.4  ,5
85  ,2.237e+09   ,1.6  ,-2.4  ,5
86  ,1.114e+09   ,1.8  ,-2.4  ,5
87  ,2.131e+09   ,2  ,-2.4  ,5
88  ,6.615e+09   ,2.2  ,-2.4  ,5
89  ,3.827e+09   ,2.4  ,-2.2029  ,5
90  ,4.169e+09   ,2.4  ,-2.0058  ,5
91  ,3.192e+09   ,2.4  ,-1.8087  ,5
92  ,2.851e+09   ,2.4  ,-1.6116  ,5
93  ,3.130e+09   ,2.4  ,-1.4145  ,5
94  ,2.698e+09   ,2.4  ,-1.2175  ,5
95  ,2.959e+09   ,2.4  ,-1.0204  ,5
96  ,3.046e+09   ,2.4  ,-0.82327  ,5
97  ,3.044e+09   ,2.4  ,-0.62618  ,5
98  ,2.740e+09   ,2.4  ,-0.42909  ,5
99  ,2.614e+09   ,2.4  ,-0.232  ,5
100  ,2.262e+09   ,2.4  ,-0.034907  ,5
101  ,2.282e+09   ,2.4  ,0.16218  ,5
102  ,2.344e+09   ,2.4  ,0.35927  ,5
103  ,2.696e+09   ,2.4  ,0.55637  ,5
104  ,2.453e+09   ,2.4  ,0.75346  ,5
105  ,2.066e+09   ,2.4  ,0.95055  ,5
106  ,2.406e+09   ,2.4  ,1.1476  ,5
107  ,3.823e+09   ,2.4  ,1.3447  ,5
108  ,4.906e+09   ,2.4  ,1.5418  ,5
109  ,6.447e+09   ,2.4  ,1.7389  ,5
110  ,1.075e+10   ,2.4  ,1.936  ,5
111  ,1.511e+10   ,2.2665  ,2.2665  ,5
112  ,1.305e+10   ,1.936  ,2.4  ,5
113  ,7.341e+09   ,1.7389  ,2.4  ,5
114  ,5.835e+09   ,1.5418  ,2.4  ,5
115  ,4.283e+09   ,1.3447  ,2.4  ,5
116  ,3.653e+09   ,1.1476  ,2.4  ,5
117  ,3.425e+09   ,0.95055  ,2.4  ,5
118  ,3.416e+09   ,0.75346  ,2.4  ,5
119  ,3.136e+09   ,0.55637  ,2.4  ,5
120  ,2.957e+09   ,0.35927  ,2.4  ,5
121  ,2.858e+09   ,0.16218  ,2.4  ,5
122  ,2.781e+09   ,-0.034907  ,2.4  ,5
123  ,2.934e+09   ,-0.232  ,2.4  ,5
124  ,2.546e+09   ,-0.42909  ,2.4  ,5
125  ,2.409e+09   ,-0.62618  ,2.4  ,5
126  ,3.067e+09   ,-0.82327  ,2.4  ,5
127  ,3.042e+09   ,-1.0204  ,2.4  ,5
128  ,2.710e+09   ,-1.2175  ,2.4  ,5
129  ,2.269e+09   ,-1.4145  ,2.4  ,5
130  ,1.580e+09   ,-1.6116  ,2.4  ,5
131  ,1.074e+09   ,-1.8087  ,2.4  ,5
132  ,7.824e+08   ,-2.0058  ,2.4  ,5
133  ,3.622e+08   ,-2.2029  ,2.4  ,5
294  ,3.353e+09   ,2.5  ,-2.2029  ,4.9
295  ,4.041e+09   ,2.5  ,-2.0058  ,4.9
296  ,3.162e+09   ,2.5  ,-1.8087  ,4.9
297  ,3.237e+09   ,2.5  ,-1.6116  ,4.9
298  ,2.751e+09   ,2.5  ,-1.4145  ,4.9
299  ,2.765e+09   ,2.5  ,-1.2175  ,4.9
300  ,3.090e+09   ,2.5  ,-1.0204  ,4.9
301  ,2.472e+09   ,2.5  ,-0.82327  ,4.9
302  ,2.852e+09   ,2.5  ,-0.62618  ,4.9
303  ,2.759e+09   ,2.5  ,-0.42909  ,4.9
304  ,3.148e+09   ,2.5  ,-0.232  ,4.9
305  ,3.519e+09   ,2.5  ,-0.034907  ,4.9
306  ,2.905e+09   ,2.5  ,0.16218  ,4.9
307  ,2.284e+09   ,2.5  ,0.35927  ,4.9
308  ,2.458e+09   ,2.5  ,0.55637  ,4.9
309  ,2.377e+09   ,2.5  ,0.75346  ,4.9
310  ,2.604e+09   ,2.5  ,0.95055  ,4.9
311  ,3.192e+09   ,2.5  ,1.1476  ,4.9
312  ,3.857e+09   ,2.5  ,1.3447  ,4.9
313  ,5.189e+09   ,2.5  ,1.5418  ,4.9
314  ,7.818e+09   ,2.5  ,1.7389  ,4.9
315  ,1.138e+10   ,2.5  ,1.936  ,4.9
316  ,6.908e+09   ,2.5  ,-2.4  ,4.7
317  ,2.216e+09   ,2.5  ,-2.4  ,4.5
318  ,1.284e+09   ,2.5  ,-2.4  ,4.3
319  ,2.425e+09   ,2.5  ,-2.4  ,4.1
320  ,3.429e+09   ,2.5  ,-2.4  ,3.9
321  ,4.176e+09   ,2.5  ,-2.4  ,3.7
322  ,4.349e+09   ,2.5  ,-2.4  ,3.5
323  ,4.009e+09   ,2.5  ,-2.4  ,3.3
324  ,3.551e+09   ,2.5  ,-2.4  ,3.1
325  ,2.873e+09   ,2.5  ,-2.4  ,2.9
326  ,2.496e+09   ,2.5  ,-2.4  ,2.7
327  ,2.278e+09   ,2.5  ,-2.4  ,2.5
328  ,1.609e+09   ,2.5  ,-2.4  ,2.3
329  ,8.273e+08   ,2.5  ,-2.4  ,2.1
330  ,3.477e+08   ,2.5  ,-2.4  ,1.9
331  ,2.404e+08   ,2.5  ,-2.4  ,1.7
332  ,1.718e+08   ,2.5  ,-2.4  ,1.5
333  ,4.664e+08   ,2.5  ,-2.4  ,1.3
334  ,1.194e+09   ,2.5  ,-2.4  ,1.1
335  ,2.272e+09   ,2.5  ,-2.4  ,0.9
336  ,3.267e+09   ,2.5  ,-2.4  ,0.7
337  ,3.217e+09   ,2.5  ,-2.4  ,0.5
338  ,3.417e+09   ,2.5  ,-2.4  ,0.3
339  ,1.484e+09   ,2.5  ,-2.2  ,0.1
340  ,1.663e+09   ,2.5  ,-2  ,0.1
341  ,1.177e+09   ,2.5  ,-1.8  ,0.1
342  ,1.140e+09   ,2.5  ,-1.6  ,0.1
343  ,8.313e+08   ,2.5  ,-1.4  ,0.1
344  ,7.757e+08   ,2.5  ,-1.2  ,0.1
345  ,8.022e+08   ,2.5  ,-1  ,0.1
346  ,4.580e+08   ,2.5  ,-0.8  ,0.1
347  ,5.052e+08   ,2.5  ,-0.6  ,0.1
348  ,4.124e+08   ,2.5  ,-0.4  ,0.1
349  ,5.001e+08   ,2.5  ,-0.2  ,0.1
350  ,5.998e+08   ,2.5  ,-1.7664E-15  ,0.1
351  ,7.291e+08   ,2.5  ,0.2  ,0.1
352  ,1.049e+09   ,2.5  ,0.4  ,0.1
353  ,1.629e+09   ,2.5  ,0.6  ,0.1
354  ,2.272e+09   ,2.5  ,0.8  ,0.1
355  ,1.462e+09   ,2.5  ,1  ,0.1
356  ,1.196e+09   ,2.5  ,1.2  ,0.1
357  ,9.757e+08   ,2.5  ,1.4  ,0.1
358  ,8.999e+08   ,2.5  ,1.6  ,0.1
359  ,7.460e+08   ,2.5  ,1.8  ,0.1
360  ,7.843e+08   ,2.5  ,2  ,0.1
361  ,7.524e+08   ,2.5  ,2.2  ,0.1
362  ,1.441e+10   ,2.5  ,2.4  ,4.436
363  ,8.988e+09   ,2.5  ,2.4  ,4.2389
364  ,5.815e+09   ,2.5  ,2.4  ,4.0418
365  ,4.729e+09   ,2.5  ,2.4  ,3.8447
366  ,3.799e+09   ,2.5  ,2.4  ,3.6476
367  ,3.437e+09   ,2.5  ,2.4  ,3.4505
368  ,3.374e+09   ,2.5  ,2.4  ,3.2535
369  ,3.343e+09   ,2.5  ,2.4  ,3.0564
370  ,2.967e+09   ,2.5  ,2.4  ,2.8593
371  ,2.877e+09   ,2.5  ,2.4  ,2.6622
372  ,3.035e+09   ,2.5  ,2.4  ,2.4651
373  ,2.716e+09   ,2.5  ,2.4  ,2.268
374  ,2.813e+09   ,2.5  ,2.4  ,2.0709
375  ,2.755e+09   ,2.5  ,2.4  ,1.8738
376  ,2.965e+09   ,2.5  ,2.4  ,1.6767
377  ,2.046e+09   ,2.5  ,2.4  ,1.4796
378  ,2.254e+09   ,2.5  ,2.4  ,1.2825
379  ,2.184e+09   ,2.5  ,2.4  ,1.0855
380  ,1.965e+09   ,2.5  ,2.4  ,0.88836
381  ,1.541e+09   ,2.5  ,2.4  ,0.69127
382  ,8.244e+08   ,2.5  ,2.4  ,0.49418
383  ,5.235e+08   ,2.5  ,2.4  ,0.29709
384  ,1.434e+10   ,2.5  ,2.2665  ,4.7665
544  ,7.648e+08   ,2.2  ,2.5  ,0.1
545  ,9.166e+08   ,2  ,2.5  ,0.1
546  ,8.853e+08   ,1.8  ,2.5  ,0.1
547  ,9.880e+08   ,1.6  ,2.5  ,0.1
548  ,8.712e+08   ,1.4  ,2.5  ,0.1
549  ,1.151e+09   ,1.2  ,2.5  ,0.1
550  ,1.518e+09   ,1  ,2.5  ,0.1
551  ,2.190e+09   ,0.8  ,2.5  ,0.1
552  ,1.963e+09   ,0.6  ,2.5  ,0.1
553  ,1.880e+09   ,0.4  ,2.5  ,0.1
554  ,1.956e+09   ,0.2  ,2.5  ,0.1
555  ,1.667e+09   ,5.8879E-16  ,2.5  ,0.1
556  ,1.037e+09   ,-0.2  ,2.5  ,0.1
557  ,1.289e+09   ,-0.4  ,2.5  ,0.1
558  ,1.557e+09   ,-0.6  ,2.5  ,0.1
559  ,2.038e+09   ,-0.8  ,2.5  ,0.1
560  ,2.067e+09   ,-1  ,2.5  ,0.1
561  ,2.108e+09   ,-1.2  ,2.5  ,0.1
562  ,1.922e+09   ,-1.4  ,2.5  ,0.1
563  ,1.900e+09   ,-1.6  ,2.5  ,0.1
564  ,1.843e+09   ,-1.8  ,2.5  ,0.1
565  ,1.646e+09   ,-2  ,2.5  ,0.1
566  ,1.436e+09   ,-2.2  ,2.5  ,0.1
567  ,6.146e+08   ,-2.4  ,2.5  ,4.7
568  ,9.299e+08   ,-2.4  ,2.5  ,4.5
569  ,8.937e+08   ,-2.4  ,2.5  ,4.3
570  ,1.008e+09   ,-2.4  ,2.5  ,4.1
571  ,8.607e+08   ,-2.4  ,2.5  ,3.9
572  ,9.298e+08   ,-2.4  ,2.5  ,3.7
573  ,1.247e+09   ,-2.4  ,2.5  ,3.5
574  ,1.856e+09   ,-2.4  ,2.5  ,3.3
575  ,1.603e+09   ,-2.4  ,2.5  ,3.1
576  ,1.423e+09   ,-2.4  ,2.5  ,2.9
577  ,1.453e+09   ,-2.4  ,2.5  ,2.7
578  ,1.313e+09   ,-2.4  ,2.5  ,2.5
579  ,1.284e+09   ,-2.4  ,2.5  ,2.3
580  ,1.450e+09   ,-2.4  ,2.5  ,2.1
581  ,1.575e+09   ,-2.4  ,2.5  ,1.9
582  ,1.964e+09   ,-2.4  ,2.5  ,1.7
583  ,2.001e+09   ,-2.4  ,2.5  ,1.5
584  ,2.104e+09   ,-2.4  ,2.5  ,1.3
585  ,2.062e+09   ,-2.4  ,2.5  ,1.1
586  ,2.069e+09   ,-2.4  ,2.5  ,0.9
587  ,1.879e+09   ,-2.4  ,2.5  ,0.7
588  ,1.717e+09   ,-2.4  ,2.5  ,0.5
