Date:  12:43, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 1   time : 5.23121 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,3.445e+09   ,2.5  ,2.1331  ,4.9
2  ,1.768e+10   ,2.4577  ,2.1908  ,4.9577
3  ,5.244e+09   ,2.4894  ,2.1331  ,4.9447
4  ,3.292e+09   ,2.1331  ,2.5  ,4.9
5  ,4.877e+09   ,2.1331  ,2.4894  ,4.9447
6  ,1.637e+10   ,2.1908  ,2.4577  ,4.9577
7  ,3.467e+05   ,-2.4  ,2.4  ,5
8  ,1.237e+01   ,-2.4  ,-2.4  ,5
9  ,9.840e+02   ,2.4  ,-2.4  ,5
10  ,3.082e+09   ,2.4  ,2.1331  ,5
11  ,3.621e+09   ,2.1331  ,2.4  ,5
12  ,1.217e+03   ,2.5  ,-2.4  ,4.9
13  ,9.745e+00   ,2.5  ,-2.4  ,0.1
14  ,3.457e+05   ,2.5  ,2.4  ,0.1
15  ,4.019e+09   ,2.5  ,2.4  ,4.6331
16  ,3.114e+05   ,2.4  ,2.5  ,0.1
17  ,2.124e+04   ,-2.4  ,2.5  ,0.1
18  ,3.769e+05   ,-2.4  ,2.5  ,4.9
19  ,4.023e+09   ,2.4  ,2.5  ,4.6331
20  ,1.679e+04   ,-2.5  ,2.4  ,0.1
21  ,9.923e-04   ,-2.5  ,-2.4  ,0.1
22  ,6.216e+00   ,-2.5  ,-2.4  ,4.9
23  ,2.819e+05   ,-2.5  ,2.4  ,4.9
24  ,7.522e-04   ,-2.3  ,-2.5  ,0.2
25  ,5.129e+00   ,-2.3  ,-2.5  ,4.8
26  ,1.039e+03   ,2.3  ,-2.5  ,4.8
27  ,8.731e+00   ,2.3  ,-2.5  ,0.2
28  ,2.302e+00   ,-2.4  ,-2.5  ,4.9
29  ,6.224e+02   ,2.4  ,-2.5  ,4.9
30  ,2.023e-04   ,-2.4  ,-2.5  ,0.1
31  ,6.100e+00   ,2.4  ,-2.5  ,0.1
32  ,6.629e+00   ,2.4  ,-2.4  ,0
33  ,2.305e+05   ,2.4  ,2.4  ,0
34  ,1.076e-03   ,-2.4  ,-2.4  ,0
35  ,1.427e+04   ,-2.4  ,2.4  ,0
36  ,1.526e+10   ,2.4577  ,2.4577  ,4.6908
37  ,6.738e+05   ,-2.3  ,2.3  ,4.8
38  ,5.104e+09   ,2.1599  ,2.3  ,4.8
39  ,4.951e+09   ,2.3  ,2.1599  ,4.8
40  ,4.775e+09   ,2.3  ,2.3  ,4.6599
41  ,6.019e+05   ,2.3  ,2.3  ,0.2
42  ,2.355e+04   ,-2.3  ,2.3  ,0.2
