Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 7   time : 36.735 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
1  ,2.081e+10   ,2.5  ,2.1331  ,4.9
2  ,2.501e+10   ,2.4577  ,2.1908  ,4.9577
3  ,4.157e+10   ,2.4894  ,2.1331  ,4.9447
4  ,2.115e+10   ,2.1331  ,2.5  ,4.9
5  ,4.262e+10   ,2.1331  ,2.4894  ,4.9447
6  ,2.398e+10   ,2.1908  ,2.4577  ,4.9577
7  ,1.796e+08   ,-2.4  ,2.4  ,5
8  ,3.591e+08   ,-2.4  ,-2.4  ,5
9  ,2.152e+08   ,2.4  ,-2.4  ,5
10  ,1.810e+10   ,2.4  ,2.1331  ,5
11  ,2.093e+10   ,2.1331  ,2.4  ,5
12  ,2.180e+08   ,2.5  ,-2.4  ,4.9
13  ,3.478e+08   ,2.5  ,-2.4  ,0.1
14  ,1.939e+08   ,2.5  ,2.4  ,0.1
15  ,2.097e+10   ,2.5  ,2.4  ,4.6331
16  ,1.934e+08   ,2.4  ,2.5  ,0.1
17  ,1.233e+08   ,-2.4  ,2.5  ,0.1
18  ,1.257e+08   ,-2.4  ,2.5  ,4.9
19  ,2.107e+10   ,2.4  ,2.5  ,4.6331
20  ,1.677e+08   ,-2.5  ,2.4  ,0.1
21  ,2.275e+06   ,-2.5  ,-2.4  ,0.1
22  ,1.973e+08   ,-2.5  ,-2.4  ,4.9
23  ,2.375e+08   ,-2.5  ,2.4  ,4.9
24  ,6.403e+06   ,-2.3  ,-2.5  ,0.2
25  ,5.880e+08   ,-2.3  ,-2.5  ,4.8
26  ,2.179e+08   ,2.3  ,-2.5  ,4.8
27  ,5.724e+08   ,2.3  ,-2.5  ,0.2
28  ,2.574e+08   ,-2.4  ,-2.5  ,4.9
29  ,2.014e+08   ,2.4  ,-2.5  ,4.9
30  ,4.934e+06   ,-2.4  ,-2.5  ,0.1
31  ,3.046e+08   ,2.4  ,-2.5  ,0.1
32  ,2.232e+08   ,2.4  ,-2.4  ,0
33  ,2.485e+08   ,2.4  ,2.4  ,0
34  ,2.974e+06   ,-2.4  ,-2.4  ,0
35  ,1.667e+08   ,-2.4  ,2.4  ,0
36  ,3.037e+10   ,2.4577  ,2.4577  ,4.6908
37  ,2.467e+08   ,-2.3  ,2.3  ,4.8
38  ,1.364e+10   ,2.1599  ,2.3  ,4.8
39  ,1.341e+10   ,2.3  ,2.1599  ,4.8
40  ,1.352e+10   ,2.3  ,2.3  ,4.6599
41  ,2.197e+08   ,2.3  ,2.3  ,0.2
42  ,2.421e+08   ,-2.3  ,2.3  ,0.2
43  ,3.326e+08   ,-2.4  ,2.2  ,5
44  ,3.375e+08   ,-2.4  ,2  ,5
45  ,2.667e+08   ,-2.4  ,1.8  ,5
46  ,3.106e+08   ,-2.4  ,1.6  ,5
47  ,2.898e+08   ,-2.4  ,1.4  ,5
