Date:  15:46, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Strain1
Plot step: 1   time : 5.23121 Microseconds
Result Type: ESTRN


Element  ,Value  ,X (in)  ,Y (in)  ,Z (in)
2248  ,4.393e-07  ,-2.17265677  ,0.12529844  ,5.00000000
643  ,5.866e-06  ,-0.70821166  ,0.31622848  ,5.00000000
3344  ,1.697e-06  ,0.11304402  ,2.50000000  ,0.37754250
3164  ,2.633e-06  ,-0.83042824  ,2.50000000  ,2.50805163
1098  ,6.416e-05  ,2.41056943  ,2.49562216  ,2.60360074
1285  ,1.013e-06  ,2.50000000  ,0.25384474  ,0.51411223
468  ,1.495e-08  ,2.50000000  ,-2.14615536  ,2.81411219
4585  ,1.052e-04  ,2.42163682  ,0.04514714  ,4.99103785
1999  ,1.210e-09  ,0.12734316  ,-2.27470160  ,5.00000000
3577  ,6.863e-05  ,0.02971489  ,2.47651601  ,4.95669508
824  ,1.648e-02  ,2.30976653  ,2.44122291  ,4.85530996
4443  ,4.646e-07  ,-2.18695593  ,2.50000000  ,2.67754245
3823  ,7.519e-03  ,2.37982202  ,2.37116742  ,4.85530996
792  ,4.017e-03  ,2.29999995  ,1.56921268  ,3.81228924
2874  ,6.799e-05  ,0.22578989  ,2.29999995  ,4.33501768
3427  ,2.062e-11  ,-2.40956044  ,-2.36252236  ,4.99604034
1489  ,1.107e-07  ,-2.41852593  ,2.49232626  ,0.11124856
2405  ,3.649e-11  ,2.50000000  ,-2.29378819  ,0.18634552
789  ,1.241e-09  ,2.41852593  ,-2.49232626  ,4.88875151
806  ,1.020e-06  ,-2.50000000  ,2.29378819  ,4.81365442
3968  ,1.721e-02  ,2.46864963  ,2.12944770  ,4.96747398
4440  ,1.671e-02  ,2.13152790  ,2.46793962  ,4.96825075
2919  ,1.809e-06  ,2.40956068  ,2.36252260  ,0.00396018
363  ,4.191e-03  ,2.29999995  ,1.83155751  ,4.63597202
2533  ,2.911e-03  ,2.04538321  ,2.21981573  ,4.79999971
4308  ,3.628e-03  ,2.05888224  ,2.29999995  ,4.76489925
976  ,1.658e-02  ,2.47071075  ,2.47071075  ,4.63309431
4295  ,3.192e-09  ,2.50000000  ,-2.32307744  ,2.65705633
804  ,6.441e-07  ,-2.45676875  ,2.47648597  ,2.56789756
112  ,1.271e-06  ,-1.08695030  ,2.50000000  ,2.31928039
3364  ,3.323e-07  ,-2.44934154  ,0.08962643  ,4.97956276
2712  ,7.707e-06  ,-0.90821165  ,0.41622853  ,5.00000000
1875  ,6.799e-07  ,0.05236431  ,2.49264431  ,0.08224132
2217  ,1.410e-06  ,2.50000000  ,0.17692244  ,0.15705618
464  ,3.486e-02  ,2.50000000  ,2.26654720  ,4.76654720
3195  ,8.458e-05  ,2.29999995  ,2.04615521  ,2.05243492
462  ,1.480e-06  ,2.50000000  ,0.00000014  ,0.10000013
1748  ,8.434e-05  ,2.29999995  ,-0.48729759  ,4.58588791
3150  ,4.772e-09  ,2.50000000  ,-2.39999986  ,2.50000000
637  ,8.519e-05  ,-0.26079607  ,2.17470169  ,4.79999971
3439  ,1.014e-02  ,2.13920403  ,2.04124856  ,4.79999971
259  ,9.475e-05  ,2.27265692  ,-0.35875133  ,4.79999971
4223  ,2.893e-07  ,-2.50000000  ,-0.17692244  ,4.84294367
975  ,2.685e-02  ,2.26654720  ,2.50000000  ,4.76654720
4606  ,8.826e-05  ,2.28695607  ,2.29999995  ,2.18900466
1211  ,2.208e-06  ,0.00000005  ,2.50000000  ,0.10000008
297  ,6.824e-07  ,-2.39999986  ,2.50000000  ,2.50000000
822  ,1.615e-02  ,2.32428217  ,2.45773506  ,4.82428217
