Date:  15:47, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Strain1
Plot step: 2   time : 10.4846 Microseconds
Result Type: ESTRN


Element  ,Value  ,X (in)  ,Y (in)  ,Z (in)
2248  ,2.121e-05  ,-2.17265677  ,0.12529844  ,5.00000000
643  ,5.050e-05  ,-0.70821166  ,0.31622848  ,5.00000000
3344  ,2.286e-05  ,0.11304402  ,2.50000000  ,0.37754250
3164  ,1.727e-05  ,-0.83042824  ,2.50000000  ,2.50805163
1098  ,1.386e-03  ,2.41056943  ,2.49562216  ,2.60360074
1285  ,9.991e-06  ,2.50000000  ,0.25384474  ,0.51411223
468  ,1.665e-06  ,2.50000000  ,-2.14615536  ,2.81411219
4585  ,2.102e-03  ,2.42163682  ,0.04514714  ,4.99103785
1999  ,4.075e-07  ,0.12734316  ,-2.27470160  ,5.00000000
3577  ,1.507e-03  ,0.02971489  ,2.47651601  ,4.95669508
824  ,1.521e-02  ,2.30976653  ,2.44122291  ,4.85530996
4443  ,1.324e-05  ,-2.18695593  ,2.50000000  ,2.67754245
3823  ,4.552e-03  ,2.37982202  ,2.37116742  ,4.85530996
792  ,1.157e-02  ,2.29999995  ,1.56921268  ,3.81228924
2874  ,3.974e-04  ,0.22578989  ,2.29999995  ,4.33501768
3427  ,2.155e-08  ,-2.40956044  ,-2.36252236  ,4.99604034
1489  ,2.779e-06  ,-2.41852593  ,2.49232626  ,0.11124856
2405  ,1.254e-08  ,2.50000000  ,-2.29378819  ,0.18634552
789  ,3.047e-07  ,2.41852593  ,-2.49232626  ,4.88875151
806  ,1.607e-05  ,-2.50000000  ,2.29378819  ,4.81365442
3968  ,2.371e-02  ,2.46864963  ,2.12944770  ,4.96747398
4440  ,2.583e-02  ,2.13152790  ,2.46793962  ,4.96825075
2919  ,2.787e-05  ,2.40956068  ,2.36252260  ,0.00396018
363  ,1.155e-02  ,2.29999995  ,1.83155751  ,4.63597202
2533  ,1.085e-02  ,2.04538321  ,2.21981573  ,4.79999971
4308  ,1.196e-02  ,2.05888224  ,2.29999995  ,4.76489925
976  ,2.401e-02  ,2.47071075  ,2.47071075  ,4.63309431
4295  ,7.499e-07  ,2.50000000  ,-2.32307744  ,2.65705633
804  ,9.558e-06  ,-2.45676875  ,2.47648597  ,2.56789756
112  ,3.815e-05  ,-1.08695030  ,2.50000000  ,2.31928039
3364  ,1.138e-05  ,-2.44934154  ,0.08962643  ,4.97956276
2712  ,1.339e-04  ,-0.90821165  ,0.41622853  ,5.00000000
1875  ,2.270e-05  ,0.05236431  ,2.49264431  ,0.08224132
2217  ,1.651e-05  ,2.50000000  ,0.17692244  ,0.15705618
464  ,4.607e-02  ,2.50000000  ,2.26654720  ,4.76654720
3195  ,4.116e-04  ,2.29999995  ,2.04615521  ,2.05243492
462  ,2.276e-05  ,2.50000000  ,0.00000014  ,0.10000013
1748  ,3.544e-04  ,2.29999995  ,-0.48729759  ,4.58588791
3150  ,7.013e-07  ,2.50000000  ,-2.39999986  ,2.50000000
637  ,4.689e-04  ,-0.26079607  ,2.17470169  ,4.79999971
3439  ,1.648e-02  ,2.13920403  ,2.04124856  ,4.79999971
259  ,8.313e-04  ,2.27265692  ,-0.35875133  ,4.79999971
4223  ,1.192e-05  ,-2.50000000  ,-0.17692244  ,4.84294367
975  ,3.387e-02  ,2.26654720  ,2.50000000  ,4.76654720
4606  ,4.034e-04  ,2.28695607  ,2.29999995  ,2.18900466
1211  ,3.280e-05  ,0.00000005  ,2.50000000  ,0.10000008
297  ,1.281e-05  ,-2.39999986  ,2.50000000  ,2.50000000
822  ,1.572e-02  ,2.32428217  ,2.45773506  ,4.82428217
