Date:  15:51, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Strain1
Plot step: 7   time : 36.735 Microseconds
Result Type: ESTRN


Element  ,Value  ,X (in)  ,Y (in)  ,Z (in)
2248  ,2.849e-03  ,-2.17265677  ,0.12529844  ,5.00000000
643  ,8.381e-03  ,-0.70821166  ,0.31622848  ,5.00000000
3344  ,2.708e-03  ,0.11304402  ,2.50000000  ,0.37754250
3164  ,7.270e-03  ,-0.83042824  ,2.50000000  ,2.50805163
1098  ,5.983e-03  ,2.41056943  ,2.49562216  ,2.60360074
1285  ,1.925e-03  ,2.50000000  ,0.25384474  ,0.51411223
468  ,2.036e-03  ,2.50000000  ,-2.14615536  ,2.81411219
4585  ,6.248e-03  ,2.42163682  ,0.04514714  ,4.99103785
1999  ,2.080e-03  ,0.12734316  ,-2.27470160  ,5.00000000
3577  ,5.640e-03  ,0.02971489  ,2.47651601  ,4.95669508
824  ,3.474e-02  ,2.30976653  ,2.44122291  ,4.85530996
4443  ,1.931e-03  ,-2.18695593  ,2.50000000  ,2.67754245
3823  ,1.032e-02  ,2.37982202  ,2.37116742  ,4.85530996
792  ,2.526e-02  ,2.29999995  ,1.56921268  ,3.81228924
2874  ,8.282e-03  ,0.22578989  ,2.29999995  ,4.33501768
3427  ,5.773e-04  ,-2.40956044  ,-2.36252236  ,4.99604034
1489  ,3.623e-04  ,-2.41852593  ,2.49232626  ,0.11124856
2405  ,6.005e-04  ,2.50000000  ,-2.29378819  ,0.18634552
789  ,6.143e-04  ,2.41852593  ,-2.49232626  ,4.88875151
806  ,1.131e-03  ,-2.50000000  ,2.29378819  ,4.81365442
3968  ,6.861e-02  ,2.46864963  ,2.12944770  ,4.96747398
4440  ,6.799e-02  ,2.13152790  ,2.46793962  ,4.96825075
2919  ,9.766e-04  ,2.40956068  ,2.36252260  ,0.00396018
363  ,2.566e-02  ,2.29999995  ,1.83155751  ,4.63597202
2533  ,2.299e-02  ,2.04538321  ,2.21981573  ,4.79999971
4308  ,2.461e-02  ,2.05888224  ,2.29999995  ,4.76489925
976  ,7.093e-02  ,2.47071075  ,2.47071075  ,4.63309431
4295  ,1.820e-03  ,2.50000000  ,-2.32307744  ,2.65705633
804  ,1.429e-03  ,-2.45676875  ,2.47648597  ,2.56789756
112  ,6.333e-03  ,-1.08695030  ,2.50000000  ,2.31928039
3364  ,1.416e-03  ,-2.44934154  ,0.08962643  ,4.97956276
2712  ,7.201e-03  ,-0.90821165  ,0.41622853  ,5.00000000
1875  ,1.424e-03  ,0.05236431  ,2.49264431  ,0.08224132
2217  ,1.701e-03  ,2.50000000  ,0.17692244  ,0.15705618
464  ,8.881e-02  ,2.50000000  ,2.26654720  ,4.76654720
3195  ,8.256e-03  ,2.29999995  ,2.04615521  ,2.05243492
462  ,1.524e-03  ,2.50000000  ,0.00000014  ,0.10000013
1748  ,5.277e-03  ,2.29999995  ,-0.48729759  ,4.58588791
3150  ,2.061e-03  ,2.50000000  ,-2.39999986  ,2.50000000
637  ,8.663e-03  ,-0.26079607  ,2.17470169  ,4.79999971
3439  ,3.703e-02  ,2.13920403  ,2.04124856  ,4.79999971
259  ,8.947e-03  ,2.27265692  ,-0.35875133  ,4.79999971
4223  ,1.963e-03  ,-2.50000000  ,-0.17692244  ,4.84294367
975  ,7.550e-02  ,2.26654720  ,2.50000000  ,4.76654720
4606  ,8.672e-03  ,2.28695607  ,2.29999995  ,2.18900466
1211  ,2.373e-03  ,0.00000005  ,2.50000000  ,0.10000008
297  ,1.361e-03  ,-2.39999986  ,2.50000000  ,2.50000000
822  ,3.226e-02  ,2.32428217  ,2.45773506  ,4.82428217
